,abiomed_male,abiomed_female,tuple,inc_male,inc_female,average_male,average_female,female-male
51,-0.20083494,-0.3530276,"('uneducated', 'educated')",0.34213433,0.3510458,0.0706497,-0.0009909,-0.0716406
52,-0.5321004,-0.73869324,"('irrational', 'rational')",0.04194545,-0.20179644,-0.2450775,-0.4702448,-0.2251673
53,-1.8869323,-1.8696942,"('uncreative', 'creative')",0.72653425,0.7265336,-0.580199,-0.5715803,0.0086187
54,-0.73029,-0.8649483,"('incapable', 'capable')",1.2306974,1.181412,0.2502037,0.1582319,-0.0919718
55,0.42180222,0.49237835,"('incompetent', 'clever')",0.1272385,0.28755075,0.2745204,0.3899646,0.1154442
56,0.85461503,0.8369015,"('impractical', 'practical')",0.32891014,0.40286747,0.5917626,0.6198845,0.0281219
57,-0.637865,-0.59029067,"('unimaginative', 'imaginative')",-1.9915891,-1.9718022,-1.3147271,-1.2810464,0.0336807
58,-0.58539003,-0.5759122,"('undiscriminating', 'discriminating')",0.11566175,0.10432534,-0.2348641,-0.2357934,-0.0009293
59,0.059662636,0.06096158,"('foolish', 'wise')",0.47737885,0.4138118,0.2685207,0.2373867,-0.031134
60,1.0464829,1.148935,"('inefficient', 'efficient')",0.19795886,0.48980656,0.6222209,0.8193707,0.1971498
61,-0.66192645,-0.73713624,"('illogical', 'logical')",0.060786985,-0.07366582,-0.3005697,-0.405401,-0.1048313
62,0.666967,0.82194364,"('incompetent', 'brilliant')",0.328902,0.5864644,0.4979345,0.704204,0.2062695
63,-0.16021039,-0.034020998,"('unperceptive', 'insightful')",0.8448421,1.0458742,0.3423159,0.5059266,0.1636107
64,0.59297365,0.56293553,"('shy', 'confident')",-6.628952,-6.5983,-3.0179892,-3.0176823,0.0003069
65,0.59732485,0.5550648,"('insecure', 'secure')",-0.41131097,-0.3036838,0.0930069,0.1256905,0.0326836
66,-1.0944985,-1.1391982,"('inactive', 'active')",0.66599894,0.53649175,-0.2142498,-0.3013532,-0.0871034
67,0.68412,0.719655,"('doubtful', 'determined')",-0.13769019,-0.15017003,0.2732149,0.2847425,0.0115276
68,-0.78285044,-0.7725839,"('dependent', 'independent')",-0.64335585,-0.60686654,-0.7131032,-0.6897252,0.023378
69,0.24349122,0.3065816,"('lazy', 'industrious')",-0.056679495,-0.17590393,0.0934059,0.0653388,-0.0280671
70,0.5261318,0.67665195,"('lethargic', 'energetic')",0.74620754,0.9442666,0.6361697,0.8104593,0.1742896
71,-0.73441094,-0.7287304,"('diffident', 'self-confident')",0.35297805,0.33363712,-0.1907164,-0.1975466,-0.0068302
72,-0.6609199,-0.7375497,"('unambitious', 'ambitious')",-0.64918375,-0.62317437,-0.6550518,-0.680362,-0.0253102
73,0.7095956,0.6361158,"('helpless', 'self-reliant')",-2.9595315,-2.9702547,-1.1249679,-1.1670694,-0.0421015
74,-0.4221251,-0.34096757,"('undedicated', 'dedicated')",0.06674957,0.08757804,-0.1776878,-0.1266948,0.050993
75,0.15134096,0.14936405,"('meek', 'impulsive')",-0.24258271,-0.23532239,-0.0456209,-0.0429792,0.0026417
76,0.3522584,0.4491205,"('anxious', 'daring')",0.42457253,0.6528452,0.3884155,0.5509828,0.1625673
77,-0.06799329,-0.01613177,"('unmotivated', 'motivated')",-1.0018463,-0.84866047,-0.5349198,-0.4323961,0.1025237
78,-1.0357794,-0.9047386,"('nonresilient', 'resilient')",-0.07700391,0.0427856,-0.5563917,-0.4309765,0.1254152
79,-1.0034822,-1.0240898,"('wavering', 'unwavering')",0.10504982,0.0090563735,-0.4492162,-0.5075167,-0.0583005
80,0.5263193,0.54809856,"('dominated', 'dominating')",-1.324386,-1.1786139,-0.3990333,-0.3152577,0.0837756
81,1.4371939,1.322444,"('submissive', 'aggressive')",-0.21277384,-0.038144752,0.61221,0.6421496,0.0299396
82,-0.39898047,-0.46334803,"('poor', 'rich')",5.810735,5.905473,2.7058773,2.7210627,0.0151854
83,-0.05329236,-0.07627749,"('powerless', 'powerful')",-0.8592719,-0.9542932,-0.4562821,-0.5152853,-0.0590032
84,0.030528015,0.024106124,"('inferior', 'superior')",1.1013119,1.0758454,0.56592,0.5499758,-0.0159442
85,-1.0896066,-1.1485246,"('insignificant', 'prestigious')",0.5985893,0.42615423,-0.2455087,-0.3611852,-0.1156765
86,-0.9449088,-1.0071061,"('uninfluential', 'influential')",-0.28212172,-0.31828612,-0.6135153,-0.6626961,-0.0491808
87,0.14506936,0.020942416,"('unsuccessful', 'successful')",0.6294293,0.67244464,0.3872493,0.3466935,-0.0405558
88,-0.16539964,-0.22757207,"('low', 'eminent')",0.51133454,0.4995903,0.1729674,0.1360091,-0.0369583
