,assignment_male,assignment_female,tuple,average_male,average_female,female-male
0,0.39943472,0.3590044,"('unsociable', 'sociable')",0.3994347,0.3590044,-0.0404303
1,0.56165797,0.44109645,"('unfriendly', 'friendly')",0.561658,0.4410965,-0.1205615
2,0.0044082142,0.06370362,"('unlikable', 'likable')",0.0044082,0.0637036,0.0592954
3,1.1018964,1.1339501,"('repellent', 'pleasant')",1.1018964,1.1339501,0.0320537
4,-7.796984,-7.7195992,"('disliked', 'liked')",-7.7969842,-7.7195992,0.077385
5,-1.1261214,-1.2373708,"('distant', 'outgoing')",-1.1261214,-1.2373708,-0.1112494
6,-0.78328925,-0.93390566,"('distant', 'open')",-0.7832893,-0.9339057,-0.1506164
7,1.5200244,1.5233865,"('insensitive', 'sensitive')",1.5200244,1.5233865,0.0033621
8,0.614937,0.49464437,"('unaffectionate', 'affectionate')",0.614937,0.4946444,-0.1202926
9,1.1552507,1.1817997,"('unaffectionate', 'caring')",1.1552507,1.1817997,0.026549
10,1.8643966,1.8453568,"('unsympathetic', 'sympathetic')",1.8643966,1.8453568,-0.0190398
11,2.1751776,2.2038043,"('unhelpful', 'helpful')",2.1751776,2.2038043,0.0286267
12,-1.3073153,-1.2577657,"('unsupportive', 'supportive')",-1.3073153,-1.2577657,0.0495496
13,0.23969845,0.2652808,"('impolite', 'polite')",0.2396985,0.2652808,0.0255823
14,0.5456504,0.5778448,"('antisocial', 'social')",0.5456504,0.5778448,0.0321944
15,-0.13012758,-0.22904983,"('boring', 'funny')",-0.1301276,-0.2290498,-0.0989222
16,-0.7928288,-0.65667796,"('unpopular', 'popular')",-0.7928288,-0.656678,0.1361508
17,-0.6263295,-0.6923028,"('nasty', 'nice')",-0.6263295,-0.6923028,-0.0659733
18,-0.7644367,-0.8321885,"('disagreeable', 'welcoming')",-0.7644367,-0.8321885,-0.0677518
19,-1.0993099,-1.1782563,"('inhospitable', 'hospitable')",-1.0993099,-1.1782563,-0.0789464
20,1.00549,0.9445326,"('rough', 'thoughtful')",1.0054899,0.9445326,-0.0609573
21,0.5098924,0.60720104,"('immoral', 'moral')",0.5098924,0.607201,0.0973086
22,-0.068832524,-0.09424169,"('untrustworthy', 'trustworthy')",-0.0688325,-0.0942417,-0.0254092
23,6.8387837,6.8271413,"('insincere', 'sincere')",6.8387837,6.8271413,-0.0116424
24,1.9082618,1.8095925,"('dishonest', 'honest')",1.9082618,1.8095925,-0.0986693
25,0.011433452,-0.08145297,"('egoistic', 'altruistic')",0.0114335,-0.081453,-0.0928865
26,0.4844785,0.48437792,"('hardhearted', 'benevolent')",0.4844785,0.4843779,-0.0001006
27,1.8615448,1.6392415,"('hardhearted', 'softhearted')",1.8615448,1.6392415,-0.2223033
28,0.8245847,0.72277975,"('disloyal', 'loyal')",0.8245847,0.7227798,-0.1018049
29,-0.90241176,-1.1814092,"('unfair', 'fair')",-0.9024118,-1.1814092,-0.2789974
30,1.5681779,1.5564375,"('intolerant', 'tolerant')",1.5681779,1.5564375,-0.0117404
31,-2.0159009,-2.1109493,"('evil', 'good')",-2.0159009,-2.1109493,-0.0950484
