,paccar_male,paccar_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.17812774,0.042175084,"('unsociable', 'sociable')",0.08936085,-0.012745678,0.1337443,0.0147147,-0.1190296
1,-0.542238,-0.81246144,"('unfriendly', 'friendly')",1.7882836,1.5156564,0.6230228,0.3515975,-0.2714253
2,0.63665485,0.69638807,"('unlikable', 'likable')",0.72472554,0.7760291,0.6806902,0.7362086,0.0555184
3,0.28108332,0.4308886,"('repellent', 'pleasant')",0.099139914,0.20209126,0.1901116,0.3164899,0.1263783
4,-0.34088558,-0.44401175,"('disliked', 'liked')",-6.076147,-6.072222,-3.2085164,-3.258117,-0.0496006
5,-0.8986718,-1.0417738,"('distant', 'outgoing')",-0.27077407,-0.41424125,-0.5847229,-0.7280076,-0.1432847
6,-1.6439215,-1.8145313,"('distant', 'open')",0.12396353,-0.0503104,-0.759979,-0.9324208,-0.1724418
7,0.15058339,0.29672587,"('insensitive', 'sensitive')",0.6319693,0.71124786,0.3912763,0.5039868,0.1127105
8,-0.9405195,-1.0757833,"('unaffectionate', 'affectionate')",0.7565318,0.60140634,-0.0919939,-0.2371885,-0.1451946
9,-0.115856096,-0.28548777,"('unaffectionate', 'caring')",1.081115,0.98103017,0.4826294,0.3477712,-0.1348582
10,-0.36510408,-0.29091412,"('unsympathetic', 'sympathetic')",-0.03271307,0.005451383,-0.1989086,-0.1427314,0.0561772
11,0.4541815,0.5732715,"('unhelpful', 'helpful')",1.9996562,2.0678012,1.2269188,1.3205364,0.0936176
12,-0.027487209,0.082340196,"('unsupportive', 'supportive')",-1.6578863,-1.6184492,-0.8426867,-0.7680545,0.0746322
13,0.4989344,0.5177668,"('impolite', 'polite')",-0.14930634,-0.040251814,0.174814,0.2387575,0.0639435
14,0.9161342,1.1242855,"('antisocial', 'social')",0.19378078,0.24133487,0.5549575,0.6828102,0.1278527
15,0.45038298,0.2638104,"('boring', 'funny')",0.7465384,0.7297812,0.5984607,0.4967958,-0.1016649
16,-1.1055287,-1.0700227,"('unpopular', 'popular')",0.39555123,0.46292683,-0.3549888,-0.3035479,0.0514409
17,-0.024959218,5.8499165e-05,"('nasty', 'nice')",-0.5047837,-0.4662553,-0.2648714,-0.2330984,0.031773
18,-0.46659565,-0.43233883,"('disagreeable', 'welcoming')",-0.29176968,-0.3716034,-0.3791827,-0.4019711,-0.0227884
19,-0.96037894,-1.0821302,"('inhospitable', 'hospitable')",-0.1846669,-0.21772648,-0.5725229,-0.6499283,-0.0774054
20,0.28589675,0.37440884,"('rough', 'thoughtful')",1.1878141,1.1794281,0.7368554,0.7769185,0.0400631
21,0.96323246,1.0462197,"('immoral', 'moral')",-0.2559015,-0.11186674,0.3536655,0.4671765,0.113511
22,0.4630781,0.48955542,"('untrustworthy', 'trustworthy')",-0.80196714,-0.7863505,-0.1694445,-0.1483975,0.021047
23,0.12795877,0.14831387,"('insincere', 'sincere')",5.465253,5.3782935,2.7966058,2.7633038,-0.033302
