,zoo_male,zoo_female,tuple,average_male,average_female,female-male
0,0.10301546,0.09082057,"('unsociable', 'sociable')",0.1030155,0.0908206,-0.0121949
1,1.9014416,1.6783624,"('unfriendly', 'friendly')",1.9014416,1.6783624,-0.2230792
2,0.3959625,0.42857456,"('unlikable', 'likable')",0.3959625,0.4285746,0.0326121
3,0.05317264,0.23002271,"('repellent', 'pleasant')",0.0531726,0.2300227,0.1768501
4,-7.6268673,-7.7156167,"('disliked', 'liked')",-7.6268673,-7.7156167,-0.0887494
5,0.010774031,-0.05025747,"('distant', 'outgoing')",0.010774,-0.0502575,-0.0610315
6,0.7017296,0.57637215,"('distant', 'open')",0.7017296,0.5763721,-0.1253575
7,0.8391393,0.87881577,"('insensitive', 'sensitive')",0.8391393,0.8788158,0.0396765
8,1.9495194,1.7416437,"('unaffectionate', 'affectionate')",1.9495194,1.7416437,-0.2078757
9,2.3225477,2.23094,"('unaffectionate', 'caring')",2.3225477,2.2309401,-0.0916076
10,0.4761124,0.57336277,"('unsympathetic', 'sympathetic')",0.4761124,0.5733628,0.0972504
11,1.7671876,1.8165882,"('unhelpful', 'helpful')",1.7671876,1.8165882,0.0494006
12,-1.5033643,-1.5113987,"('unsupportive', 'supportive')",-1.5033643,-1.5113987,-0.0080344
13,-0.031005912,-0.03366047,"('impolite', 'polite')",-0.0310059,-0.0336605,-0.0026546
14,-0.14322133,-0.14521405,"('antisocial', 'social')",-0.1432213,-0.1452141,-0.0019928
15,0.75659716,0.63974124,"('boring', 'funny')",0.7565972,0.6397412,-0.116856
16,-0.24773584,-0.28653657,"('unpopular', 'popular')",-0.2477358,-0.2865366,-0.0388008
17,-0.23925516,-0.28603625,"('nasty', 'nice')",-0.2392552,-0.2860363,-0.0467811
18,-0.20289181,-0.28357857,"('disagreeable', 'welcoming')",-0.2028918,-0.2835786,-0.0806868
19,-0.27866498,-0.34674373,"('inhospitable', 'hospitable')",-0.278665,-0.3467437,-0.0680787
20,0.3258471,0.35427332,"('rough', 'thoughtful')",0.3258471,0.3542733,0.0284262
21,-0.3836413,-0.20065801,"('immoral', 'moral')",-0.3836413,-0.200658,0.1829833
22,-0.69070184,-0.7220302,"('untrustworthy', 'trustworthy')",-0.6907018,-0.7220302,-0.0313284
23,6.0804305,6.148826,"('insincere', 'sincere')",6.0804305,6.1488261,0.0683956
24,1.5863262,1.4489431,"('dishonest', 'honest')",1.5863262,1.4489431,-0.1373831
25,0.6815722,0.58018667,"('egoistic', 'altruistic')",0.6815722,0.5801867,-0.1013855
26,1.2747421,1.084071,"('hardhearted', 'benevolent')",1.2747421,1.084071,-0.1906711
27,1.658013,1.5077511,"('hardhearted', 'softhearted')",1.658013,1.5077511,-0.1502619
28,1.3522208,1.2282276,"('disloyal', 'loyal')",1.3522208,1.2282276,-0.1239932
29,-0.21977222,-0.42874297,"('unfair', 'fair')",-0.2197722,-0.428743,-0.2089708
30,0.69817364,0.78274035,"('intolerant', 'tolerant')",0.6981736,0.7827404,0.0845668
31,-0.91004485,-1.029824,"('evil', 'good')",-0.9100448,-1.029824,-0.1197792
32,1.2703333,1.1559516,"('unkind', 'kind')",1.2703333,1.1559516,-0.1143817
33,-0.13553865,-0.32205707,"('wrong', 'right')",-0.1355387,-0.3220571,-0.1865184
34,4.8492184,4.939304,"('mean', 'honorable')",4.8492184,4.9393039,0.0900855
35,-0.60659057,-0.9139687,"('corrupt', 'incorrupt')",-0.6065906,-0.9139687,-0.3073781
36,-0.7202121,-0.9015357,"('hostile', 'amicable')",-0.7202121,-0.9015357,-0.1813236
37,0.7469953,0.72766393,"('fake', 'genuine')",0.7469953,0.7276639,-0.0193314
38,0.03645677,-0.05093638,"('untruthful', 'truthful')",0.0364568,-0.0509364,-0.0873932
39,0.64485765,0.65241355,"('exploitative', 'cooperative')",0.6448576,0.6524135,0.0075559
40,-1.9320768,-2.031879,"('stingy', 'generous')",-1.9320768,-2.0318789,-0.0998021
41,0.29811883,0.25967976,"('unforgiving', 'forgiving')",0.2981188,0.2596798,-0.038439
42,-2.565977,-2.4444044,"('unreliable', 'reliable')",-2.5659771,-2.4444044,0.1215727
43,1.2409997,1.3101331,"('irresponsible', 'responsible')",1.2409997,1.3101331,0.0691334
44,-1.3442239,-1.2266855,"('prejudiced', 'unprejudiced')",-1.3442239,-1.2266855,0.1175384
45,0.15086275,0.1362117,"('incompetent', 'competent')",0.1508628,0.1362117,-0.0146511
46,-1.0636141,-0.97951835,"('uncompetitive', 'competitive')",-1.0636141,-0.9795184,0.0840957
47,5.4650908,5.529812,"('stupid', 'smart')",5.4650908,5.5298119,0.0647211
48,0.62810224,0.6616467,"('unintelligent', 'intelligent')",0.6281022,0.6616467,0.0335445
49,0.09091669,0.2499723,"('unable', 'able')",0.0909167,0.2499723,0.1590556
50,-0.6496904,-0.6869888,"('clumsy', 'skillful')",-0.6496904,-0.6869888,-0.0372984
51,-0.36511758,-0.38379216,"('uneducated', 'educated')",-0.3651176,-0.3837922,-0.0186746
52,0.42699432,0.17374298,"('irrational', 'rational')",0.4269943,0.173743,-0.2532513
53,0.6581263,0.51830727,"('uncreative', 'creative')",0.6581263,0.5183073,-0.139819
54,0.96474516,1.0137982,"('incapable', 'capable')",0.9647452,1.0137982,0.049053
55,0.3811294,0.49572864,"('incompetent', 'clever')",0.3811294,0.4957286,0.1145992
56,0.7314101,0.77265716,"('impractical', 'practical')",0.7314101,0.7726572,0.0412471
57,-2.6464005,-2.6423795,"('unimaginative', 'imaginative')",-2.6464005,-2.6423795,0.004021
58,-0.22396937,-0.22584893,"('undiscriminating', 'discriminating')",-0.2239694,-0.2258489,-0.0018795
59,0.536927,0.38958836,"('foolish', 'wise')",0.536927,0.3895884,-0.1473386
60,0.13011318,0.36787027,"('inefficient', 'efficient')",0.1301132,0.3678703,0.2377571
61,0.6556494,0.4543355,"('illogical', 'logical')",0.6556494,0.4543355,-0.2013139
62,0.5313965,0.7398112,"('incompetent', 'brilliant')",0.5313965,0.7398112,0.2084147
63,0.26136976,0.34143537,"('unperceptive', 'insightful')",0.2613698,0.3414354,0.0800656
64,-6.9622445,-6.8664556,"('shy', 'confident')",-6.9622445,-6.8664556,0.0957889
65,-0.12850448,0.0074606035,"('insecure', 'secure')",-0.1285045,0.0074606,0.1359651
66,0.39550918,0.15849537,"('inactive', 'active')",0.3955092,0.1584954,-0.2370138
67,-0.26418516,-0.18196446,"('doubtful', 'determined')",-0.2641852,-0.1819645,0.0822207
68,-0.99324924,-0.983762,"('dependent', 'independent')",-0.9932492,-0.983762,0.0094872
69,-1.4771771,-1.6394981,"('lazy', 'industrious')",-1.4771771,-1.6394981,-0.162321
70,0.593268,0.7118059,"('lethargic', 'energetic')",0.593268,0.7118059,0.1185379
71,1.3510889,1.2718567,"('diffident', 'self-confident')",1.3510889,1.2718567,-0.0792322
72,0.47753203,0.61162615,"('unambitious', 'ambitious')",0.477532,0.6116261,0.1340941
73,-3.5558476,-3.452006,"('helpless', 'self-reliant')",-3.5558476,-3.4520061,0.1038415
74,0.05492362,-0.061593972,"('undedicated', 'dedicated')",0.0549236,-0.061594,-0.1165176
75,-1.2727268,-1.2241471,"('meek', 'impulsive')",-1.2727268,-1.2241471,0.0485797
76,0.24510056,0.43063495,"('anxious', 'daring')",0.2451006,0.4306349,0.1855343
77,-1.6483487,-1.4684612,"('unmotivated', 'motivated')",-1.6483487,-1.4684612,0.1798875
78,-0.41540325,-0.4053197,"('nonresilient', 'resilient')",-0.4154032,-0.4053197,0.0100835
79,0.18684365,0.08181586,"('wavering', 'unwavering')",0.1868436,0.0818159,-0.1050277
80,-0.68399966,-0.61487305,"('dominated', 'dominating')",-0.6839997,-0.6148731,0.0691266
81,-0.86121833,-0.6386191,"('submissive', 'aggressive')",-0.8612183,-0.6386191,0.2225992
82,6.16652,6.2490506,"('poor', 'rich')",6.1665201,6.2490506,0.0825305
83,-0.5030086,-0.443115,"('powerless', 'powerful')",-0.5030086,-0.443115,0.0598936
84,0.1293512,0.15946144,"('inferior', 'superior')",0.1293512,0.1594614,0.0301102
85,0.03508174,-0.17411038,"('insignificant', 'prestigious')",0.0350817,-0.1741104,-0.2091921
86,0.5728504,0.49066412,"('uninfluential', 'influential')",0.5728504,0.4906641,-0.0821863
87,0.22516052,0.25382736,"('unsuccessful', 'successful')",0.2251605,0.2538274,0.0286669
88,-0.12098597,-0.06561081,"('low', 'eminent')",-0.120986,-0.0656108,0.0553752
