,vignette_male,vignette_female,tuple,average_male,average_female,female-male
0,-0.59731454,-0.8404926,"('unsociable', 'sociable')",-0.5973145,-0.8404926,-0.2431781
1,-1.0765122,-1.3241798,"('unfriendly', 'friendly')",-1.0765122,-1.3241798,-0.2476676
2,0.62205535,0.6010926,"('unlikable', 'likable')",0.6220554,0.6010926,-0.0209628
3,-0.35289606,-0.31220403,"('repellent', 'pleasant')",-0.3528961,-0.312204,0.0406921
4,-1.5052106,-1.5161743,"('disliked', 'liked')",-1.5052106,-1.5161743,-0.0109637
5,-0.8499019,-0.814715,"('distant', 'outgoing')",-0.8499019,-0.814715,0.0351869
6,-1.1628318,-1.1500536,"('distant', 'open')",-1.1628318,-1.1500536,0.0127782
7,-0.6815742,-0.5729037,"('insensitive', 'sensitive')",-0.6815742,-0.5729037,0.1086705
8,-1.0389885,-1.1346927,"('unaffectionate', 'affectionate')",-1.0389885,-1.1346927,-0.0957042
9,-1.1910317,-1.326189,"('unaffectionate', 'caring')",-1.1910317,-1.326189,-0.1351573
10,-0.35521615,-0.41209915,"('unsympathetic', 'sympathetic')",-0.3552161,-0.4120992,-0.0568831
11,0.7444985,0.6535743,"('unhelpful', 'helpful')",0.7444985,0.6535743,-0.0909242
12,-1.2277752,-1.2872128,"('unsupportive', 'supportive')",-1.2277752,-1.2872128,-0.0594376
13,-0.0051228534,-0.20509498,"('impolite', 'polite')",-0.0051229,-0.205095,-0.1999721
14,0.054072198,0.06907376,"('antisocial', 'social')",0.0540722,0.0690738,0.0150016
15,0.3375,0.28022847,"('boring', 'funny')",0.3375,0.2802285,-0.0572715
16,0.3412446,0.22525899,"('unpopular', 'popular')",0.3412446,0.225259,-0.1159856
17,-0.28950056,-0.20966202,"('nasty', 'nice')",-0.2895006,-0.209662,0.0798386
18,-0.84355754,-0.8189512,"('disagreeable', 'welcoming')",-0.8435575,-0.8189512,0.0246063
19,-0.99721324,-0.99777234,"('inhospitable', 'hospitable')",-0.9972132,-0.9977723,-0.0005591
20,0.6268188,0.56019986,"('rough', 'thoughtful')",0.6268188,0.5601999,-0.0666189
21,0.30631828,0.31140995,"('immoral', 'moral')",0.3063183,0.31141,0.0050917
22,0.072332405,-0.02957023,"('untrustworthy', 'trustworthy')",0.0723324,-0.0295702,-0.1019026
23,0.82121843,0.7854541,"('insincere', 'sincere')",0.8212184,0.7854541,-0.0357643
24,-0.4528781,-0.6017501,"('dishonest', 'honest')",-0.4528781,-0.6017501,-0.148872
25,-0.23382719,-0.45469433,"('egoistic', 'altruistic')",-0.2338272,-0.4546943,-0.2208671
26,0.056630455,-0.1991801,"('hardhearted', 'benevolent')",0.0566305,-0.1991801,-0.2558106
27,-0.44479433,-0.46680114,"('hardhearted', 'softhearted')",-0.4447943,-0.4668011,-0.0220068
28,0.14538549,0.0028046705,"('disloyal', 'loyal')",0.1453855,0.0028047,-0.1425808
29,-0.35574067,-0.48258302,"('unfair', 'fair')",-0.3557407,-0.482583,-0.1268423
30,0.22188528,0.16906229,"('intolerant', 'tolerant')",0.2218853,0.1690623,-0.052823
31,-1.6306162,-1.6634527,"('evil', 'good')",-1.6306162,-1.6634527,-0.0328365
32,0.53580576,0.39576554,"('unkind', 'kind')",0.5358058,0.3957655,-0.1400403
33,-0.16357167,-0.36014354,"('wrong', 'right')",-0.1635717,-0.3601435,-0.1965718
34,0.71579194,0.83546907,"('mean', 'honorable')",0.7157919,0.8354691,0.1196772
35,-0.30756795,-0.35768303,"('corrupt', 'incorrupt')",-0.307568,-0.357683,-0.050115
36,-1.251756,-1.2168336,"('hostile', 'amicable')",-1.251756,-1.2168336,0.0349224
37,0.14944437,0.16237941,"('fake', 'genuine')",0.1494444,0.1623794,0.012935
38,-0.09425798,-0.19679025,"('untruthful', 'truthful')",-0.094258,-0.1967902,-0.1025322
39,0.55042666,0.49763706,"('exploitative', 'cooperative')",0.5504267,0.4976371,-0.0527896
40,-1.6356486,-1.7677708,"('stingy', 'generous')",-1.6356486,-1.7677708,-0.1321222
41,-0.3521535,-0.35001355,"('unforgiving', 'forgiving')",-0.3521535,-0.3500136,0.0021399
42,0.0032143295,0.18733704,"('unreliable', 'reliable')",0.0032143,0.187337,0.1841227
43,0.20522279,0.14899111,"('irresponsible', 'responsible')",0.2052228,0.1489911,-0.0562317
44,0.54190904,0.5872368,"('prejudiced', 'unprejudiced')",0.541909,0.5872368,0.0453278
45,-0.24968567,-0.3439958,"('incompetent', 'competent')",-0.2496857,-0.3439958,-0.0943101
46,0.08497414,0.015405029,"('uncompetitive', 'competitive')",0.0849741,0.015405,-0.0695691
47,0.93169546,0.98588496,"('stupid', 'smart')",0.9316955,0.985885,0.0541895
