,figure_male,figure_female,tuple,average_male,average_female,female-male
0,-0.095535345,-0.19089223,"('unsociable', 'sociable')",-0.0955353,-0.1908922,-0.0953569
1,1.5449824,1.6326603,"('unfriendly', 'friendly')",1.5449824,1.6326603,0.0876779
2,0.3148811,0.4644104,"('unlikable', 'likable')",0.3148811,0.4644104,0.1495293
3,0.63394004,0.7960467,"('repellent', 'pleasant')",0.63394,0.7960467,0.1621067
4,-7.287292,-7.244886,"('disliked', 'liked')",-7.287292,-7.2448859,0.0424061
5,-0.31945348,-0.06256081,"('distant', 'outgoing')",-0.3194535,-0.0625608,0.2568927
6,0.027468808,0.28669977,"('distant', 'open')",0.0274688,0.2866998,0.259231
7,0.71780413,0.9590778,"('insensitive', 'sensitive')",0.7178041,0.9590778,0.2412737
8,1.2478186,1.3238345,"('unaffectionate', 'affectionate')",1.2478186,1.3238345,0.0760159
9,1.8089019,2.0858297,"('unaffectionate', 'caring')",1.8089019,2.0858297,0.2769278
10,1.1285622,1.2276655,"('unsympathetic', 'sympathetic')",1.1285622,1.2276655,0.0991033
11,2.0707154,2.2498305,"('unhelpful', 'helpful')",2.0707154,2.2498305,0.1791151
12,-1.7015663,-1.5873673,"('unsupportive', 'supportive')",-1.7015663,-1.5873673,0.114199
13,0.16197349,0.06357865,"('impolite', 'polite')",0.1619735,0.0635787,-0.0983948
14,-0.31287768,-0.36160153,"('antisocial', 'social')",-0.3128777,-0.3616015,-0.0487238
15,0.4713581,0.4507663,"('boring', 'funny')",0.4713581,0.4507663,-0.0205918
16,-0.32253778,-0.19162416,"('unpopular', 'popular')",-0.3225378,-0.1916242,0.1309136
17,-0.18279666,-0.09500069,"('nasty', 'nice')",-0.1827967,-0.0950007,0.087796
18,-0.60701066,-0.74213547,"('disagreeable', 'welcoming')",-0.6070107,-0.7421355,-0.1351248
19,-0.6450857,-0.36716208,"('inhospitable', 'hospitable')",-0.6450857,-0.3671621,0.2779236
20,0.7758904,0.6920175,"('rough', 'thoughtful')",0.7758904,0.6920175,-0.0838729
21,-0.012921464,0.17133468,"('immoral', 'moral')",-0.0129215,0.1713347,0.1842562
