,unum_male,unum_female,tuple,group_male,group_female,average_male,average_female,female-male
0,-1.4651899,-1.4283864,"('unsociable', 'sociable')",0.73681146,0.6103988,-0.3641892,-0.4089938,-0.0448046
1,-0.9590978,-0.9667454,"('unfriendly', 'friendly')",1.1335931,0.91914964,0.0872476,-0.0237979,-0.1110455
2,0.44693303,0.5204172,"('unlikable', 'likable')",0.974818,0.9595259,0.7108755,0.7399715,0.029096
3,-0.4380015,-0.21881518,"('repellent', 'pleasant')",0.48681694,0.6471349,0.0244077,0.2141599,0.1897522
4,-0.050080884,-0.05230967,"('disliked', 'liked')",-5.8235188,-5.9451118,-2.9367998,-2.9987106,-0.0619108
5,-0.26882336,-0.27305633,"('distant', 'outgoing')",-1.209223,-1.3000346,-0.7390232,-0.7865455,-0.0475223
6,-0.36729097,-0.32201022,"('distant', 'open')",-1.1745164,-1.3192639,-0.7709037,-0.8206371,-0.0497334
7,-0.93513024,-0.8210861,"('insensitive', 'sensitive')",0.5129079,0.59893256,-0.2111112,-0.1110768,0.1000344
8,-0.60961205,-0.69176286,"('unaffectionate', 'affectionate')",0.32444844,0.2881346,-0.1425818,-0.2018141,-0.0592323
9,-0.8682871,-0.89278495,"('unaffectionate', 'caring')",0.8286022,0.68204343,-0.0198424,-0.1053708,-0.0855284
10,-1.6797153,-1.5605218,"('unsympathetic', 'sympathetic')",0.3761417,0.5024927,-0.6517868,-0.5290146,0.1227722
11,-1.0389917,-1.0463868,"('unhelpful', 'helpful')",1.675364,1.6496842,0.3181862,0.3016487,-0.0165375
12,-1.5081713,-1.427254,"('unsupportive', 'supportive')",-1.2734932,-1.2507013,-1.3908322,-1.3389776,0.0518546
13,-1.1889545,-1.1059816,"('impolite', 'polite')",0.38344103,0.39562333,-0.4027567,-0.3551791,0.0475776
14,0.34004033,0.43787023,"('antisocial', 'social')",1.3956712,1.4618465,0.8678558,0.9498584,0.0820026
