,american_male,american_female,tuple,express_male,express_female,co_male,co_female,average_male,average_female,female-male
0,-1.1691202,-1.1411247,"('unsociable', 'sociable')",0.12508109,0.17989072,-0.53963995,-0.617993,-0.527893,-0.526409,0.001484
1,0.12228655,0.049980342,"('unfriendly', 'friendly')",0.63708484,0.52300197,1.7070853,1.6446507,0.8221522,0.739211,-0.0829412
2,0.7497884,0.9137001,"('unlikable', 'likable')",1.1630623,1.309293,0.94228333,1.1205428,0.9517113,1.114512,0.1628007
3,-1.0675561,-0.89658755,"('repellent', 'pleasant')",-1.1260095,-0.9922565,0.5647669,0.6592975,-0.5429329,-0.4098488,0.1330841
4,-0.07195605,-0.119869694,"('disliked', 'liked')",0.117963865,0.07144145,-6.8332334,-6.9401197,-2.2624086,-2.3295159,-0.0671073
5,0.32580167,0.29033458,"('distant', 'outgoing')",0.22161484,0.19463035,-0.10428759,-0.053532027,0.1477096,0.143811,-0.0038986
6,0.21841577,0.19859715,"('distant', 'open')",0.04058726,-0.008135036,0.27345222,0.33274168,0.1774851,0.1744013,-0.0030838
7,-0.26637572,-0.12576152,"('insensitive', 'sensitive')",-0.35858628,-0.20527358,-0.3882292,-0.31492084,-0.3377304,-0.2153186,0.1224118
8,-0.2191101,-0.24900517,"('unaffectionate', 'affectionate')",0.36990148,0.25870854,0.49823344,0.4746334,0.2163416,0.1614456,-0.054896
9,0.3349879,0.3447643,"('unaffectionate', 'caring')",0.55187494,0.49156886,0.8425122,0.8643252,0.5764584,0.5668861,-0.0095723
10,-0.31709102,-0.1824532,"('unsympathetic', 'sympathetic')",-0.8463061,-0.6897949,-0.7985608,-0.80270374,-0.653986,-0.5583173,0.0956687
11,-0.33079734,-0.19533417,"('unhelpful', 'helpful')",-0.656523,-0.5127361,1.3575839,1.3979086,0.1234212,0.2299461,0.1065249
12,0.3098024,0.55372393,"('unsupportive', 'supportive')",-0.30988258,-0.06823229,-2.4346085,-2.379495,-0.8115629,-0.6313344,0.1802285
13,-0.83341324,-0.81540483,"('impolite', 'polite')",0.045234427,0.110835835,-0.7787087,-0.76887906,-0.5222958,-0.4911493,0.0311465
14,-0.40952265,-0.37185746,"('antisocial', 'social')",-0.012045573,0.031106818,-0.4808988,-0.570558,-0.3008223,-0.3037695,-0.0029472
15,0.2149573,0.08404074,"('boring', 'funny')",0.7462128,0.57276386,0.21678579,0.16602431,0.392652,0.2742763,-0.1183757
16,-0.8927863,-0.9126374,"('unpopular', 'popular')",-0.42517892,-0.39416492,0.52277976,0.42985535,-0.2650618,-0.2923156,-0.0272538
17,-0.34477794,-0.23194441,"('nasty', 'nice')",0.15911755,0.31318343,-0.21942577,-0.23015624,-0.1350287,-0.0496391,0.0853896
18,0.94130856,1.1134775,"('disagreeable', 'welcoming')",0.26018918,0.38570556,-0.52720857,-0.50987536,0.2247631,0.3297692,0.1050061
19,0.29464492,0.43316373,"('inhospitable', 'hospitable')",-0.39533004,-0.3406839,-0.33613008,-0.18629925,-0.1456051,-0.0312731,0.114332
