,macys_male,macys_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.3071664,0.38894057,"('unsociable', 'sociable')",-0.5293104,-0.6584724,-0.111072,-0.1347659,-0.0236939
1,0.54547817,0.9012003,"('unfriendly', 'friendly')",1.8935214,1.8744624,1.2194998,1.3878313,0.1683315
2,0.5907345,0.678599,"('unlikable', 'likable')",0.70101917,0.7714084,0.6458768,0.7250037,0.0791269
3,-0.7552836,-0.6469196,"('repellent', 'pleasant')",0.30160636,0.3649731,-0.2268386,-0.1409733,0.0858653
4,-0.43740034,-0.40501305,"('disliked', 'liked')",-6.5659685,-6.6298146,-3.5016844,-3.5174139,-0.0157295
5,0.08608208,0.24448463,"('distant', 'outgoing')",-0.34105963,-0.2817793,-0.1274888,-0.0186473,0.1088415
6,-0.028766047,0.24664699,"('distant', 'open')",0.4675194,0.5399147,0.2193767,0.3932809,0.1739042
7,0.029770777,0.27507728,"('insensitive', 'sensitive')",0.46770737,0.5143928,0.2487391,0.394735,0.1459959
8,0.02832105,0.17405204,"('unaffectionate', 'affectionate')",0.9537115,0.8988605,0.4910163,0.5364563,0.04544
9,0.27993065,0.5262861,"('unaffectionate', 'caring')",1.0621399,1.1094067,0.6710353,0.8178464,0.1468111
10,-0.18773651,0.08974094,"('unsympathetic', 'sympathetic')",-0.27303907,-0.30343798,-0.2303878,-0.1068485,0.1235393
11,-0.30239242,-0.24100038,"('unhelpful', 'helpful')",1.5004098,1.548315,0.5990087,0.6536573,0.0546486
12,0.85186166,1.1839415,"('unsupportive', 'supportive')",-1.7940434,-1.7271655,-0.4710909,-0.271612,0.1994789
13,0.62728286,0.651046,"('impolite', 'polite')",-0.48843533,-0.5373999,0.0694238,0.056823,-0.0126008
14,-0.050330866,-0.16609983,"('antisocial', 'social')",-0.9531363,-1.0435462,-0.5017336,-0.604823,-0.1030894
15,0.3716108,0.37162843,"('boring', 'funny')",0.2962299,0.31079108,0.3339204,0.3412098,0.0072894
16,-0.54365,-0.43365997,"('unpopular', 'popular')",0.63261044,0.64579093,0.0444802,0.1060655,0.0615853
17,-0.627851,-0.49038905,"('nasty', 'nice')",-0.7026979,-0.6032649,-0.6652744,-0.546827,0.1184474
18,-0.6255169,-0.509358,"('disagreeable', 'welcoming')",-0.51081216,-0.5113373,-0.5681645,-0.5103476,0.0578169
19,0.4516694,0.64651644,"('inhospitable', 'hospitable')",0.13463062,0.30430204,0.29315,0.4754092,0.1822592
