,sidestream_male,sidestream_female,tuple,average_male,average_female,female-male
0,-0.20443323,-0.1755101,"('unsociable', 'sociable')",-0.2044332,-0.1755101,0.0289231
1,0.5051753,0.39671528,"('unfriendly', 'friendly')",0.5051753,0.3967153,-0.10846
2,0.1439769,0.16604933,"('unlikable', 'likable')",0.1439769,0.1660493,0.0220724
3,-0.09466515,0.11867049,"('repellent', 'pleasant')",-0.0946651,0.1186705,0.2133356
4,-4.4753876,-4.6149006,"('disliked', 'liked')",-4.4753876,-4.6149006,-0.139513
5,-0.76230216,-0.8046277,"('distant', 'outgoing')",-0.7623022,-0.8046277,-0.0423255
6,-0.42739633,-0.3627642,"('distant', 'open')",-0.4273963,-0.3627642,0.0646321
7,0.6060546,0.87934047,"('insensitive', 'sensitive')",0.6060546,0.8793405,0.2732859
8,0.38054156,0.2372699,"('unaffectionate', 'affectionate')",0.3805416,0.2372699,-0.1432717
9,0.63833874,0.8070545,"('unaffectionate', 'caring')",0.6383387,0.8070545,0.1687158
10,-0.29374573,0.02565629,"('unsympathetic', 'sympathetic')",-0.2937457,0.0256563,0.319402
11,1.3849255,1.6057945,"('unhelpful', 'helpful')",1.3849255,1.6057945,0.220869
12,-0.73390704,-0.457307,"('unsupportive', 'supportive')",-0.733907,-0.457307,0.2766
13,-0.1372456,-0.117497586,"('impolite', 'polite')",-0.1372456,-0.1174976,0.019748
14,0.25192988,0.34324527,"('antisocial', 'social')",0.2519299,0.3432453,0.0913154
15,0.47685027,0.3499127,"('boring', 'funny')",0.4768503,0.3499127,-0.1269376
16,-0.8359464,-0.92365247,"('unpopular', 'popular')",-0.8359464,-0.9236525,-0.0877061
17,-0.39187512,-0.3122426,"('nasty', 'nice')",-0.3918751,-0.3122426,0.0796325
18,-0.5121237,-0.42450118,"('disagreeable', 'welcoming')",-0.5121237,-0.4245012,0.0876225
19,-0.56742567,-0.58299387,"('inhospitable', 'hospitable')",-0.5674257,-0.5829939,-0.0155682
20,0.216516,0.26786372,"('rough', 'thoughtful')",0.216516,0.2678637,0.0513477
21,-0.050606824,0.12875465,"('immoral', 'moral')",-0.0506068,0.1287546,0.1793614
22,0.44977197,0.6294255,"('untrustworthy', 'trustworthy')",0.449772,0.6294255,0.1796535
23,3.590701,3.8352454,"('insincere', 'sincere')",3.5907011,3.8352454,0.2445443
24,1.0712863,1.2942964,"('dishonest', 'honest')",1.0712863,1.2942964,0.2230101
25,0.6940848,0.6734639,"('egoistic', 'altruistic')",0.6940848,0.6734639,-0.0206209
26,0.09789784,-0.20699075,"('hardhearted', 'benevolent')",0.0978978,-0.2069907,-0.3048885
27,0.8259382,0.9809656,"('hardhearted', 'softhearted')",0.8259382,0.9809656,0.1550274
28,0.41888383,0.4328535,"('disloyal', 'loyal')",0.4188838,0.4328535,0.0139697
29,-0.25692174,-0.20556414,"('unfair', 'fair')",-0.2569217,-0.2055641,0.0513576
30,1.0476061,1.1026616,"('intolerant', 'tolerant')",1.0476061,1.1026616,0.0550555
31,-1.002454,-1.0984116,"('evil', 'good')",-1.002454,-1.0984116,-0.0959576
32,0.6165876,0.68128043,"('unkind', 'kind')",0.6165876,0.6812804,0.0646928
33,0.11592405,0.02050213,"('wrong', 'right')",0.1159241,0.0205021,-0.095422
34,3.033474,3.2117887,"('mean', 'honorable')",3.033474,3.2117887,0.1783147
35,-0.6510339,-0.813028,"('corrupt', 'incorrupt')",-0.6510339,-0.813028,-0.1619941
36,-0.7613519,-0.97590727,"('hostile', 'amicable')",-0.7613519,-0.9759073,-0.2145554
37,0.73398703,0.82914454,"('fake', 'genuine')",0.733987,0.8291445,0.0951575
38,0.46424112,0.5200579,"('untruthful', 'truthful')",0.4642411,0.5200579,0.0558168
39,0.7775725,0.77660596,"('exploitative', 'cooperative')",0.7775725,0.776606,-0.0009665
40,-1.2701035,-1.0689498,"('stingy', 'generous')",-1.2701035,-1.0689498,0.2011537
41,0.26836383,0.29924324,"('unforgiving', 'forgiving')",0.2683638,0.2992432,0.0308794
42,-1.397625,-1.1510992,"('unreliable', 'reliable')",-1.397625,-1.1510992,0.2465258
43,0.55380875,0.7196321,"('irresponsible', 'responsible')",0.5538087,0.7196321,0.1658234
44,-0.60467625,-0.7233343,"('prejudiced', 'unprejudiced')",-0.6046762,-0.7233343,-0.1186581
45,-0.039868977,0.18163945,"('incompetent', 'competent')",-0.039869,0.1816394,0.2215084
46,-0.32216442,-0.22008498,"('uncompetitive', 'competitive')",-0.3221644,-0.220085,0.1020794
47,3.2679696,3.336084,"('stupid', 'smart')",3.2679696,3.3360839,0.0681143
48,-0.022822645,0.11225635,"('unintelligent', 'intelligent')",-0.0228226,0.1122563,0.1350789
49,-0.22776286,-0.015512094,"('unable', 'able')",-0.2277629,-0.0155121,0.2122508
50,-0.10172513,-0.05942492,"('clumsy', 'skillful')",-0.1017251,-0.0594249,0.0423002
51,-0.31054378,-0.17235348,"('uneducated', 'educated')",-0.3105438,-0.1723535,0.1381903
52,-0.70307165,-0.95226514,"('irrational', 'rational')",-0.7030717,-0.9522651,-0.2491934
53,-0.60439247,-0.65353894,"('uncreative', 'creative')",-0.6043925,-0.6535389,-0.0491464
54,0.15133555,0.14262974,"('incapable', 'capable')",0.1513356,0.1426297,-0.0087059
55,0.85157937,1.0897243,"('incompetent', 'clever')",0.8515794,1.0897243,0.2381449
56,0.6204983,0.74701846,"('impractical', 'practical')",0.6204983,0.7470185,0.1265202
57,-2.0961409,-2.189457,"('unimaginative', 'imaginative')",-2.0961409,-2.1894569,-0.093316
58,-0.061305005,-0.05272986,"('undiscriminating', 'discriminating')",-0.061305,-0.0527299,0.0085751
59,-0.21043982,-0.22103095,"('foolish', 'wise')",-0.2104398,-0.221031,-0.0105912
