,corteva_male,corteva_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-1.0967257,-1.0460392,"('unsociable', 'sociable')",-0.47339433,-0.49609858,-0.78506,-0.7710689,0.0139911
1,-1.8163824,-1.893564,"('unfriendly', 'friendly')",1.7185597,1.5843838,-0.0489113,-0.1545901,-0.1056788
2,1.0671766,1.1277992,"('unlikable', 'likable')",0.5757212,0.726824,0.8214489,0.9273115,0.1058626
3,0.10422641,0.38594443,"('repellent', 'pleasant')",0.3329144,0.42094877,0.2185704,0.4034466,0.1848762
4,-0.072486274,-0.17615928,"('disliked', 'liked')",-6.5015316,-6.517339,-3.287009,-3.3467493,-0.0597403
5,-1.1678967,-1.3753357,"('distant', 'outgoing')",-0.08846881,-0.1612351,-0.6281828,-0.7682854,-0.1401026
6,-1.6551049,-1.8108907,"('distant', 'open')",0.37820274,0.27926198,-0.6384511,-0.7658144,-0.1273633
7,-0.5318572,-0.32217628,"('insensitive', 'sensitive')",0.2508476,0.39756793,-0.1405048,0.0376958,0.1782006
8,-0.9267688,-1.1074798,"('unaffectionate', 'affectionate')",0.94731694,0.81860703,0.0102741,-0.1444364,-0.1547105
9,-1.1803904,-1.280286,"('unaffectionate', 'caring')",1.0045385,0.9553406,-0.0879259,-0.1624727,-0.0745468
10,-0.53517866,-0.36106277,"('unsympathetic', 'sympathetic')",-0.6363975,-0.5813763,-0.5857881,-0.4712195,0.1145686
11,-0.34836763,-0.3242393,"('unhelpful', 'helpful')",1.3062779,1.422779,0.4789551,0.5492698,0.0703147
12,-0.46688038,-0.37482327,"('unsupportive', 'supportive')",-1.9572295,-1.8679484,-1.212055,-1.1213858,0.0906692
13,-0.0599981,-0.04712431,"('impolite', 'polite')",-0.89571065,-0.81542754,-0.4778544,-0.4312759,0.0465785
14,0.4705987,0.6526909,"('antisocial', 'social')",-0.36874402,-0.32735395,0.0509273,0.1626685,0.1117412
15,0.16054815,-0.11151449,"('boring', 'funny')",0.5200728,0.47373155,0.3403105,0.1811085,-0.159202
16,-0.57155067,-0.58839864,"('unpopular', 'popular')",0.60174435,0.60323864,0.0150968,0.00742,-0.0076768
17,-0.27067843,-0.25054538,"('nasty', 'nice')",-0.32322752,-0.2985598,-0.296953,-0.2745526,0.0224004
18,-0.114842355,0.018731188,"('disagreeable', 'welcoming')",-0.40357044,-0.40350443,-0.2592064,-0.1923866,0.0668198
19,-1.06874,-1.1289691,"('inhospitable', 'hospitable')",-0.16506779,-0.08635701,-0.6169039,-0.607663,0.0092409
20,0.26195174,0.33277476,"('rough', 'thoughtful')",1.4899815,1.4053648,0.8759667,0.8690698,-0.0068969
21,0.6083928,0.72400457,"('immoral', 'moral')",-0.510736,-0.37537512,0.0488284,0.1743147,0.1254863
22,0.63434136,0.76880354,"('untrustworthy', 'trustworthy')",-0.914381,-0.9091642,-0.1400198,-0.0701803,0.0698395
