,3m_male,3m_female,tuple,co_male,co_female,average_male,average_female,female-male
0,0.40575412,0.28777376,"('unsociable', 'sociable')",0.3935889,0.3997414,0.3996715,0.3437576,-0.0559139
1,-0.96505684,-1.1963309,"('unfriendly', 'friendly')",1.3565514,1.0132012,0.1957473,-0.0915648,-0.2873121
2,1.3793172,1.4258283,"('unlikable', 'likable')",0.73204994,0.8197135,1.0556836,1.1227709,0.0670873
3,0.2226897,0.34641498,"('repellent', 'pleasant')",0.57780945,0.746458,0.4002496,0.5464365,0.1461869
4,-0.39555,-0.3843074,"('disliked', 'liked')",-7.342039,-7.4284463,-3.8687944,-3.9063768,-0.0375824
5,-1.0809114,-1.115552,"('distant', 'outgoing')",-0.81225675,-1.0103354,-0.9465841,-1.0629437,-0.1163596
6,-1.4862605,-1.5071334,"('distant', 'open')",-0.5926254,-0.8362941,-1.039443,-1.1717137,-0.1322707
7,0.62660044,0.61483574,"('insensitive', 'sensitive')",0.703454,0.7552325,0.6650273,0.6850342,0.0200069
8,-1.6990389,-1.8620968,"('unaffectionate', 'affectionate')",0.36704057,0.10370974,-0.6659992,-0.8791935,-0.2131943
9,-0.97944176,-1.024068,"('unaffectionate', 'caring')",1.052468,0.88657564,0.0365131,-0.0687462,-0.1052593
10,0.62735593,0.58314675,"('unsympathetic', 'sympathetic')",0.33941782,0.472644,0.4833869,0.5278954,0.0445085
11,0.5258789,0.6272172,"('unhelpful', 'helpful')",2.363149,2.515232,1.4445139,1.5712247,0.1267108
12,0.52869195,0.6693417,"('unsupportive', 'supportive')",-1.6217564,-1.5281148,-0.5465323,-0.4293866,0.1171457
13,0.71824926,0.7177041,"('impolite', 'polite')",-0.068601064,0.08901714,0.3248241,0.4033606,0.0785365
14,1.9042077,1.7713462,"('antisocial', 'social')",0.50176823,0.5463835,1.2029879,1.1588649,-0.044123
15,0.6659817,0.43745086,"('boring', 'funny')",0.30537242,0.19060373,0.4856771,0.3140273,-0.1716498
16,-0.9744787,-0.89587617,"('unpopular', 'popular')",0.29513168,0.21271838,-0.3396735,-0.3415789,-0.0019054
17,-0.23039788,-0.18980499,"('nasty', 'nice')",-0.45997804,-0.4275904,-0.345188,-0.3086977,0.0364903
18,-0.79758716,-0.7036345,"('disagreeable', 'welcoming')",-1.0644045,-1.1514624,-0.9309958,-0.9275485,0.0034473
19,-1.3198268,-1.259643,"('inhospitable', 'hospitable')",-0.65031266,-0.6639525,-0.9850698,-0.9617977,0.0232721
20,0.6706609,0.6964216,"('rough', 'thoughtful')",0.23721913,0.3209205,0.45394,0.508671,0.054731
21,0.6265224,0.75093436,"('immoral', 'moral')",-0.48390839,-0.2080015,0.071307,0.2714664,0.2001594
22,1.0086442,0.9759167,"('untrustworthy', 'trustworthy')",-0.39690447,-0.27603117,0.3058699,0.3499427,0.0440728
23,0.76019675,0.76105523,"('insincere', 'sincere')",6.557308,6.5320497,3.6587524,3.6465526,-0.0121998
24,-0.040502116,-0.12117079,"('dishonest', 'honest')",1.3176335,1.2361987,0.6385657,0.557514,-0.0810517
25,-1.0069771,-1.1848259,"('egoistic', 'altruistic')",1.1020743,0.81999505,0.0475486,-0.1824154,-0.229964
26,0.19689606,-0.14876366,"('hardhearted', 'benevolent')",1.5515465,1.3572351,0.8742213,0.6042357,-0.2699856
27,-0.240553,-0.3381948,"('hardhearted', 'softhearted')",0.5129828,0.29681164,0.1362149,-0.0206916,-0.1569065
28,-0.2607998,-0.42150027,"('disloyal', 'loyal')",1.2124801,1.072793,0.4758402,0.3256464,-0.1501938
29,0.22650427,0.18178585,"('unfair', 'fair')",-0.7752046,-0.86992204,-0.2743502,-0.3440681,-0.0697179
30,1.2038033,1.1633571,"('intolerant', 'tolerant')",0.36963215,0.5523948,0.7867177,0.8578759,0.0711582
31,-1.3517212,-1.3632507,"('evil', 'good')",-1.383543,-1.5854968,-1.3676322,-1.4743738,-0.1067416
32,0.889654,0.7508542,"('unkind', 'kind')",1.2925621,1.1506573,1.0911081,0.9507557,-0.1403524
33,0.15390496,0.20075841,"('wrong', 'right')",-0.48076788,-0.56015754,-0.1634315,-0.1796996,-0.0162681
34,-1.0052823,-0.8201401,"('mean', 'honorable')",5.225003,5.343477,2.1098602,2.2616682,0.151808
35,-0.8468743,-1.0068835,"('corrupt', 'incorrupt')",-0.695607,-1.0096295,-0.7712407,-1.0082564,-0.2370157
36,-1.653017,-1.7674443,"('hostile', 'amicable')",-0.4702857,-0.77027476,-1.0616513,-1.2688595,-0.2072082
37,0.4081908,0.37882584,"('fake', 'genuine')",0.29448923,0.17628679,0.35134,0.2775563,-0.0737837
38,-0.6061761,-0.5457026,"('untruthful', 'truthful')",0.2964373,0.32668266,-0.1548694,-0.10951,0.0453594
39,1.2436621,1.3477979,"('exploitative', 'cooperative')",0.95579416,1.002472,1.0997281,1.1751349,0.0754068
40,-0.4183359,-0.45194876,"('stingy', 'generous')",-2.5989685,-2.6828158,-1.5086522,-1.5673823,-0.0587301
41,0.45784128,0.4632895,"('unforgiving', 'forgiving')",-0.24195138,-0.19887578,0.107945,0.1322069,0.0242619
42,1.4593105,1.6084306,"('unreliable', 'reliable')",-2.7965603,-2.632921,-0.6686249,-0.5122452,0.1563797
43,1.0433468,1.1931052,"('irresponsible', 'responsible')",1.1852582,1.3757662,1.1143024,1.2844357,0.1701333
44,0.12985425,0.20130447,"('prejudiced', 'unprejudiced')",-1.1603031,-1.1153547,-0.5152245,-0.4570251,0.0581994
45,1.5193386,1.4216275,"('incompetent', 'competent')",0.6304815,0.7999046,1.07491,1.1107661,0.0358561
46,0.39985102,0.453038,"('uncompetitive', 'competitive')",-0.2720658,-0.039359316,0.0638926,0.2068394,0.1429468
47,0.68170065,0.6727594,"('stupid', 'smart')",5.5840626,5.7159543,3.1328816,3.1943569,0.0614753
48,-0.41945094,-0.43837255,"('unintelligent', 'intelligent')",-0.008530304,0.12383586,-0.2139906,-0.1572683,0.0567223
49,-0.2575618,-0.051142924,"('unable', 'able')",-0.4980273,-0.32393724,-0.3777946,-0.1875401,0.1902545
50,0.5520414,0.5088327,"('clumsy', 'skillful')",0.2785943,0.20244968,0.4153178,0.3556412,-0.0596766
51,0.47571862,0.43406352,"('uneducated', 'educated')",0.07609042,0.15145846,0.2759045,0.292761,0.0168565
52,-1.059406,-1.1970146,"('irrational', 'rational')",-0.48409903,-0.7972243,-0.7717525,-0.9971194,-0.2253669
53,-0.81008446,-0.99116397,"('uncreative', 'creative')",0.77601606,0.64874583,-0.0170342,-0.1712091,-0.1541749
54,0.014319824,-0.12877746,"('incapable', 'capable')",1.239493,1.1275868,0.6269064,0.4994047,-0.1275017
55,1.4575053,1.4915001,"('incompetent', 'clever')",0.7677365,1.0508721,1.1126209,1.2711861,0.1585652
56,2.462524,2.5102985,"('impractical', 'practical')",0.24337499,0.4597031,1.3529495,1.4850008,0.1320513
57,0.3208509,0.15451458,"('unimaginative', 'imaginative')",-2.9465115,-2.7992046,-1.3128303,-1.322345,-0.0095147
58,0.6231777,0.55856645,"('undiscriminating', 'discriminating')",0.30164823,0.42531645,0.462413,0.4919415,0.0295285
59,0.26142147,0.2571786,"('foolish', 'wise')",0.042278543,-0.06844734,0.15185,0.0943656,-0.0574844
60,1.8711593,1.990353,"('inefficient', 'efficient')",0.41319504,0.7964209,1.1421772,1.393387,0.2512098
61,1.054226,0.9149269,"('illogical', 'logical')",0.59314996,0.55794656,0.823688,0.7364367,-0.0872513
62,1.9427446,2.1220891,"('incompetent', 'brilliant')",0.8919365,1.188455,1.4173405,1.655272,0.2379315
63,1.0143467,1.0930357,"('unperceptive', 'insightful')",0.67485666,0.8657634,0.8446017,0.9793996,0.1347979
64,1.2145926,1.1767492,"('shy', 'confident')",-6.1342864,-5.9206963,-2.459847,-2.3719735,0.0878735
65,1.4242935,1.3018727,"('insecure', 'secure')",0.36033925,0.62395734,0.8923164,0.9629151,0.0705987
66,-0.5170133,-0.6307463,"('inactive', 'active')",0.47807112,0.33915305,-0.0194711,-0.1457966,-0.1263255
67,0.97354907,1.0215373,"('doubtful', 'determined')",-0.17655276,-0.2036465,0.3984981,0.4089454,0.0104473
68,-0.6008309,-0.55900097,"('dependent', 'independent')",-1.4477663,-1.3359984,-1.0242987,-0.9474997,0.076799
69,0.095216416,0.088946745,"('lazy', 'industrious')",-1.3771363,-1.5507038,-0.64096,-0.7308785,-0.0899185
70,1.1310917,1.1302462,"('lethargic', 'energetic')",1.1192113,1.2769502,1.1251515,1.2035983,0.0784468
71,-0.023063648,-0.042905584,"('diffident', 'self-confident')",1.0459263,0.9595322,0.5114313,0.4583133,-0.053118
72,0.38139096,0.37223512,"('unambitious', 'ambitious')",-0.21356668,-0.121455185,0.0839121,0.12539,0.0414779
73,0.34002453,0.5172394,"('helpless', 'self-reliant')",-3.5411546,-3.4918377,-1.6005651,-1.4872992,0.1132659
74,0.9758595,0.881671,"('undedicated', 'dedicated')",0.31382445,0.3597594,0.644842,0.6207152,-0.0241268
75,-0.9910053,-0.96474314,"('meek', 'impulsive')",-0.91936797,-0.8749047,-0.9551866,-0.9198239,0.0353627
76,1.3387908,1.4263278,"('anxious', 'daring')",0.17458951,0.38593704,0.7566901,0.9061325,0.1494424
77,0.054141562,0.20327924,"('unmotivated', 'motivated')",-0.57190645,-0.4409652,-0.2588824,-0.118843,0.1400394
78,-0.59088516,-0.5235068,"('nonresilient', 'resilient')",0.20927781,0.28280792,-0.1908037,-0.1203495,0.0704542
79,-0.9140369,-0.9966352,"('wavering', 'unwavering')",-0.29031095,-0.36611357,-0.6021739,-0.6813744,-0.0792005
80,1.0883255,1.0894265,"('dominated', 'dominating')",-0.333191,-0.13692392,0.3775672,0.4762513,0.0986841
81,0.90575975,0.8661529,"('submissive', 'aggressive')",-0.49221614,-0.17525691,0.2067718,0.345448,0.1386762
82,-0.028412953,-0.10911946,"('poor', 'rich')",6.3661637,6.4043407,3.1688755,3.1476107,-0.0212648
83,0.15728861,0.21395999,"('powerless', 'powerful')",-1.0196878,-0.9761484,-0.4311996,-0.3810942,0.0501054
84,0.33452776,0.26265976,"('inferior', 'superior')",0.07095704,0.08110032,0.2027424,0.17188,-0.0308624
85,-1.5566227,-1.5127127,"('insignificant', 'prestigious')",-0.6074381,-0.90256715,-1.0820304,-1.2076399,-0.1256095
86,-0.41686672,-0.51272714,"('uninfluential', 'influential')",-0.2690895,-0.1699809,-0.3429781,-0.341354,0.0016241
87,1.7740206,1.6343329,"('unsuccessful', 'successful')",1.1494471,1.1951897,1.4617338,1.4147613,-0.0469725
88,-0.5444997,-0.69896746,"('low', 'eminent')",-0.3531968,-0.40380105,-0.4488482,-0.5513843,-0.1025361
