,society_male,society_female,tuple,average_male,average_female,female-male
0,0.20856543,0.029901646,"('unsociable', 'sociable')",0.2085654,0.0299016,-0.1786638
1,1.9986519,1.9402703,"('unfriendly', 'friendly')",1.9986519,1.9402703,-0.0583816
2,0.26643348,0.42073748,"('unlikable', 'likable')",0.2664335,0.4207375,0.154304
3,0.04043227,0.20517842,"('repellent', 'pleasant')",0.0404323,0.2051784,0.1647461
4,-6.5660872,-6.8553643,"('disliked', 'liked')",-6.5660872,-6.8553643,-0.2892771
5,0.25077248,0.35318816,"('distant', 'outgoing')",0.2507725,0.3531882,0.1024157
6,0.9500239,0.99118215,"('distant', 'open')",0.9500239,0.9911821,0.0411582
7,1.2762817,1.2674762,"('insensitive', 'sensitive')",1.2762817,1.2674762,-0.0088055
8,1.7691449,1.7857593,"('unaffectionate', 'affectionate')",1.7691449,1.7857593,0.0166144
9,2.1545088,2.2357514,"('unaffectionate', 'caring')",2.1545088,2.2357514,0.0812426
10,-0.013733894,0.104108214,"('unsympathetic', 'sympathetic')",-0.0137339,0.1041082,0.1178421
11,1.3372741,1.607936,"('unhelpful', 'helpful')",1.3372741,1.607936,0.2706619
12,-1.3911406,-1.3923433,"('unsupportive', 'supportive')",-1.3911406,-1.3923433,-0.0012027
13,-0.8715202,-0.64205754,"('impolite', 'polite')",-0.8715202,-0.6420575,0.2294627
14,0.17016882,0.13920002,"('antisocial', 'social')",0.1701688,0.1392,-0.0309688
15,0.9584653,0.86969036,"('boring', 'funny')",0.9584653,0.8696904,-0.0887749
16,-0.037114233,-0.04515393,"('unpopular', 'popular')",-0.0371142,-0.0451539,-0.0080397
17,0.18198897,0.29201877,"('nasty', 'nice')",0.181989,0.2920188,0.1100298
18,-0.6304506,-0.530387,"('disagreeable', 'welcoming')",-0.6304506,-0.530387,0.1000636
19,0.34101826,0.46519595,"('inhospitable', 'hospitable')",0.3410183,0.465196,0.1241777
20,0.8314272,0.69521534,"('rough', 'thoughtful')",0.8314272,0.6952153,-0.1362119
21,-0.56892145,-0.41597122,"('immoral', 'moral')",-0.5689214,-0.4159712,0.1529502
22,-0.5886344,-0.5713341,"('untrustworthy', 'trustworthy')",-0.5886344,-0.5713341,0.0173003
23,5.951247,6.250434,"('insincere', 'sincere')",5.9512472,6.2504339,0.2991867
24,0.64841896,0.7167346,"('dishonest', 'honest')",0.648419,0.7167346,0.0683156
25,1.1230708,1.073302,"('egoistic', 'altruistic')",1.1230708,1.073302,-0.0497688
26,2.2894144,2.0707188,"('hardhearted', 'benevolent')",2.2894144,2.0707188,-0.2186956
27,2.0709023,1.9034629,"('hardhearted', 'softhearted')",2.0709023,1.9034629,-0.1674394
28,1.4333732,1.3286527,"('disloyal', 'loyal')",1.4333732,1.3286527,-0.1047205
29,0.013471499,-0.25159794,"('unfair', 'fair')",0.0134715,-0.2515979,-0.2650694
30,0.19319768,0.37452534,"('intolerant', 'tolerant')",0.1931977,0.3745253,0.1813276
31,-0.32412437,-0.4951532,"('evil', 'good')",-0.3241244,-0.4951532,-0.1710288
32,0.94150174,0.9815732,"('unkind', 'kind')",0.9415017,0.9815732,0.0400715
33,0.20961669,0.11348364,"('wrong', 'right')",0.2096167,0.1134836,-0.0961331
34,5.202599,5.593403,"('mean', 'honorable')",5.202599,5.5934029,0.3908039
35,0.25177795,-0.116303995,"('corrupt', 'incorrupt')",0.2517779,-0.116304,-0.3680819
36,0.621234,0.3246085,"('hostile', 'amicable')",0.621234,0.3246085,-0.2966255
37,0.80187374,0.9030898,"('fake', 'genuine')",0.8018737,0.9030898,0.1012161
38,-0.35275924,-0.075971775,"('untruthful', 'truthful')",-0.3527592,-0.0759718,0.2767874
39,0.5771265,0.6986924,"('exploitative', 'cooperative')",0.5771265,0.6986924,0.1215659
40,-1.5498325,-1.8152996,"('stingy', 'generous')",-1.5498325,-1.8152996,-0.2654671
41,0.87054724,0.72680104,"('unforgiving', 'forgiving')",0.8705472,0.726801,-0.1437462
42,-2.7132695,-2.794487,"('unreliable', 'reliable')",-2.7132695,-2.794487,-0.0812175
43,0.873404,1.052128,"('irresponsible', 'responsible')",0.873404,1.052128,0.178724
44,-1.557658,-1.4705857,"('prejudiced', 'unprejudiced')",-1.557658,-1.4705857,0.0870723
45,0.6933308,0.4727156,"('incompetent', 'competent')",0.6933308,0.4727156,-0.2206152
46,-1.1000698,-1.2581571,"('uncompetitive', 'competitive')",-1.1000698,-1.2581571,-0.1580873
