,seagate_male,seagate_female,tuple,technology_male,technology_female,holdings_male,holdings_female,plc_male,plc_female,average_male,average_female,female-male
0,-1.7313662,-1.6920129,"('unsociable', 'sociable')",-0.5671255,-0.6144196,-0.31560135,-0.38660502,-0.929631,-0.97585636,-0.885931,-0.9172235,-0.0312925
1,-1.0546957,-1.2783777,"('unfriendly', 'friendly')",1.1436689,0.95687354,0.1364161,-0.066252425,2.4109852,2.2355297,0.6590936,0.4619433,-0.1971503
2,0.8034814,0.80584717,"('unlikable', 'likable')",0.7042107,0.77661437,1.4343163,1.5180063,0.09326189,0.17042825,0.7588176,0.817724,0.0589064
3,-0.68500483,-0.563452,"('repellent', 'pleasant')",-0.035502754,0.118943304,0.49695936,0.6273319,-0.2969475,-0.17916955,-0.1301239,0.0009134,0.1310373
4,0.4683266,0.35601953,"('disliked', 'liked')",-0.24538755,-0.26999822,1.4921288,1.4256501,-4.4357023,-4.675863,-0.6801586,-0.7910478,-0.1108892
5,-0.49921763,-0.6007495,"('distant', 'outgoing')",0.1865359,0.20958354,-0.33282542,-0.34856665,0.7935723,0.7155849,0.0370163,-0.0060369,-0.0430532
6,-0.30922323,-0.39486766,"('distant', 'open')",-0.03301937,-0.042980522,-0.5338892,-0.58064294,0.9717461,0.87513494,0.0239036,-0.0358391,-0.0597427
7,-0.52893347,-0.452175,"('insensitive', 'sensitive')",0.4293043,0.5302259,0.582144,0.50246084,0.5885812,0.63209534,0.267774,0.3031518,0.0353778
8,-0.24446806,-0.45626298,"('unaffectionate', 'affectionate')",0.71974754,0.6318732,-0.5095729,-0.6643475,1.262319,1.0710845,0.3070064,0.1455868,-0.1614196
9,-0.75559396,-0.88871336,"('unaffectionate', 'caring')",0.8349384,0.7555442,0.17836985,-0.023018334,1.4299809,1.3463931,0.4219238,0.2975514,-0.1243724
10,-1.5421312,-1.4016852,"('unsympathetic', 'sympathetic')",-0.63153905,-0.59430164,-0.6713745,-0.7034835,-0.7730947,-0.6461915,-0.9045349,-0.8364155,0.0681194
11,-0.90481615,-0.84846807,"('unhelpful', 'helpful')",0.4995433,0.5433704,-1.509402,-1.5434195,0.70724267,0.7624169,-0.3018581,-0.2715251,0.030333
12,-0.4115495,-0.40269145,"('unsupportive', 'supportive')",0.948316,1.0555738,0.64397496,0.6534118,-1.148001,-1.211912,0.0081851,0.0235955,0.0154104
13,-1.175396,-1.0416923,"('impolite', 'polite')",-0.06909287,0.05693239,-0.48413092,-0.4559335,-0.9749124,-0.8556563,-0.6758831,-0.5740874,0.1017957
