,reporting_male,reporting_female,tuple,average_male,average_female,female-male
0,0.12457425,0.11950503,"('unsociable', 'sociable')",0.1245743,0.119505,-0.0050693
1,1.0901897,0.9343181,"('unfriendly', 'friendly')",1.0901897,0.9343181,-0.1558716
2,0.11316122,0.20514825,"('unlikable', 'likable')",0.1131612,0.2051482,0.091987
3,0.68460494,0.8527103,"('repellent', 'pleasant')",0.6846049,0.8527103,0.1681054
4,-7.7213535,-7.8478627,"('disliked', 'liked')",-7.7213535,-7.8478627,-0.1265092
5,-0.52487636,-0.662864,"('distant', 'outgoing')",-0.5248764,-0.662864,-0.1379876
6,-0.32782394,-0.53178257,"('distant', 'open')",-0.3278239,-0.5317826,-0.2039587
7,1.6755049,1.7455101,"('insensitive', 'sensitive')",1.6755049,1.7455101,0.0700052
8,0.9538112,0.7424943,"('unaffectionate', 'affectionate')",0.9538112,0.7424943,-0.2113169
9,1.5079746,1.3886952,"('unaffectionate', 'caring')",1.5079746,1.3886952,-0.1192794
10,1.1113796,1.2207003,"('unsympathetic', 'sympathetic')",1.1113796,1.2207003,0.1093207
11,1.9633576,2.0906463,"('unhelpful', 'helpful')",1.9633576,2.0906463,0.1272887
12,-1.35974,-1.3649169,"('unsupportive', 'supportive')",-1.35974,-1.3649169,-0.0051769
13,0.056010738,0.20740514,"('impolite', 'polite')",0.0560107,0.2074051,0.1513944
14,0.6438108,0.6592042,"('antisocial', 'social')",0.6438108,0.6592042,0.0153934
15,0.5286374,0.39061773,"('boring', 'funny')",0.5286374,0.3906177,-0.1380197
16,-0.78132,-0.80523807,"('unpopular', 'popular')",-0.78132,-0.8052381,-0.0239181
17,-0.2024938,-0.24801339,"('nasty', 'nice')",-0.2024938,-0.2480134,-0.0455196
18,-0.6323329,-0.5971571,"('disagreeable', 'welcoming')",-0.6323329,-0.5971571,0.0351758
19,-0.7208757,-0.8009598,"('inhospitable', 'hospitable')",-0.7208757,-0.8009598,-0.0800841
20,0.90008926,0.7969954,"('rough', 'thoughtful')",0.9000893,0.7969954,-0.1030939
21,-0.18460643,0.12598155,"('immoral', 'moral')",-0.1846064,0.1259816,0.310588
22,-0.025215134,0.0467476,"('untrustworthy', 'trustworthy')",-0.0252151,0.0467476,0.0719627
23,7.1482124,7.263296,"('insincere', 'sincere')",7.1482124,7.2632961,0.1150837
24,1.8829734,1.8218001,"('dishonest', 'honest')",1.8829734,1.8218001,-0.0611733
25,0.75375277,0.6708677,"('egoistic', 'altruistic')",0.7537528,0.6708677,-0.0828851
26,1.7116483,1.4396862,"('hardhearted', 'benevolent')",1.7116483,1.4396862,-0.2719621
27,1.6893646,1.4687732,"('hardhearted', 'softhearted')",1.6893646,1.4687732,-0.2205914
28,1.7339779,1.5754721,"('disloyal', 'loyal')",1.7339779,1.5754721,-0.1585058
29,-0.13487987,-0.36287385,"('unfair', 'fair')",-0.1348799,-0.3628739,-0.227994
30,1.0213764,1.1642299,"('intolerant', 'tolerant')",1.0213764,1.1642299,0.1428535
31,-1.5330966,-1.7367301,"('evil', 'good')",-1.5330966,-1.7367301,-0.2036335
32,1.310258,1.2842872,"('unkind', 'kind')",1.310258,1.2842872,-0.0259708
33,-0.26110384,-0.42344382,"('wrong', 'right')",-0.2611038,-0.4234438,-0.16234
34,4.7132034,4.85811,"('mean', 'honorable')",4.7132034,4.85811,0.1449066
35,-1.0801435,-1.5087793,"('corrupt', 'incorrupt')",-1.0801435,-1.5087793,-0.4286358
36,-1.0989057,-1.4236616,"('hostile', 'amicable')",-1.0989057,-1.4236616,-0.3247559
37,0.89802206,0.8495676,"('fake', 'genuine')",0.8980221,0.8495676,-0.0484545
38,0.10587811,0.08772289,"('untruthful', 'truthful')",0.1058781,0.0877229,-0.0181552
39,0.18533413,0.28277034,"('exploitative', 'cooperative')",0.1853341,0.2827703,0.0974362
40,-1.3228943,-1.3878453,"('stingy', 'generous')",-1.3228943,-1.3878453,-0.064951
41,0.6026732,0.44603294,"('unforgiving', 'forgiving')",0.6026732,0.4460329,-0.1566403
42,-2.1703818,-2.0529113,"('unreliable', 'reliable')",-2.1703818,-2.0529113,0.1174705
43,1.6817602,1.8012339,"('irresponsible', 'responsible')",1.6817602,1.8012339,0.1194737
44,-1.837857,-1.7678462,"('prejudiced', 'unprejudiced')",-1.837857,-1.7678462,0.0700108
45,0.64932543,0.50436497,"('incompetent', 'competent')",0.6493254,0.504365,-0.1449604
46,-0.36440733,-0.2556972,"('uncompetitive', 'competitive')",-0.3644073,-0.2556972,0.1087101
47,5.3519406,5.3941765,"('stupid', 'smart')",5.3519406,5.3941765,0.0422359
48,0.41519696,0.51344186,"('unintelligent', 'intelligent')",0.415197,0.5134419,0.0982449
49,-0.3773578,-0.25633055,"('unable', 'able')",-0.3773578,-0.2563305,0.1210273
50,-0.4176563,-0.4296828,"('clumsy', 'skillful')",-0.4176563,-0.4296828,-0.0120265
51,0.36057767,0.52638674,"('uneducated', 'educated')",0.3605777,0.5263867,0.165809
52,-0.3784631,-0.69175315,"('irrational', 'rational')",-0.3784631,-0.6917531,-0.31329
53,0.16748694,0.046112776,"('uncreative', 'creative')",0.1674869,0.0461128,-0.1213741
54,0.82837164,0.84362066,"('incapable', 'capable')",0.8283716,0.8436207,0.0152491
