,synchrony_male,synchrony_female,tuple,financial_male,financial_female,average_male,average_female,female-male
0,-0.83311075,-0.82080454,"('unsociable', 'sociable')",0.26286125,0.1387398,-0.2851247,-0.3410324,-0.0559077
1,-0.87042767,-0.83851355,"('unfriendly', 'friendly')",2.0531666,1.9794401,0.5913695,0.5704633,-0.0209062
2,0.16763456,0.2024011,"('unlikable', 'likable')",0.8475306,0.84376186,0.5075826,0.5230815,0.0154989
3,-1.1568747,-1.0551147,"('repellent', 'pleasant')",0.010323413,0.019632643,-0.5732756,-0.517741,0.0555346
4,0.037974827,0.07027526,"('disliked', 'liked')",-7.352843,-7.5401154,-3.657434,-3.73492,-0.077486
5,0.59200525,0.5898627,"('distant', 'outgoing')",0.06781469,0.0021758825,0.32991,0.2960193,-0.0338907
6,0.42145094,0.45233563,"('distant', 'open')",0.08698793,0.05864358,0.2542194,0.2554896,0.0012702
7,-1.1448894,-1.0476594,"('insensitive', 'sensitive')",0.65021884,0.68395734,-0.2473353,-0.181851,0.0654843
8,-0.6836392,-0.6660398,"('unaffectionate', 'affectionate')",1.2176298,1.2110798,0.2669953,0.27252,0.0055247
9,-1.1639637,-1.0853446,"('unaffectionate', 'caring')",1.8496133,1.8533349,0.3428248,0.3839952,0.0411704
10,-2.9239383,-2.8255908,"('unsympathetic', 'sympathetic')",-0.29824874,-0.23864813,-1.6110935,-1.5321195,0.078974
11,-0.48105216,-0.39253747,"('unhelpful', 'helpful')",1.9101794,1.9486817,0.7145636,0.7780721,0.0635085
12,-1.0824815,-0.89458704,"('unsupportive', 'supportive')",-1.5093579,-1.5311439,-1.2959197,-1.2128655,0.0830542
13,-1.3724394,-1.3789957,"('impolite', 'polite')",-0.078416824,-0.11969658,-0.7254281,-0.7493461,-0.023918
14,-0.873895,-0.8361989,"('antisocial', 'social')",0.53689957,0.44479862,-0.1684977,-0.1957002,-0.0272025
15,0.6178124,0.5545172,"('boring', 'funny')",0.23621665,0.20408943,0.4270145,0.3793033,-0.0477112
16,-0.07905891,-0.06205132,"('unpopular', 'popular')",0.08374424,0.019473437,0.0023427,-0.0212889,-0.0236316
17,-0.4832193,-0.45054197,"('nasty', 'nice')",-0.4407109,-0.4316418,-0.4619651,-0.4410919,0.0208732
