,nasdaq_male,nasdaq_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-1.3871307,-1.599248,"('unsociable', 'sociable')",-0.3259339,-0.40974408,-0.8565323,-1.0044961,-0.1479638
1,1.8711611,1.6753529,"('unfriendly', 'friendly')",2.2040117,2.0404227,2.0375865,1.8578877,-0.1796988
2,1.5656501,1.6242595,"('unlikable', 'likable')",0.64001685,0.69536906,1.1028335,1.1598142,0.0569807
3,-1.4265956,-1.4064982,"('repellent', 'pleasant')",0.3616077,0.39884564,-0.5324939,-0.5038263,0.0286676
4,0.86052066,0.7826979,"('disliked', 'liked')",-6.302899,-6.392827,-2.721189,-2.8050647,-0.0838757
5,1.6349092,1.7718275,"('distant', 'outgoing')",-0.042425804,-0.090888105,0.7962417,0.8404697,0.044228
6,2.4679754,2.5613036,"('distant', 'open')",0.6046128,0.5185454,1.5362941,1.5399245,0.0036304
7,-0.7431699,-0.7525393,"('insensitive', 'sensitive')",1.2687275,1.2825812,0.2627788,0.265021,0.0022422
8,0.6877879,0.5403721,"('unaffectionate', 'affectionate')",1.2432545,0.99711144,0.9655212,0.7687417,-0.1967795
9,0.84175426,0.70241666,"('unaffectionate', 'caring')",1.4937692,1.3509505,1.1677617,1.0266836,-0.1410781
10,-2.5107045,-2.6937358,"('unsympathetic', 'sympathetic')",-0.3510553,-0.34071606,-1.43088,-1.517226,-0.086346
11,-1.94515,-1.9245722,"('unhelpful', 'helpful')",1.5660276,1.6739621,-0.1895612,-0.1253051,0.0642561
12,0.39239997,0.3965153,"('unsupportive', 'supportive')",-1.356655,-1.3695309,-0.4821275,-0.4865078,-0.0043803
13,-1.6416087,-1.6736442,"('impolite', 'polite')",-0.61542356,-0.52610373,-1.1285162,-1.099874,0.0286422
14,-2.091076,-2.1565979,"('antisocial', 'social')",-0.41117373,-0.40254778,-1.2511249,-1.2795728,-0.0284479
15,1.23542,1.1789057,"('boring', 'funny')",0.7194471,0.67994064,0.9774336,0.9294232,-0.0480104
16,0.4260925,0.48117033,"('unpopular', 'popular')",0.5023631,0.5251411,0.4642278,0.5031557,0.0389279
17,0.007929832,0.08164425,"('nasty', 'nice')",-0.46628913,-0.46320477,-0.2291797,-0.1907803,0.0383994
18,0.14961529,0.14917457,"('disagreeable', 'welcoming')",-0.31277597,-0.4036914,-0.0815803,-0.1272584,-0.0456781
19,0.016119376,-0.0005254969,"('inhospitable', 'hospitable')",0.076593556,0.10373588,0.0463565,0.0516052,0.0052487
20,-0.24013416,-0.20409839,"('rough', 'thoughtful')",1.1361694,1.0813184,0.4480176,0.43861,-0.0094076
21,-2.2106025,-2.340567,"('immoral', 'moral')",-0.8354165,-0.7538002,-1.5230095,-1.5471836,-0.0241741
22,-1.2614491,-1.3131877,"('untrustworthy', 'trustworthy')",-0.8105501,-0.8705235,-1.0359995,-1.0918556,-0.0558561
23,-1.5274713,-1.6196983,"('insincere', 'sincere')",5.972224,5.9242816,2.2223763,2.1522918,-0.0700845
24,-1.7099286,-1.6879319,"('dishonest', 'honest')",1.0178452,0.9327447,-0.3460417,-0.3775936,-0.0315519
25,1.9124132,1.8391777,"('egoistic', 'altruistic')",1.9636883,1.8508378,1.9380507,1.8450078,-0.0930429
26,2.1903415,2.010738,"('hardhearted', 'benevolent')",1.9134364,1.7775981,2.0518889,1.894168,-0.1577209
27,0.6922486,0.73059005,"('hardhearted', 'softhearted')",1.6501119,1.4675806,1.1711802,1.0990853,-0.0720949
28,-1.6960621,-1.8218063,"('disloyal', 'loyal')",1.0151392,0.8987295,-0.3404614,-0.4615384,-0.121077
