,graft_male,graft_female,tuple,average_male,average_female,female-male
0,0.08916725,-0.107381105,"('unsociable', 'sociable')",0.0891673,-0.1073811,-0.1965484
1,-1.0506685,-1.2064801,"('unfriendly', 'friendly')",-1.0506685,-1.2064801,-0.1558116
2,-0.0613299,-0.073957644,"('unlikable', 'likable')",-0.0613299,-0.0739576,-0.0126277
3,-0.49530134,-0.4725083,"('repellent', 'pleasant')",-0.4953013,-0.4725083,0.022793
4,-2.884496,-2.6596613,"('disliked', 'liked')",-2.884496,-2.6596613,0.2248347
5,-1.9200035,-1.8114048,"('distant', 'outgoing')",-1.9200035,-1.8114048,0.1085987
6,-1.8168343,-1.737978,"('distant', 'open')",-1.8168343,-1.737978,0.0788563
7,0.18047018,0.15444462,"('insensitive', 'sensitive')",0.1804702,0.1544446,-0.0260256
8,-0.43327406,-0.52146256,"('unaffectionate', 'affectionate')",-0.4332741,-0.5214626,-0.0881885
9,-0.4812799,-0.5696048,"('unaffectionate', 'caring')",-0.4812799,-0.5696048,-0.0883249
10,0.66281724,0.48159045,"('unsympathetic', 'sympathetic')",0.6628172,0.4815904,-0.1812268
11,0.51719695,0.38422528,"('unhelpful', 'helpful')",0.517197,0.3842253,-0.1329717
12,-0.99450284,-0.910712,"('unsupportive', 'supportive')",-0.9945028,-0.910712,0.0837908
13,0.0502198,-0.110178664,"('impolite', 'polite')",0.0502198,-0.1101787,-0.1603985
14,0.61467457,0.4725426,"('antisocial', 'social')",0.6146746,0.4725426,-0.142132
15,0.21500383,0.18513829,"('boring', 'funny')",0.2150038,0.1851383,-0.0298655
16,-0.890235,-0.957127,"('unpopular', 'popular')",-0.890235,-0.957127,-0.066892
17,-0.34787476,-0.30233955,"('nasty', 'nice')",-0.3478748,-0.3023396,0.0455352
18,-0.9740554,-0.92564785,"('disagreeable', 'welcoming')",-0.9740554,-0.9256479,0.0484075
19,-1.6599181,-1.5611714,"('inhospitable', 'hospitable')",-1.6599181,-1.5611714,0.0987467
20,0.47642413,0.39378762,"('rough', 'thoughtful')",0.4764241,0.3937876,-0.0826365
21,0.6026418,0.57282764,"('immoral', 'moral')",0.6026418,0.5728276,-0.0298142
22,0.16356972,0.089659855,"('untrustworthy', 'trustworthy')",0.1635697,0.0896599,-0.0739098
23,2.103785,1.8615599,"('insincere', 'sincere')",2.103785,1.8615599,-0.2422251
24,0.14914392,-0.037252247,"('dishonest', 'honest')",0.1491439,-0.0372522,-0.1863961
25,-0.08266102,-0.108983226,"('egoistic', 'altruistic')",-0.082661,-0.1089832,-0.0263222
26,0.46039453,0.29523414,"('hardhearted', 'benevolent')",0.4603945,0.2952341,-0.1651604
27,0.14743759,-0.06264416,"('hardhearted', 'softhearted')",0.1474376,-0.0626442,-0.2100818
28,0.59641373,0.40925464,"('disloyal', 'loyal')",0.5964137,0.4092546,-0.1871591
29,-0.89789367,-0.93569833,"('unfair', 'fair')",-0.8978937,-0.9356983,-0.0378046
30,1.0837787,0.9564721,"('intolerant', 'tolerant')",1.0837787,0.9564721,-0.1273066
31,-2.397613,-2.1885636,"('evil', 'good')",-2.397613,-2.1885636,0.2090494
32,0.69786936,0.4516951,"('unkind', 'kind')",0.6978694,0.4516951,-0.2461743
33,-0.44536257,-0.4723258,"('wrong', 'right')",-0.4453626,-0.4723258,-0.0269632
34,1.7001083,1.7779678,"('mean', 'honorable')",1.7001083,1.7779678,0.0778595
35,-1.0498303,-1.047407,"('corrupt', 'incorrupt')",-1.0498303,-1.047407,0.0024233
36,-1.4242893,-1.3978804,"('hostile', 'amicable')",-1.4242893,-1.3978804,0.0264089
37,0.3058922,0.17588846,"('fake', 'genuine')",0.3058922,0.1758885,-0.1300037
38,0.033897936,-0.028204858,"('untruthful', 'truthful')",0.0338979,-0.0282049,-0.0621028
39,0.20397303,0.1921367,"('exploitative', 'cooperative')",0.203973,0.1921367,-0.0118363
40,-1.0890493,-1.0752143,"('stingy', 'generous')",-1.0890493,-1.0752143,0.013835
41,0.24125138,0.24884702,"('unforgiving', 'forgiving')",0.2412514,0.248847,0.0075956
42,-0.3062672,-0.242857,"('unreliable', 'reliable')",-0.3062672,-0.242857,0.0634102
43,0.18847185,0.07743765,"('irresponsible', 'responsible')",0.1884719,0.0774376,-0.1110343
44,-0.1551801,-0.06961107,"('prejudiced', 'unprejudiced')",-0.1551801,-0.0696111,0.085569
45,0.33241498,0.24835081,"('incompetent', 'competent')",0.332415,0.2483508,-0.0840642
46,-0.012667328,-0.06904974,"('uncompetitive', 'competitive')",-0.0126673,-0.0690497,-0.0563824
47,1.8512332,1.6889621,"('stupid', 'smart')",1.8512332,1.6889621,-0.1622711
48,0.5545885,0.6324424,"('unintelligent', 'intelligent')",0.5545885,0.6324424,0.0778539
49,0.007357858,0.22768994,"('unable', 'able')",0.0073579,0.2276899,0.220332
50,0.18786745,0.11865597,"('clumsy', 'skillful')",0.1878674,0.118656,-0.0692114
51,-0.08101852,-0.25174978,"('uneducated', 'educated')",-0.0810185,-0.2517498,-0.1707313
52,-0.91430795,-0.98554045,"('irrational', 'rational')",-0.914308,-0.9855404,-0.0712324
53,-1.493204,-1.6179907,"('uncreative', 'creative')",-1.493204,-1.6179907,-0.1247867
54,-0.7326096,-0.83384234,"('incapable', 'capable')",-0.7326096,-0.8338423,-0.1012327
55,1.1489686,1.1103361,"('incompetent', 'clever')",1.1489686,1.1103361,-0.0386325
56,1.0172336,0.915445,"('impractical', 'practical')",1.0172336,0.915445,-0.1017886
57,-1.096538,-1.0935181,"('unimaginative', 'imaginative')",-1.0965379,-1.0935181,0.0030198
58,-0.29512298,-0.37023437,"('undiscriminating', 'discriminating')",-0.295123,-0.3702344,-0.0751114
59,-0.39401653,-0.34967375,"('foolish', 'wise')",-0.3940165,-0.3496737,0.0443428
60,1.576889,1.5089328,"('inefficient', 'efficient')",1.576889,1.5089328,-0.0679562
61,0.26234272,0.012269714,"('illogical', 'logical')",0.2623427,0.0122697,-0.250073
62,0.69213116,0.67104065,"('incompetent', 'brilliant')",0.6921312,0.6710407,-0.0210905
63,0.030649278,0.015736412,"('unperceptive', 'insightful')",0.0306493,0.0157364,-0.0149129
64,-1.7054449,-1.547924,"('shy', 'confident')",-1.7054449,-1.547924,0.1575209
65,1.0281866,0.97648877,"('insecure', 'secure')",1.0281866,0.9764888,-0.0516978
66,-1.767477,-1.8590913,"('inactive', 'active')",-1.767477,-1.8590913,-0.0916143
67,0.30746135,0.35144114,"('doubtful', 'determined')",0.3074614,0.3514411,0.0439797
68,-1.0156313,-0.96341276,"('dependent', 'independent')",-1.0156313,-0.9634128,0.0522185
69,-0.97502375,-0.837132,"('lazy', 'industrious')",-0.9750237,-0.837132,0.1378917
70,0.7038182,0.5383353,"('lethargic', 'energetic')",0.7038182,0.5383353,-0.1654829
71,0.31396413,0.34296778,"('diffident', 'self-confident')",0.3139641,0.3429678,0.0290037
72,-0.5171447,-0.5061438,"('unambitious', 'ambitious')",-0.5171447,-0.5061438,0.0110009
73,-1.2393749,-1.2038392,"('helpless', 'self-reliant')",-1.2393749,-1.2038392,0.0355357
74,-0.32155612,-0.40460858,"('undedicated', 'dedicated')",-0.3215561,-0.4046086,-0.0830525
75,-1.2153918,-1.0907565,"('meek', 'impulsive')",-1.2153918,-1.0907565,0.1246353
76,1.2577674,1.2768599,"('anxious', 'daring')",1.2577674,1.2768599,0.0190925
77,-0.441346,-0.3064131,"('unmotivated', 'motivated')",-0.441346,-0.3064131,0.1349329
78,0.13312717,0.144996,"('nonresilient', 'resilient')",0.1331272,0.144996,0.0118688
79,-1.255954,-1.2235385,"('wavering', 'unwavering')",-1.255954,-1.2235385,0.0324155
80,0.37071458,0.27497092,"('dominated', 'dominating')",0.3707146,0.2749709,-0.0957437
