,sidestream_male,sidestream_female,tuple,average_male,average_female,female-male
0,0.15613233,0.11660721,"('unsociable', 'sociable')",0.1561323,0.1166072,-0.0395251
1,0.36704597,0.38897622,"('unfriendly', 'friendly')",0.367046,0.3889762,0.0219302
2,-0.123279326,-0.03991259,"('unlikable', 'likable')",-0.1232793,-0.0399126,0.0833667
3,-0.26106042,-0.115322426,"('repellent', 'pleasant')",-0.2610604,-0.1153224,0.145738
4,-4.346727,-4.42951,"('disliked', 'liked')",-4.3467269,-4.4295101,-0.0827832
5,-0.8141218,-0.73318535,"('distant', 'outgoing')",-0.8141218,-0.7331854,0.0809364
6,-0.45187566,-0.30816028,"('distant', 'open')",-0.4518757,-0.3081603,0.1437154
7,0.6330563,0.68041205,"('insensitive', 'sensitive')",0.6330563,0.6804121,0.0473558
8,0.36546656,0.3273812,"('unaffectionate', 'affectionate')",0.3654666,0.3273812,-0.0380854
9,0.6627818,0.6560498,"('unaffectionate', 'caring')",0.6627818,0.6560498,-0.006732
10,0.07637419,0.14548112,"('unsympathetic', 'sympathetic')",0.0763742,0.1454811,0.0691069
11,1.3969216,1.4537624,"('unhelpful', 'helpful')",1.3969216,1.4537624,0.0568408
12,-0.82914144,-0.7054537,"('unsupportive', 'supportive')",-0.8291414,-0.7054537,0.1236877
13,-0.08574657,-0.100577675,"('impolite', 'polite')",-0.0857466,-0.1005777,-0.0148311
14,0.66966045,0.6483671,"('antisocial', 'social')",0.6696604,0.6483671,-0.0212933
15,0.5501178,0.5197728,"('boring', 'funny')",0.5501178,0.5197728,-0.030345
16,-0.8472502,-0.8760853,"('unpopular', 'popular')",-0.8472502,-0.8760853,-0.0288351
17,-0.1690392,-0.09781644,"('nasty', 'nice')",-0.1690392,-0.0978164,0.0712228
18,-0.85501176,-0.8345019,"('disagreeable', 'welcoming')",-0.8550118,-0.8345019,0.0205099
19,-0.696394,-0.5934945,"('inhospitable', 'hospitable')",-0.696394,-0.5934945,0.1028995
20,0.2519804,0.294838,"('rough', 'thoughtful')",0.2519804,0.294838,0.0428576
21,-0.25807032,-0.1902394,"('immoral', 'moral')",-0.2580703,-0.1902394,0.0678309
22,0.5824193,0.57875615,"('untrustworthy', 'trustworthy')",0.5824193,0.5787562,-0.0036631
23,3.4985437,3.5921142,"('insincere', 'sincere')",3.4985437,3.5921142,0.0935705
24,1.0432801,1.0112336,"('dishonest', 'honest')",1.0432801,1.0112336,-0.0320465
25,0.38117576,0.3186115,"('egoistic', 'altruistic')",0.3811758,0.3186115,-0.0625643
26,0.25908396,0.20895742,"('hardhearted', 'benevolent')",0.259084,0.2089574,-0.0501266
27,0.90207857,0.849924,"('hardhearted', 'softhearted')",0.9020786,0.849924,-0.0521546
28,0.6674274,0.5536634,"('disloyal', 'loyal')",0.6674274,0.5536634,-0.113764
29,-0.08650565,-0.14463389,"('unfair', 'fair')",-0.0865057,-0.1446339,-0.0581282
30,1.1304204,1.1810304,"('intolerant', 'tolerant')",1.1304204,1.1810304,0.05061
31,-0.9956841,-0.9093238,"('evil', 'good')",-0.9956841,-0.9093238,0.0863603
32,0.5222865,0.4516676,"('unkind', 'kind')",0.5222865,0.4516676,-0.0706189
33,-0.21976954,-0.27088237,"('wrong', 'right')",-0.2197695,-0.2708824,-0.0511129
34,2.9107368,3.100483,"('mean', 'honorable')",2.9107368,3.1004829,0.1897461
35,-0.60559833,-0.71048987,"('corrupt', 'incorrupt')",-0.6055983,-0.7104899,-0.1048916
36,-0.72814244,-0.68063796,"('hostile', 'amicable')",-0.7281424,-0.680638,0.0475044
37,0.7828098,0.8411268,"('fake', 'genuine')",0.7828098,0.8411268,0.058317
38,0.19539237,0.1825763,"('untruthful', 'truthful')",0.1953924,0.1825763,-0.0128161
