,king_male,king_female,tuple,pharmaceuticals_male,pharmaceuticals_female,inc_male,inc_female,average_male,average_female,female-male
0,0.7867429,0.5106429,"('unsociable', 'sociable')",0.20524892,0.049969245,-0.472904,-0.6214943,0.1730293,-0.0202941,-0.1933234
1,-0.14693658,-0.05479264,"('unfriendly', 'friendly')",0.5045362,0.40636307,1.750127,1.651297,0.7025755,0.6676225,-0.034953
2,1.3355559,1.349312,"('unlikable', 'likable')",0.5154415,0.4734291,0.74209213,0.8753039,0.8643632,0.8993483,0.0349851
3,-0.22385618,-0.14018226,"('repellent', 'pleasant')",-1.3605127,-1.2505796,0.08192454,0.14147502,-0.5008148,-0.416429,0.0843858
4,-0.4387271,-0.48906124,"('disliked', 'liked')",0.040086254,-0.0073340805,-6.679313,-6.6880217,-2.3593181,-2.3948056,-0.0354875
5,-0.82697105,-0.57383895,"('distant', 'outgoing')",-0.010109045,0.012866173,0.08171496,0.17647727,-0.2517884,-0.1281652,0.1236232
6,-0.8345098,-0.5975199,"('distant', 'open')",-0.028672993,-0.04016506,0.86250204,0.92540896,-0.0002269,0.095908,0.0961349
7,-0.19528,-0.3145103,"('insensitive', 'sensitive')",-1.1378438,-1.0619922,0.39974028,0.37779203,-0.3111278,-0.3329035,-0.0217757
8,0.6171187,0.67562467,"('unaffectionate', 'affectionate')",0.07627309,-0.016976785,0.63349175,0.6471732,0.4422945,0.4352737,-0.0070208
9,1.0813693,1.0959593,"('unaffectionate', 'caring')",0.18902075,0.14285058,0.97099,1.0650352,0.7471267,0.7679483,0.0208216
10,0.59320754,0.21351774,"('unsympathetic', 'sympathetic')",-0.96095484,-1.0370946,-0.39798546,-0.41540846,-0.2552443,-0.4129951,-0.1577508
11,-0.14852831,-0.2532847,"('unhelpful', 'helpful')",-0.05480504,-0.08842635,1.7658437,1.892964,0.5208368,0.5170843,-0.0037525
12,0.7419745,0.71520996,"('unsupportive', 'supportive')",0.5394438,0.569588,-1.9660683,-1.9117681,-0.2282166,-0.2089901,0.0192265
13,-0.18189846,-0.33855394,"('impolite', 'polite')",-1.193386,-1.2626607,-0.312594,-0.34023854,-0.5626261,-0.6471511,-0.084525
14,0.5239852,0.3734737,"('antisocial', 'social')",-0.33775797,-0.22821037,-0.7144085,-0.81985486,-0.1760604,-0.2248638,-0.0488034
15,-0.7328206,-0.7568843,"('boring', 'funny')",0.20110798,0.11505287,0.2920784,0.20877111,-0.0798781,-0.1443534,-0.0644753
