,belly_male,belly_female,tuple,average_male,average_female,female-male
0,0.4940606,0.35113204,"('unsociable', 'sociable')",0.4940606,0.351132,-0.1429286
1,0.9681544,0.9836127,"('unfriendly', 'friendly')",0.9681544,0.9836127,0.0154583
2,-0.054818504,0.061770216,"('unlikable', 'likable')",-0.0548185,0.0617702,0.1165887
3,0.9619043,1.1080031,"('repellent', 'pleasant')",0.9619043,1.1080031,0.1460988
4,-7.2700334,-7.6209545,"('disliked', 'liked')",-7.2700334,-7.6209545,-0.3509211
5,-0.67981225,-0.754143,"('distant', 'outgoing')",-0.6798123,-0.754143,-0.0743307
6,-0.15297501,-0.3216782,"('distant', 'open')",-0.152975,-0.3216782,-0.1687032
7,1.5827593,1.5754559,"('insensitive', 'sensitive')",1.5827593,1.5754559,-0.0073034
8,0.7040207,0.67609507,"('unaffectionate', 'affectionate')",0.7040207,0.6760951,-0.0279256
9,1.0165955,1.0530794,"('unaffectionate', 'caring')",1.0165955,1.0530794,0.0364839
10,1.2645296,1.2886461,"('unsympathetic', 'sympathetic')",1.2645296,1.2886461,0.0241165
11,1.5697666,1.6968116,"('unhelpful', 'helpful')",1.5697666,1.6968116,0.127045
12,-1.5777829,-1.5901858,"('unsupportive', 'supportive')",-1.5777829,-1.5901858,-0.0124029
13,0.1887035,0.35105455,"('impolite', 'polite')",0.1887035,0.3510545,0.162351
14,0.52888215,0.5275745,"('antisocial', 'social')",0.5288821,0.5275745,-0.0013076
15,0.48082575,0.4325037,"('boring', 'funny')",0.4808258,0.4325037,-0.0483221
16,-0.9003902,-0.94536895,"('unpopular', 'popular')",-0.9003902,-0.9453689,-0.0449787
17,-0.046562616,-0.16254224,"('nasty', 'nice')",-0.0465626,-0.1625422,-0.1159796
18,-0.39304426,-0.32448417,"('disagreeable', 'welcoming')",-0.3930443,-0.3244842,0.0685601
19,-0.82616466,-0.8202517,"('inhospitable', 'hospitable')",-0.8261647,-0.8202517,0.005913
20,0.7891639,0.69484633,"('rough', 'thoughtful')",0.7891639,0.6948463,-0.0943176
21,0.14072847,0.33347818,"('immoral', 'moral')",0.1407285,0.3334782,0.1927497
22,0.06520993,-0.011339683,"('untrustworthy', 'trustworthy')",0.0652099,-0.0113397,-0.0765496
23,6.111271,6.4513025,"('insincere', 'sincere')",6.1112709,6.4513025,0.3400316
24,1.3950348,1.4160143,"('dishonest', 'honest')",1.3950348,1.4160143,0.0209795
25,0.67398727,0.73989046,"('egoistic', 'altruistic')",0.6739873,0.7398905,0.0659032
26,1.0855058,0.8656202,"('hardhearted', 'benevolent')",1.0855058,0.8656202,-0.2198856
27,1.7886072,1.6299965,"('hardhearted', 'softhearted')",1.7886072,1.6299965,-0.1586107
28,1.3180301,1.1480536,"('disloyal', 'loyal')",1.3180301,1.1480536,-0.1699765
29,-0.24389157,-0.43249395,"('unfair', 'fair')",-0.2438916,-0.432494,-0.1886024
30,1.0247953,1.1288593,"('intolerant', 'tolerant')",1.0247953,1.1288593,0.104064
31,-1.3824042,-1.5362049,"('evil', 'good')",-1.3824042,-1.5362049,-0.1538007
32,1.1325384,1.0637759,"('unkind', 'kind')",1.1325384,1.0637759,-0.0687625
33,-0.47175577,-0.532646,"('wrong', 'right')",-0.4717558,-0.532646,-0.0608902
34,3.9865382,4.3661847,"('mean', 'honorable')",3.9865382,4.3661847,0.3796465
35,-1.0479097,-1.4721043,"('corrupt', 'incorrupt')",-1.0479097,-1.4721043,-0.4241946
36,-0.9655124,-1.2188523,"('hostile', 'amicable')",-0.9655124,-1.2188523,-0.2533399
37,1.156871,1.1282028,"('fake', 'genuine')",1.156871,1.1282028,-0.0286682
38,-0.67390597,-0.550554,"('untruthful', 'truthful')",-0.673906,-0.550554,0.123352
39,0.47600904,0.49469995,"('exploitative', 'cooperative')",0.476009,0.4947,0.018691
40,-0.8255169,-0.99302024,"('stingy', 'generous')",-0.8255169,-0.9930202,-0.1675033
41,0.67386854,0.44870633,"('unforgiving', 'forgiving')",0.6738685,0.4487063,-0.2251622
42,-1.9057889,-2.0131598,"('unreliable', 'reliable')",-1.9057889,-2.0131598,-0.1073709
43,1.0661819,1.2274172,"('irresponsible', 'responsible')",1.0661819,1.2274172,0.1612353
44,-0.9327653,-0.93740207,"('prejudiced', 'unprejudiced')",-0.9327653,-0.9374021,-0.0046368
45,0.6082369,0.37615624,"('incompetent', 'competent')",0.6082369,0.3761562,-0.2320807
46,-0.19628046,-0.20140657,"('uncompetitive', 'competitive')",-0.1962805,-0.2014066,-0.0051261
47,4.648362,4.8895617,"('stupid', 'smart')",4.6483622,4.8895617,0.2411995
48,0.3191316,0.41739866,"('unintelligent', 'intelligent')",0.3191316,0.4173987,0.0982671
49,-0.34820473,-0.2754215,"('unable', 'able')",-0.3482047,-0.2754215,0.0727832
50,-0.4842929,-0.5140379,"('clumsy', 'skillful')",-0.4842929,-0.5140379,-0.029745
51,0.5335529,0.5877995,"('uneducated', 'educated')",0.5335529,0.5877995,0.0542466
52,-0.3802302,-0.55711704,"('irrational', 'rational')",-0.3802302,-0.557117,-0.1768868
53,-0.27392504,-0.35399976,"('uncreative', 'creative')",-0.273925,-0.3539998,-0.0800748
54,0.583463,0.6848931,"('incapable', 'capable')",0.583463,0.6848931,0.1014301
55,1.1124914,1.2523746,"('incompetent', 'clever')",1.1124914,1.2523746,0.1398832
56,0.46092135,0.46650746,"('impractical', 'practical')",0.4609213,0.4665075,0.0055862
57,-1.6501634,-1.9650726,"('unimaginative', 'imaginative')",-1.6501634,-1.9650726,-0.3149092
58,0.41725475,0.3055066,"('undiscriminating', 'discriminating')",0.4172547,0.3055066,-0.1117481
59,-0.2531288,-0.31561804,"('foolish', 'wise')",-0.2531288,-0.315618,-0.0624892
60,0.43224037,0.75273025,"('inefficient', 'efficient')",0.4322404,0.7527303,0.3204899
61,0.34954333,0.20266263,"('illogical', 'logical')",0.3495433,0.2026626,-0.1468807
62,0.5940562,0.85391414,"('incompetent', 'brilliant')",0.5940562,0.8539141,0.2598579
63,0.2300372,0.317411,"('unperceptive', 'insightful')",0.2300372,0.317411,0.0873738
64,-5.9203744,-5.9515166,"('shy', 'confident')",-5.9203744,-5.9515166,-0.0311422
65,0.5967298,0.7923605,"('insecure', 'secure')",0.5967298,0.7923605,0.1956307
66,-0.1587996,-0.4170134,"('inactive', 'active')",-0.1587996,-0.4170134,-0.2582138
67,-0.78338444,-0.71155155,"('doubtful', 'determined')",-0.7833844,-0.7115515,0.0718329
68,-0.835883,-0.7597736,"('dependent', 'independent')",-0.835883,-0.7597736,0.0761094
69,-2.0972579,-2.2831013,"('lazy', 'industrious')",-2.0972579,-2.2831013,-0.1858434
70,1.9275914,1.8375654,"('lethargic', 'energetic')",1.9275914,1.8375654,-0.090026
71,0.16024955,0.063662626,"('diffident', 'self-confident')",0.1602495,0.0636626,-0.0965869
72,0.8612922,1.0680727,"('unambitious', 'ambitious')",0.8612922,1.0680727,0.2067805
73,-2.7494345,-2.7964342,"('helpless', 'self-reliant')",-2.7494345,-2.7964342,-0.0469997
74,0.49382004,0.28568473,"('undedicated', 'dedicated')",0.49382,0.2856847,-0.2081353
