,buffalo_male,buffalo_female,tuple,average_male,average_female,female-male
0,-0.39569852,-0.37859255,"('unsociable', 'sociable')",-0.3956985,-0.3785926,0.0171059
1,1.7378387,1.564691,"('unfriendly', 'friendly')",1.7378387,1.5646909,-0.1731478
2,0.55319214,0.50188696,"('unlikable', 'likable')",0.5531921,0.501887,-0.0513051
3,0.43819863,0.6376422,"('repellent', 'pleasant')",0.4381986,0.6376422,0.1994436
4,-7.4399195,-7.4873047,"('disliked', 'liked')",-7.4399195,-7.4873047,-0.0473852
5,-0.2078368,-0.10612363,"('distant', 'outgoing')",-0.2078368,-0.1061236,0.1017132
6,0.23374428,0.28695416,"('distant', 'open')",0.2337443,0.2869542,0.0532099
7,0.7155328,0.9705295,"('insensitive', 'sensitive')",0.7155328,0.9705295,0.2549967
8,1.4935772,1.4021963,"('unaffectionate', 'affectionate')",1.4935772,1.4021963,-0.0913809
9,2.0559084,2.089006,"('unaffectionate', 'caring')",2.0559084,2.0890059,0.0330975
10,0.34768596,0.61909163,"('unsympathetic', 'sympathetic')",0.347686,0.6190916,0.2714056
11,1.574899,1.8508749,"('unhelpful', 'helpful')",1.574899,1.8508749,0.2759759
12,-1.397628,-1.2378929,"('unsupportive', 'supportive')",-1.3976279,-1.2378929,0.159735
13,-0.37936887,-0.3478532,"('impolite', 'polite')",-0.3793689,-0.3478532,0.0315157
14,-0.12460681,-0.11124677,"('antisocial', 'social')",-0.1246068,-0.1112468,0.01336
15,0.44346142,0.3949048,"('boring', 'funny')",0.4434614,0.3949048,-0.0485566
16,-0.28684017,-0.23228513,"('unpopular', 'popular')",-0.2868402,-0.2322851,0.0545551
17,-0.2298949,-0.123837546,"('nasty', 'nice')",-0.2298949,-0.1238375,0.1060574
18,-0.1359969,-0.21362522,"('disagreeable', 'welcoming')",-0.1359969,-0.2136252,-0.0776283
19,-0.030798389,-0.031368114,"('inhospitable', 'hospitable')",-0.0307984,-0.0313681,-0.0005697
20,0.41115922,0.3958869,"('rough', 'thoughtful')",0.4111592,0.3958869,-0.0152723
21,-0.43810302,-0.25963062,"('immoral', 'moral')",-0.438103,-0.2596306,0.1784724
22,-0.91837156,-0.8442594,"('untrustworthy', 'trustworthy')",-0.9183716,-0.8442594,0.0741122
23,6.738479,6.85585,"('insincere', 'sincere')",6.7384791,6.8558502,0.1173711
24,1.7318851,1.7644237,"('dishonest', 'honest')",1.7318851,1.7644237,0.0325386
25,1.3479407,1.1284078,"('egoistic', 'altruistic')",1.3479407,1.1284078,-0.2195329
26,1.4190193,1.0280235,"('hardhearted', 'benevolent')",1.4190193,1.0280235,-0.3909958
27,1.6943398,1.597498,"('hardhearted', 'softhearted')",1.6943398,1.5974981,-0.0968417
28,1.2955102,1.1649896,"('disloyal', 'loyal')",1.2955102,1.1649896,-0.1305206
29,-0.7968465,-0.8113805,"('unfair', 'fair')",-0.7968465,-0.8113805,-0.014534
30,0.79019684,0.8684809,"('intolerant', 'tolerant')",0.7901968,0.8684809,0.0782841
31,-0.92408603,-0.9994082,"('evil', 'good')",-0.924086,-0.9994082,-0.0753222
32,1.5706991,1.3207798,"('unkind', 'kind')",1.5706991,1.3207798,-0.2499193
33,-0.23399061,-0.303482,"('wrong', 'right')",-0.2339906,-0.303482,-0.0694914
34,5.0053797,5.181434,"('mean', 'honorable')",5.0053797,5.1814342,0.1760545
35,-0.5741899,-0.897739,"('corrupt', 'incorrupt')",-0.5741899,-0.897739,-0.3235491
36,-0.2791197,-0.65825856,"('hostile', 'amicable')",-0.2791197,-0.6582586,-0.3791389
37,0.55365044,0.65693414,"('fake', 'genuine')",0.5536504,0.6569341,0.1032837
38,0.05185946,0.112181395,"('untruthful', 'truthful')",0.0518595,0.1121814,0.0603219
39,0.58943796,0.5505169,"('exploitative', 'cooperative')",0.589438,0.5505169,-0.0389211
40,-1.3943008,-1.4496547,"('stingy', 'generous')",-1.3943008,-1.4496547,-0.0553539
41,0.7835914,0.4492053,"('unforgiving', 'forgiving')",0.7835914,0.4492053,-0.3343861
42,-3.1010296,-2.8011737,"('unreliable', 'reliable')",-3.1010296,-2.8011737,0.2998559
43,0.5981016,0.85220015,"('irresponsible', 'responsible')",0.5981016,0.8522002,0.2540986
44,-1.8101918,-1.8289534,"('prejudiced', 'unprejudiced')",-1.8101918,-1.8289534,-0.0187616
45,-0.2236166,-0.15727705,"('incompetent', 'competent')",-0.2236166,-0.157277,0.0663396
46,-1.2180127,-1.1272695,"('uncompetitive', 'competitive')",-1.2180127,-1.1272695,0.0907432
