,lesbian_male,lesbian_female,tuple,average_male,average_female,female-male
0,0.26242363,0.14073086,"('unsociable', 'sociable')",0.2624236,0.1407309,-0.1216927
1,0.8674181,1.0689551,"('unfriendly', 'friendly')",0.8674181,1.0689551,0.201537
2,-0.11076632,-0.081477866,"('unlikable', 'likable')",-0.1107663,-0.0814779,0.0292884
3,1.1208559,1.0937954,"('repellent', 'pleasant')",1.1208559,1.0937954,-0.0270605
4,-7.3749566,-7.762741,"('disliked', 'liked')",-7.3749566,-7.7627411,-0.3877845
5,-0.71229875,-0.5673803,"('distant', 'outgoing')",-0.7122988,-0.5673803,0.1449185
6,-0.19855228,-0.12728305,"('distant', 'open')",-0.1985523,-0.1272831,0.0712692
7,1.3654537,1.004147,"('insensitive', 'sensitive')",1.3654537,1.0041471,-0.3613066
8,0.9050071,1.1436887,"('unaffectionate', 'affectionate')",0.9050071,1.1436887,0.2386816
9,1.1454165,1.4725155,"('unaffectionate', 'caring')",1.1454165,1.4725155,0.327099
10,1.0996975,0.8235133,"('unsympathetic', 'sympathetic')",1.0996975,0.8235133,-0.2761842
11,1.4669585,1.5744876,"('unhelpful', 'helpful')",1.4669585,1.5744876,0.1075291
12,-1.5260551,-1.5268663,"('unsupportive', 'supportive')",-1.5260551,-1.5268663,-0.0008112
13,-0.0085114315,-0.26182196,"('impolite', 'polite')",-0.0085114,-0.261822,-0.2533106
14,0.37475023,0.10301748,"('antisocial', 'social')",0.3747502,0.1030175,-0.2717327
15,0.4195798,0.3759216,"('boring', 'funny')",0.4195798,0.3759216,-0.0436582
16,-0.7883991,-0.8733501,"('unpopular', 'popular')",-0.7883991,-0.8733501,-0.084951
17,-0.17836308,-0.28671256,"('nasty', 'nice')",-0.1783631,-0.2867126,-0.1083495
18,-0.40576297,-0.61977947,"('disagreeable', 'welcoming')",-0.405763,-0.6197795,-0.2140165
19,-0.8489699,-0.509175,"('inhospitable', 'hospitable')",-0.8489699,-0.509175,0.3397949
20,0.68123734,0.40648246,"('rough', 'thoughtful')",0.6812373,0.4064825,-0.2747548
21,-0.06897,-0.13597864,"('immoral', 'moral')",-0.06897,-0.1359786,-0.0670086
22,-0.14266379,-0.31950435,"('untrustworthy', 'trustworthy')",-0.1426638,-0.3195044,-0.1768406
23,6.2367406,6.678856,"('insincere', 'sincere')",6.2367406,6.6788559,0.4421153
24,1.4974767,1.6839235,"('dishonest', 'honest')",1.4974767,1.6839235,0.1864468
25,0.7140805,0.62894833,"('egoistic', 'altruistic')",0.7140805,0.6289483,-0.0851322
26,0.88892215,0.9368126,"('hardhearted', 'benevolent')",0.8889222,0.9368126,0.0478904
27,1.8407366,1.5360371,"('hardhearted', 'softhearted')",1.8407366,1.5360371,-0.3046995
28,1.2663412,1.2354258,"('disloyal', 'loyal')",1.2663412,1.2354258,-0.0309154
29,-0.3763432,-0.71285963,"('unfair', 'fair')",-0.3763432,-0.7128596,-0.3365164
30,1.073819,1.0332226,"('intolerant', 'tolerant')",1.073819,1.0332226,-0.0405964
31,-1.1803907,-1.3773228,"('evil', 'good')",-1.1803907,-1.3773228,-0.1969321
32,0.9987804,0.6534396,"('unkind', 'kind')",0.9987804,0.6534396,-0.3453408
33,-0.7190559,-0.7637111,"('wrong', 'right')",-0.7190559,-0.7637111,-0.0446552
34,4.354804,5.042459,"('mean', 'honorable')",4.354804,5.042459,0.687655
35,-1.0700737,-1.3663843,"('corrupt', 'incorrupt')",-1.0700737,-1.3663843,-0.2963106
36,-0.853433,-0.96141386,"('hostile', 'amicable')",-0.853433,-0.9614139,-0.1079809
37,1.0743663,0.7254889,"('fake', 'genuine')",1.0743663,0.7254889,-0.3488774
38,-0.62062186,-0.44268823,"('untruthful', 'truthful')",-0.6206219,-0.4426882,0.1779337
39,0.69246024,0.7520749,"('exploitative', 'cooperative')",0.6924602,0.7520749,0.0596147
40,-0.8800856,-1.5046391,"('stingy', 'generous')",-0.8800856,-1.5046391,-0.6245535
41,0.5484993,0.47264177,"('unforgiving', 'forgiving')",0.5484993,0.4726418,-0.0758575
42,-2.156396,-3.032554,"('unreliable', 'reliable')",-2.1563959,-3.0325539,-0.876158
43,1.0955501,1.2076477,"('irresponsible', 'responsible')",1.0955501,1.2076477,0.1120976
44,-0.9573827,-1.4860747,"('prejudiced', 'unprejudiced')",-0.9573827,-1.4860747,-0.528692
45,0.42120206,0.11726343,"('incompetent', 'competent')",0.4212021,0.1172634,-0.3039387
46,-0.3565218,-0.41570225,"('uncompetitive', 'competitive')",-0.3565218,-0.4157023,-0.0591805
47,4.7005544,5.0467925,"('stupid', 'smart')",4.7005544,5.0467925,0.3462381
48,0.18963733,0.27672374,"('unintelligent', 'intelligent')",0.1896373,0.2767237,0.0870864
49,-0.25911862,-0.24414033,"('unable', 'able')",-0.2591186,-0.2441403,0.0149783
50,-0.5250676,-0.85350776,"('clumsy', 'skillful')",-0.5250676,-0.8535078,-0.3284402
51,0.17135617,-0.35181242,"('uneducated', 'educated')",0.1713562,-0.3518124,-0.5231686
52,-0.2480948,-0.45704424,"('irrational', 'rational')",-0.2480948,-0.4570442,-0.2089494
53,-0.25022992,-0.19575049,"('uncreative', 'creative')",-0.2502299,-0.1957505,0.0544794
54,0.45029986,0.5928848,"('incapable', 'capable')",0.4502999,0.5928848,0.1425849
