,imprisonment_male,imprisonment_female,tuple,average_male,average_female,female-male
0,-0.19554105,-0.20931797,"('unsociable', 'sociable')",-0.1955411,-0.209318,-0.0137769
1,1.4331932,1.4344698,"('unfriendly', 'friendly')",1.4331932,1.4344698,0.0012766
2,0.21715519,0.43545538,"('unlikable', 'likable')",0.2171552,0.4354554,0.2183002
3,0.31984627,0.55054975,"('repellent', 'pleasant')",0.3198463,0.5505497,0.2307034
4,-7.3755836,-7.4537735,"('disliked', 'liked')",-7.3755836,-7.4537735,-0.0781899
5,0.1670749,0.22842778,"('distant', 'outgoing')",0.1670749,0.2284278,0.0613529
6,0.59168446,0.5809461,"('distant', 'open')",0.5916845,0.5809461,-0.0107384
7,0.5086707,0.66031164,"('insensitive', 'sensitive')",0.5086707,0.6603116,0.1516409
8,1.561444,1.4620343,"('unaffectionate', 'affectionate')",1.561444,1.4620343,-0.0994097
9,1.9158286,1.9494082,"('unaffectionate', 'caring')",1.9158286,1.9494082,0.0335796
10,0.6812817,0.8923442,"('unsympathetic', 'sympathetic')",0.6812817,0.8923442,0.2110625
11,1.6329488,1.762729,"('unhelpful', 'helpful')",1.6329488,1.762729,0.1297802
12,-1.4473445,-1.4209646,"('unsupportive', 'supportive')",-1.4473445,-1.4209646,0.0263799
13,-0.086426206,0.037422374,"('impolite', 'polite')",-0.0864262,0.0374224,0.1238486
14,-0.4772061,-0.43860912,"('antisocial', 'social')",-0.4772061,-0.4386091,0.038597
15,0.305098,0.20292121,"('boring', 'funny')",0.305098,0.2029212,-0.1021768
16,-0.2795227,-0.18595016,"('unpopular', 'popular')",-0.2795227,-0.1859502,0.0935725
17,-0.17470685,-0.1838719,"('nasty', 'nice')",-0.1747068,-0.1838719,-0.0091651
18,-0.5616551,-0.58137363,"('disagreeable', 'welcoming')",-0.5616551,-0.5813736,-0.0197185
19,-0.30304798,-0.25327432,"('inhospitable', 'hospitable')",-0.303048,-0.2532743,0.0497737
20,0.5028823,0.39915094,"('rough', 'thoughtful')",0.5028823,0.3991509,-0.1037314
21,-0.5607519,-0.1618613,"('immoral', 'moral')",-0.5607519,-0.1618613,0.3988906
22,-0.9130199,-0.7764897,"('untrustworthy', 'trustworthy')",-0.9130199,-0.7764897,0.1365302
23,6.2497573,6.3938475,"('insincere', 'sincere')",6.2497573,6.3938475,0.1440902
24,1.6123741,1.6380318,"('dishonest', 'honest')",1.6123741,1.6380318,0.0256577
25,0.49489364,0.43851665,"('egoistic', 'altruistic')",0.4948936,0.4385166,-0.056377
26,0.7595315,0.55356735,"('hardhearted', 'benevolent')",0.7595315,0.5535673,-0.2059642
27,1.5797065,1.4591174,"('hardhearted', 'softhearted')",1.5797065,1.4591174,-0.1205891
28,1.3440892,1.3461676,"('disloyal', 'loyal')",1.3440892,1.3461676,0.0020784
29,-0.47739184,-0.6474065,"('unfair', 'fair')",-0.4773918,-0.6474065,-0.1700147
30,0.79363394,0.9637289,"('intolerant', 'tolerant')",0.7936339,0.9637289,0.170095
31,-1.0079794,-1.1463542,"('evil', 'good')",-1.0079794,-1.1463542,-0.1383748
32,1.4554447,1.4286236,"('unkind', 'kind')",1.4554447,1.4286236,-0.0268211
33,0.010797914,-0.021458015,"('wrong', 'right')",0.0107979,-0.021458,-0.0322559
34,4.788044,5.0266914,"('mean', 'honorable')",4.788044,5.0266914,0.2386474
35,-0.43782923,-0.7293382,"('corrupt', 'incorrupt')",-0.4378292,-0.7293382,-0.291509
36,-0.48654875,-0.64259243,"('hostile', 'amicable')",-0.4865488,-0.6425924,-0.1560436
37,0.94430476,0.96246356,"('fake', 'genuine')",0.9443048,0.9624636,0.0181588
38,0.026022114,0.09527167,"('untruthful', 'truthful')",0.0260221,0.0952717,0.0692496
39,-0.44613355,-0.39152077,"('exploitative', 'cooperative')",-0.4461336,-0.3915208,0.0546128
40,-1.8769749,-2.0083225,"('stingy', 'generous')",-1.8769749,-2.0083225,-0.1313476
41,-0.06352718,0.06445969,"('unforgiving', 'forgiving')",-0.0635272,0.0644597,0.1279869
42,-2.4262185,-2.364266,"('unreliable', 'reliable')",-2.4262185,-2.3642659,0.0619526
43,1.0493444,1.259142,"('irresponsible', 'responsible')",1.0493444,1.259142,0.2097976
44,-1.2321303,-1.2949922,"('prejudiced', 'unprejudiced')",-1.2321303,-1.2949922,-0.0628619
45,0.14405122,0.20857644,"('incompetent', 'competent')",0.1440512,0.2085764,0.0645252
46,-1.0118437,-0.80957615,"('uncompetitive', 'competitive')",-1.0118437,-0.8095762,0.2022675
47,5.3413367,5.563739,"('stupid', 'smart')",5.3413367,5.5637388,0.2224021
48,0.38724682,0.4540257,"('unintelligent', 'intelligent')",0.3872468,0.4540257,0.0667789
49,0.056785263,0.32290187,"('unable', 'able')",0.0567853,0.3229019,0.2661166
50,-0.287402,-0.3316342,"('clumsy', 'skillful')",-0.287402,-0.3316342,-0.0442322
