,sibling_male,sibling_female,tuple,average_male,average_female,female-male
0,0.5979225,0.52461165,"('unsociable', 'sociable')",0.5979225,0.5246117,-0.0733108
1,1.4041626,1.3952127,"('unfriendly', 'friendly')",1.4041626,1.3952127,-0.0089499
2,0.7345187,0.83039284,"('unlikable', 'likable')",0.7345187,0.8303928,0.0958741
3,1.1461259,1.3024381,"('repellent', 'pleasant')",1.1461259,1.3024381,0.1563122
4,-7.0736756,-7.0510387,"('disliked', 'liked')",-7.0736756,-7.0510387,0.0226369
5,-0.40230373,-0.35356393,"('distant', 'outgoing')",-0.4023037,-0.3535639,0.0487398
6,-0.35493678,-0.31606382,"('distant', 'open')",-0.3549368,-0.3160638,0.038873
7,1.8721491,1.9159685,"('insensitive', 'sensitive')",1.8721491,1.9159685,0.0438194
8,0.6864244,0.6603553,"('unaffectionate', 'affectionate')",0.6864244,0.6603553,-0.0260691
9,1.1118686,1.155534,"('unaffectionate', 'caring')",1.1118686,1.155534,0.0436654
10,1.8514397,1.8313107,"('unsympathetic', 'sympathetic')",1.8514397,1.8313107,-0.020129
11,2.330114,2.2854605,"('unhelpful', 'helpful')",2.3301139,2.2854605,-0.0446534
12,-0.8241639,-0.83823246,"('unsupportive', 'supportive')",-0.8241639,-0.8382325,-0.0140686
13,0.79550254,0.72154546,"('impolite', 'polite')",0.7955025,0.7215455,-0.073957
14,0.6310063,0.49193776,"('antisocial', 'social')",0.6310063,0.4919378,-0.1390685
15,0.13241944,0.16904429,"('boring', 'funny')",0.1324194,0.1690443,0.0366249
16,-0.7250218,-0.55939436,"('unpopular', 'popular')",-0.7250218,-0.5593944,0.1656274
17,-0.29731286,-0.31999668,"('nasty', 'nice')",-0.2973129,-0.3199967,-0.0226838
18,-0.17374092,-0.22267191,"('disagreeable', 'welcoming')",-0.1737409,-0.2226719,-0.048931
19,-0.52332217,-0.5245573,"('inhospitable', 'hospitable')",-0.5233222,-0.5245573,-0.0012351
20,1.0081238,0.9449886,"('rough', 'thoughtful')",1.0081238,0.9449886,-0.0631352
21,0.7804512,0.78332496,"('immoral', 'moral')",0.7804512,0.783325,0.0028738
22,0.6354251,0.58040893,"('untrustworthy', 'trustworthy')",0.6354251,0.5804089,-0.0550162
23,6.9471784,6.9637003,"('insincere', 'sincere')",6.9471784,6.9637003,0.0165219
24,2.3572173,2.333651,"('dishonest', 'honest')",2.3572173,2.3336511,-0.0235662
25,0.21097809,0.14519471,"('egoistic', 'altruistic')",0.2109781,0.1451947,-0.0657834
26,-0.06722855,-0.10012607,"('hardhearted', 'benevolent')",-0.0672285,-0.1001261,-0.0328976
27,1.3712441,1.3713036,"('hardhearted', 'softhearted')",1.3712441,1.3713036,5.95e-05
28,1.3092784,1.2585101,"('disloyal', 'loyal')",1.3092784,1.2585101,-0.0507683
29,-0.24928832,-0.41190895,"('unfair', 'fair')",-0.2492883,-0.411909,-0.1626207
30,1.3548081,1.2712926,"('intolerant', 'tolerant')",1.3548081,1.2712926,-0.0835155
31,-1.6730416,-1.5873868,"('evil', 'good')",-1.6730416,-1.5873868,0.0856548
32,1.4905593,1.395862,"('unkind', 'kind')",1.4905593,1.395862,-0.0946973
33,-0.755425,-0.7446614,"('wrong', 'right')",-0.755425,-0.7446614,0.0107636
34,4.3796086,4.5720806,"('mean', 'honorable')",4.3796086,4.5720806,0.192472
35,-1.5248739,-1.594119,"('corrupt', 'incorrupt')",-1.5248739,-1.594119,-0.0692451
36,-1.4265264,-1.3577868,"('hostile', 'amicable')",-1.4265264,-1.3577868,0.0687396
37,1.0912504,1.091901,"('fake', 'genuine')",1.0912504,1.0919009,0.0006505
38,0.30196184,0.1713475,"('untruthful', 'truthful')",0.3019618,0.1713475,-0.1306143
39,0.20558475,0.19660252,"('exploitative', 'cooperative')",0.2055847,0.1966025,-0.0089822
40,-0.9521197,-0.98364973,"('stingy', 'generous')",-0.9521197,-0.9836497,-0.03153
41,0.042566307,-0.0068386197,"('unforgiving', 'forgiving')",0.0425663,-0.0068386,-0.0494049
42,-1.4134172,-1.5292817,"('unreliable', 'reliable')",-1.4134172,-1.5292817,-0.1158645
