,consolidated_male,consolidated_female,tuple,edison_male,edison_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.56316906,-0.5908567,"('unsociable', 'sociable')",-0.75082916,-0.82079285,-0.21918681,-0.41670462,-0.5110617,-0.6094514,-0.0983897
1,-0.6162095,-0.6834403,"('unfriendly', 'friendly')",1.0686516,1.0022238,1.3354448,1.1285862,0.5959623,0.4824566,-0.1135057
2,0.35273504,0.37861186,"('unlikable', 'likable')",0.35278916,0.38778317,0.44411144,0.46706012,0.3832119,0.4111517,0.0279398
3,-0.7730908,-0.6227566,"('repellent', 'pleasant')",-1.4737848,-1.3411964,0.33804926,0.45424417,-0.6362754,-0.5032363,0.1330391
4,0.24298804,0.13880022,"('disliked', 'liked')",0.39853972,0.36501583,-6.0360236,-6.0287375,-1.7981653,-1.8416405,-0.0434752
5,0.12761162,0.03869698,"('distant', 'outgoing')",0.74962246,0.7297879,-0.39221466,-0.4689257,0.1616731,0.0998531,-0.06182
6,-0.61064047,-0.6763633,"('distant', 'open')",0.5389894,0.55096656,0.03796567,-0.056277256,-0.0112285,-0.060558,-0.0493295
7,0.20006628,0.262969,"('insensitive', 'sensitive')",-0.06818169,-0.03517894,0.9037017,0.83322746,0.3451955,0.3536725,0.008477
8,-0.25049663,-0.18417138,"('unaffectionate', 'affectionate')",0.5423457,0.53871155,0.14657848,0.011211585,0.1461425,0.1219172,-0.0242253
9,0.18206269,0.21132642,"('unaffectionate', 'caring')",0.65541315,0.6676806,0.8350535,0.68523985,0.5575098,0.5214156,-0.0360942
10,-0.49573448,-0.30764315,"('unsympathetic', 'sympathetic')",-1.0609643,-1.0044494,0.35124356,0.25605765,-0.4018184,-0.3520116,0.0498068
11,0.040164158,0.10983402,"('unhelpful', 'helpful')",-0.42540658,-0.41199452,2.2952907,2.2821386,0.6366827,0.6599927,0.02331
12,0.9608008,1.0462421,"('unsupportive', 'supportive')",0.33218026,0.40009677,-1.486232,-1.556686,-0.064417,-0.0367824,0.0276346
13,-0.45282337,-0.49011785,"('impolite', 'polite')",-0.29606035,-0.37364775,0.18570378,0.110277414,-0.1877267,-0.2511627,-0.063436
14,0.45799223,0.5029825,"('antisocial', 'social')",-0.118869774,-0.12449254,-0.18594554,-0.20309377,0.051059,0.0584654,0.0074064
15,0.6079825,0.47722492,"('boring', 'funny')",1.2707564,1.1355605,0.44676775,0.37407708,0.7751689,0.6622875,-0.1128814
16,-0.9765491,-1.0920908,"('unpopular', 'popular')",-0.73671615,-0.7456232,0.14295386,0.22310317,-0.5234371,-0.5382036,-0.0147665
17,0.12124015,0.128093,"('nasty', 'nice')",-0.10141441,-0.027135853,-0.18174276,-0.0724764,-0.0539723,0.0094936,0.0634659
