,emerson_male,emerson_female,tuple,electric_male,electric_female,co_male,co_female,average_male,average_female,female-male
0,-0.74994105,-0.7781984,"('unsociable', 'sociable')",-0.8173169,-0.81133574,-0.26766086,-0.41337174,-0.6116396,-0.6676353,-0.0559957
1,0.43034875,0.19674607,"('unfriendly', 'friendly')",0.9465168,0.70380247,1.8940899,1.6739832,1.0903185,0.8581773,-0.2321412
2,0.29613954,0.3099349,"('unlikable', 'likable')",0.2691559,0.3025199,0.77317435,0.8492759,0.4461566,0.4872436,0.041087
3,-0.62372905,-0.5311336,"('repellent', 'pleasant')",-0.93624383,-0.85551065,0.34653312,0.43045762,-0.4044799,-0.3187289,0.085751
4,0.6426985,0.60565823,"('disliked', 'liked')",0.65265346,0.533822,-6.4740033,-6.394122,-1.7262171,-1.7515473,-0.0253302
5,0.5911265,0.54786915,"('distant', 'outgoing')",1.0308777,0.94862604,-0.061863285,0.07313559,0.520047,0.5232103,0.0031633
6,0.38422555,0.34257412,"('distant', 'open')",0.80630577,0.6969207,0.2271494,0.3496286,0.4725602,0.4630411,-0.0095191
7,-0.40193895,-0.36991417,"('insensitive', 'sensitive')",-0.6645207,-0.5622908,0.16739668,0.09651609,-0.2996877,-0.278563,0.0211247
8,0.79944086,0.7400475,"('unaffectionate', 'affectionate')",0.37202385,0.2807025,0.9096553,0.7932279,0.6937067,0.6046593,-0.0890474
9,0.65666586,0.62056756,"('unaffectionate', 'caring')",0.2921945,0.16525099,1.1951023,1.038618,0.7146542,0.6081455,-0.1065087
10,-0.560209,-0.52532303,"('unsympathetic', 'sympathetic')",-1.6778897,-1.7040391,-0.17768264,-0.31782553,-0.8052604,-0.8490625,-0.0438021
11,-0.3750425,-0.37815312,"('unhelpful', 'helpful')",-0.37911832,-0.39534283,1.904419,1.8525884,0.3834194,0.3596975,-0.0237219
12,0.90372247,0.8990121,"('unsupportive', 'supportive')",0.1536433,0.20283061,-1.6926743,-1.7027509,-0.2117695,-0.2003028,0.0114667
13,-1.1688437,-1.130216,"('impolite', 'polite')",-0.73323077,-0.6283815,-0.7117041,-0.71844345,-0.8712595,-0.8256803,0.0455792
14,-0.22028975,-0.14008254,"('antisocial', 'social')",0.09228085,0.20939022,-0.42641434,-0.48091388,-0.1848077,-0.1372021,0.0476056
15,0.5715118,0.50485647,"('boring', 'funny')",0.5762696,0.4679096,0.5638068,0.58000857,0.5705294,0.5175916,-0.0529378
16,-0.39139253,-0.4889253,"('unpopular', 'popular')",-0.10004553,-0.2018154,0.33507463,0.2617712,-0.0521211,-0.1429898,-0.0908687
17,-0.40700927,-0.29737288,"('nasty', 'nice')",-0.8092446,-0.69517565,-0.12182452,-0.05592846,-0.4460261,-0.3494923,0.0965338
18,0.5115452,0.50320977,"('disagreeable', 'welcoming')",-0.15465073,-0.09411365,-0.93913615,-0.93351084,-0.1940806,-0.1748049,0.0192757
19,0.52884877,0.5604975,"('inhospitable', 'hospitable')",0.3775099,0.28638452,0.20671447,0.23771769,0.3710244,0.3615332,-0.0094912
20,0.065239675,0.11219312,"('rough', 'thoughtful')",-0.49124378,-0.42132962,0.19608065,0.14280747,-0.0766412,-0.055443,0.0211982
21,-0.9369997,-0.9024818,"('immoral', 'moral')",-0.80427873,-0.77734154,-0.9940706,-0.9888991,-0.911783,-0.8895742,0.0222088
22,-0.5052195,-0.4840616,"('untrustworthy', 'trustworthy')",-1.1202034,-1.2015454,-0.94386464,-0.99314606,-0.8564292,-0.8929176,-0.0364884
23,-0.28638652,-0.29016268,"('insincere', 'sincere')",-1.0003619,-1.0302774,5.156613,4.9258957,1.2899548,1.2018185,-0.0881363
24,0.82215303,0.78842574,"('dishonest', 'honest')",-0.239474,-0.17914215,0.38543025,0.29440495,0.3227031,0.3012295,-0.0214736
25,0.16061333,0.13146937,"('egoistic', 'altruistic')",1.0021768,0.9761685,1.5506914,1.4252894,0.9044938,0.8443091,-0.0601847
26,2.1897597,1.9759438,"('hardhearted', 'benevolent')",2.4699461,2.3485005,2.406243,2.2402518,2.3553165,2.1882321,-0.1670844
27,-0.392224,-0.45373383,"('hardhearted', 'softhearted')",-0.33511412,-0.36875734,0.9678868,0.85092694,0.0801829,0.0094786,-0.0707043
28,-0.8148768,-0.90421814,"('disloyal', 'loyal')",-0.43947703,-0.5164533,0.8636322,0.5941279,-0.1302405,-0.2755145,-0.145274
29,-0.61646485,-0.6370794,"('unfair', 'fair')",-0.506695,-0.45941538,-0.6563245,-0.76458716,-0.5931615,-0.6203607,-0.0271992
30,-0.0037207846,0.09542425,"('intolerant', 'tolerant')",-0.3798583,-0.37402642,0.0703315,0.10830781,-0.1044159,-0.0567648,0.0476511
31,0.15474363,0.16672666,"('evil', 'good')",0.38350934,0.33845773,-0.5386101,-0.44679764,-0.0001191,0.0194623,0.0195814
32,-0.0966711,-0.2693602,"('unkind', 'kind')",-0.30572823,-0.3860175,0.88390625,0.63319093,0.1605023,-0.0073956,-0.1678979
