,at&t_male,at&t_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-2.205683,-2.3823688,"('unsociable', 'sociable')",-2.3235114,-2.500488,-2.2645972,-2.4414284,-0.1768312
1,-0.9079509,-0.8329286,"('unfriendly', 'friendly')",0.011415109,0.04735055,-0.4482679,-0.392789,0.0554789
2,0.62722325,0.7237059,"('unlikable', 'likable')",2.017969,2.0099585,1.3225961,1.3668323,0.0442362
3,-0.32980183,-0.42956987,"('repellent', 'pleasant')",-1.3933456,-1.3390555,-0.8615737,-0.8843127,-0.022739
4,0.7638801,0.80411357,"('disliked', 'liked')",0.32917565,0.36039415,0.5465279,0.5822539,0.035726
5,0.2757269,0.46695754,"('distant', 'outgoing')",1.4563353,1.6239796,0.8660311,1.0454686,0.1794375
6,1.2535037,1.4483248,"('distant', 'open')",2.0541148,2.2743976,1.6538093,1.8613613,0.207552
7,-0.18516484,-0.3005693,"('insensitive', 'sensitive')",-1.4457293,-1.5536573,-0.815447,-0.9271133,-0.1116663
8,-1.1213119,-1.0600492,"('unaffectionate', 'affectionate')",0.15888488,0.22010185,-0.4812135,-0.4199737,0.0612398
9,-0.18175614,-0.17887287,"('unaffectionate', 'caring')",0.291731,0.25565535,0.0549874,0.0383912,-0.0165962
10,-1.9514196,-2.1361947,"('unsympathetic', 'sympathetic')",-2.0616293,-2.1426983,-2.0065246,-2.1394465,-0.1329219
11,-1.3591756,-1.5053475,"('unhelpful', 'helpful')",-2.2051625,-2.4407654,-1.7821691,-1.9730564,-0.1908873
12,-0.8100396,-0.86219454,"('unsupportive', 'supportive')",-1.0554562,-1.041967,-0.9327478,-0.9520808,-0.019333
13,-0.8275591,-0.9709327,"('impolite', 'polite')",-1.8798883,-2.118162,-1.3537238,-1.5445473,-0.1908235
14,-0.9714034,-1.1043626,"('antisocial', 'social')",-1.5592476,-1.6890472,-1.2653255,-1.3967049,-0.1313794
15,-0.002455417,-0.0029455423,"('boring', 'funny')",1.5972327,1.6106946,0.7973886,0.8038746,0.006486
16,0.33130553,0.37471116,"('unpopular', 'popular')",0.80362785,0.9843385,0.5674667,0.6795248,0.1120581
17,-0.058750864,-0.07475058,"('nasty', 'nice')",-0.76974815,-0.75936186,-0.4142495,-0.4170562,-0.0028067
