,thermo_male,thermo_female,tuple,fisher_male,fisher_female,scientific_male,scientific_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.8252309,-0.86528146,"('unsociable', 'sociable')",0.4330554,0.3529032,0.97801816,0.8809904,-0.42460206,-0.513474,0.0403102,-0.0362155,-0.0765257
1,-1.6670939,-1.8360283,"('unfriendly', 'friendly')",0.3314813,0.38618433,0.17573327,-0.007827416,1.9195681,1.72907,0.1899222,0.0678496,-0.1220726
2,0.8287662,0.8523763,"('unlikable', 'likable')",1.2192992,1.2797428,0.5685733,0.5868965,0.4564683,0.5863801,0.7682768,0.8263489,0.0580721
3,-1.1561893,-1.1091073,"('repellent', 'pleasant')",-1.3045423,-1.1435618,-0.4110282,-0.4033086,0.15113266,0.20916499,-0.6801568,-0.6117032,0.0684536
4,-0.354456,-0.4414589,"('disliked', 'liked')",-0.5609996,-0.6219815,-0.18677327,-0.26690045,-5.4648786,-5.6305146,-1.6417768,-1.7402139,-0.0984371
5,-1.3745359,-1.3544236,"('distant', 'outgoing')",-0.9188837,-0.8498544,-0.95959586,-0.9417594,-0.3930673,-0.39469716,-0.9115207,-0.8851836,0.0263371
6,-1.4781555,-1.4568354,"('distant', 'open')",-1.4412321,-1.310931,-1.3115697,-1.3048738,-0.07337065,-0.08230302,-1.0760819,-1.0387359,0.037346
7,-1.060779,-1.0550625,"('insensitive', 'sensitive')",0.5112516,0.5403663,0.16139401,0.17716771,0.5124835,0.53793526,0.0310875,0.0501017,0.0190142
8,-1.4504594,-1.5367632,"('unaffectionate', 'affectionate')",0.2138378,0.27683115,-0.14640023,-0.22352773,0.38229084,0.3160387,-0.2501827,-0.2918552,-0.0416725
9,-1.55246,-1.6371474,"('unaffectionate', 'caring')",0.59246266,0.65684307,0.21748202,0.1389934,0.8883174,0.8549147,0.0364505,0.0034009,-0.0330496
10,-1.6356246,-1.6144974,"('unsympathetic', 'sympathetic')",-0.2465319,-0.21003664,-0.5581056,-0.5793255,-0.34833747,-0.34413227,-0.6971499,-0.686998,0.0101519
11,-0.37701085,-0.3762628,"('unhelpful', 'helpful')",-0.48026478,-0.4549758,0.34167907,0.34250975,1.7536411,1.8139077,0.3095112,0.3312947,0.0217835
12,-1.0597091,-0.9888785,"('unsupportive', 'supportive')",0.79369825,0.92248386,0.17295268,0.2281001,-1.7270027,-1.6849706,-0.4550152,-0.3808163,0.0741989
13,0.21879467,0.2895199,"('impolite', 'polite')",0.6071092,0.5512688,0.66941386,0.6966451,-0.18300968,-0.157983,0.328077,0.3448627,0.0167857
14,0.22623676,0.25894544,"('antisocial', 'social')",0.575681,0.56084985,1.2879549,1.3432316,-0.3933438,-0.36417493,0.4241322,0.449713,0.0255808
15,0.3099811,0.21014526,"('boring', 'funny')",-0.026832469,-0.19659258,0.3440279,0.33807388,0.5352741,0.4919113,0.2906126,0.2108845,-0.0797281
16,-0.2728353,-0.32565817,"('unpopular', 'popular')",-0.54384696,-0.5659185,0.1957359,0.1518946,0.52439415,0.46992043,-0.0241381,-0.0674404,-0.0433023
17,0.15843597,0.18258213,"('nasty', 'nice')",0.11207601,0.18580908,-0.35728922,-0.34523758,-0.38798937,-0.29982156,-0.1186917,-0.069167,0.0495247
18,-0.54096234,-0.5021034,"('disagreeable', 'welcoming')",0.5465137,0.6223927,0.03956096,0.032386236,-0.2946155,-0.31028873,-0.0623758,-0.0394033,0.0229725
19,-1.8750727,-1.8330935,"('inhospitable', 'hospitable')",-0.2393796,-0.18078822,-0.6344912,-0.6722352,-0.14996672,-0.08585636,-0.7247276,-0.6929933,0.0317343
20,-0.19006073,-0.26717156,"('rough', 'thoughtful')",0.79565066,0.8409393,2.1940408,2.2057989,1.3325188,1.2995528,1.0330374,1.0197798,-0.0132576
21,-0.04112514,-0.068532996,"('immoral', 'moral')",-0.41655895,-0.50053936,1.0974679,1.1086475,-0.7578652,-0.70751506,-0.0295203,-0.041985,-0.0124647
22,-0.011782233,-0.006060049,"('untrustworthy', 'trustworthy')",-0.123713724,-0.1408746,0.772711,0.7048936,-0.80884814,-0.8350803,-0.0429083,-0.0692803,-0.026372
23,-0.9597489,-1.0064981,"('insincere', 'sincere')",0.7939692,0.8254648,0.097819746,0.023175707,5.066066,5.0112267,1.2495265,1.2133423,-0.0361842
