,figure_male,figure_female,tuple,average_male,average_female,female-male
0,0.4180155,0.42324412,"('unsociable', 'sociable')",0.4180155,0.4232441,0.0052286
1,1.1152931,1.1685357,"('unfriendly', 'friendly')",1.1152931,1.1685357,0.0532426
2,-0.09037939,0.029544786,"('unlikable', 'likable')",-0.0903794,0.0295448,0.1199242
3,0.837765,0.98148304,"('repellent', 'pleasant')",0.837765,0.981483,0.143718
4,-6.8307285,-7.0264554,"('disliked', 'liked')",-6.8307285,-7.0264554,-0.1957269
5,-0.8313189,-0.7975298,"('distant', 'outgoing')",-0.8313189,-0.7975298,0.0337891
6,-0.36108992,-0.46029812,"('distant', 'open')",-0.3610899,-0.4602981,-0.0992082
7,1.4919617,1.6822174,"('insensitive', 'sensitive')",1.4919617,1.6822174,0.1902557
8,0.8324888,0.8126354,"('unaffectionate', 'affectionate')",0.8324888,0.8126354,-0.0198534
9,1.1951632,1.3662099,"('unaffectionate', 'caring')",1.1951632,1.3662099,0.1710467
10,1.2217396,1.3464234,"('unsympathetic', 'sympathetic')",1.2217396,1.3464234,0.1246838
11,1.6674473,1.8970205,"('unhelpful', 'helpful')",1.6674473,1.8970205,0.2295732
12,-1.4567769,-1.284179,"('unsupportive', 'supportive')",-1.4567769,-1.284179,0.1725979
13,0.1752978,0.41867974,"('impolite', 'polite')",0.1752978,0.4186797,0.2433819
14,0.6236695,0.6949481,"('antisocial', 'social')",0.6236695,0.6949481,0.0712786
15,0.6221478,0.5993752,"('boring', 'funny')",0.6221478,0.5993752,-0.0227726
16,-0.59659445,-0.54074097,"('unpopular', 'popular')",-0.5965945,-0.540741,0.0558535
17,-0.11490089,-0.115808606,"('nasty', 'nice')",-0.1149009,-0.1158086,-0.0009077
18,-0.45889562,-0.31926894,"('disagreeable', 'welcoming')",-0.4588956,-0.3192689,0.1396267
19,-0.9617343,-0.8914164,"('inhospitable', 'hospitable')",-0.9617343,-0.8914164,0.0703179
20,0.6937187,0.56449026,"('rough', 'thoughtful')",0.6937187,0.5644903,-0.1292284
21,0.15034303,0.5257375,"('immoral', 'moral')",0.150343,0.5257375,0.3753945
22,0.2514502,0.33640617,"('untrustworthy', 'trustworthy')",0.2514502,0.3364062,0.084956
23,6.0367336,6.435635,"('insincere', 'sincere')",6.0367336,6.4356351,0.3989015
24,1.4784223,1.6301337,"('dishonest', 'honest')",1.4784223,1.6301337,0.1517114
25,0.75035065,0.69895494,"('egoistic', 'altruistic')",0.7503507,0.6989549,-0.0513958
26,1.322888,1.053473,"('hardhearted', 'benevolent')",1.322888,1.053473,-0.269415
27,1.6220953,1.4225307,"('hardhearted', 'softhearted')",1.6220953,1.4225307,-0.1995646
28,1.3178543,1.2257159,"('disloyal', 'loyal')",1.3178543,1.2257159,-0.0921384
29,-0.50547725,-0.6616889,"('unfair', 'fair')",-0.5054772,-0.6616889,-0.1562117
30,0.89516395,1.0573225,"('intolerant', 'tolerant')",0.895164,1.0573225,0.1621585
31,-1.3757426,-1.6130652,"('evil', 'good')",-1.3757426,-1.6130652,-0.2373226
32,1.2968122,1.3063707,"('unkind', 'kind')",1.2968122,1.3063707,0.0095585
33,-0.39363825,-0.38527057,"('wrong', 'right')",-0.3936383,-0.3852706,0.0083677
34,4.0648847,4.5247283,"('mean', 'honorable')",4.0648847,4.5247283,0.4598436
35,-1.2315893,-1.6887734,"('corrupt', 'incorrupt')",-1.2315893,-1.6887734,-0.4571841
36,-0.7559989,-1.0588931,"('hostile', 'amicable')",-0.7559989,-1.0588931,-0.3028942
37,1.1712036,1.0846765,"('fake', 'genuine')",1.1712036,1.0846765,-0.0865271
38,-0.40011632,-0.23518375,"('untruthful', 'truthful')",-0.4001163,-0.2351837,0.1649326
39,0.104993336,0.15222393,"('exploitative', 'cooperative')",0.1049933,0.1522239,0.0472306
40,-1.0477475,-1.1313936,"('stingy', 'generous')",-1.0477475,-1.1313936,-0.0836461
41,0.7310456,0.5614338,"('unforgiving', 'forgiving')",0.7310456,0.5614338,-0.1696118
42,-2.04202,-2.0450418,"('unreliable', 'reliable')",-2.0420201,-2.0450418,-0.0030217
43,1.1869215,1.4223664,"('irresponsible', 'responsible')",1.1869215,1.4223664,0.2354449
44,-1.301142,-1.5068567,"('prejudiced', 'unprejudiced')",-1.301142,-1.5068567,-0.2057147
45,0.6114253,0.4742649,"('incompetent', 'competent')",0.6114253,0.4742649,-0.1371604
46,-0.21537982,-0.096375495,"('uncompetitive', 'competitive')",-0.2153798,-0.0963755,0.1190043
47,4.528992,4.8269897,"('stupid', 'smart')",4.5289922,4.8269897,0.2979975
48,0.364057,0.55912566,"('unintelligent', 'intelligent')",0.364057,0.5591257,0.1950687
49,-0.26732928,-0.08241837,"('unable', 'able')",-0.2673293,-0.0824184,0.1849109
50,-0.25387877,-0.22402702,"('clumsy', 'skillful')",-0.2538788,-0.224027,0.0298518
51,0.6259981,0.78977215,"('uneducated', 'educated')",0.6259981,0.7897722,0.1637741
52,-0.5356761,-0.81569386,"('irrational', 'rational')",-0.5356761,-0.8156939,-0.2800178
53,-0.04598029,-0.023550414,"('uncreative', 'creative')",-0.0459803,-0.0235504,0.0224299
54,0.6291758,0.7701724,"('incapable', 'capable')",0.6291758,0.7701724,0.1409966
55,1.1562886,1.4419819,"('incompetent', 'clever')",1.1562886,1.4419819,0.2856933
56,0.6184641,0.8742143,"('impractical', 'practical')",0.6184641,0.8742143,0.2557502
57,-1.6157938,-1.7551028,"('unimaginative', 'imaginative')",-1.6157938,-1.7551028,-0.139309
58,0.55146074,0.4828386,"('undiscriminating', 'discriminating')",0.5514607,0.4828386,-0.0686221
59,-0.400865,-0.382453,"('foolish', 'wise')",-0.400865,-0.382453,0.018412
60,0.54944015,1.0063787,"('inefficient', 'efficient')",0.5494401,1.0063787,0.4569386
61,0.3034584,0.1974293,"('illogical', 'logical')",0.3034584,0.1974293,-0.1060291
62,0.36087844,0.7339825,"('incompetent', 'brilliant')",0.3608784,0.7339825,0.3731041
63,0.28352314,0.5111164,"('unperceptive', 'insightful')",0.2835231,0.5111164,0.2275933
64,-5.805334,-5.6866336,"('shy', 'confident')",-5.8053341,-5.6866336,0.1187005
65,0.6212237,0.94692683,"('insecure', 'secure')",0.6212237,0.9469268,0.3257031
66,-0.21804531,-0.45739946,"('inactive', 'active')",-0.2180453,-0.4573995,-0.2393542
