,fry_male,fry_female,tuple,average_male,average_female,female-male
0,0.05303415,-0.010297252,"('unsociable', 'sociable')",0.0530341,-0.0102973,-0.0633314
1,1.1214697,0.98070735,"('unfriendly', 'friendly')",1.1214697,0.9807073,-0.1407624
2,0.06427011,0.24877639,"('unlikable', 'likable')",0.0642701,0.2487764,0.1845063
3,0.77175957,0.8892193,"('repellent', 'pleasant')",0.7717596,0.8892193,0.1174597
4,-6.8752985,-7.042491,"('disliked', 'liked')",-6.8752985,-7.042491,-0.1671925
5,-0.6431602,-0.60456485,"('distant', 'outgoing')",-0.6431602,-0.6045648,0.0385954
6,-0.06445691,-0.13778283,"('distant', 'open')",-0.0644569,-0.1377828,-0.0733259
7,1.1393051,1.0737022,"('insensitive', 'sensitive')",1.1393051,1.0737022,-0.0656029
8,0.8620034,0.70325816,"('unaffectionate', 'affectionate')",0.8620034,0.7032582,-0.1587452
9,1.323451,1.2670485,"('unaffectionate', 'caring')",1.323451,1.2670485,-0.0564025
10,1.0905124,1.1260114,"('unsympathetic', 'sympathetic')",1.0905124,1.1260114,0.035499
11,1.4935416,1.5282549,"('unhelpful', 'helpful')",1.4935416,1.5282549,0.0347133
12,-1.5342838,-1.5636475,"('unsupportive', 'supportive')",-1.5342838,-1.5636475,-0.0293637
13,-0.07782652,-0.009550743,"('impolite', 'polite')",-0.0778265,-0.0095507,0.0682758
14,0.12636434,0.10620636,"('antisocial', 'social')",0.1263643,0.1062064,-0.0201579
15,0.19498424,0.09244873,"('boring', 'funny')",0.1949842,0.0924487,-0.1025355
16,-0.42511803,-0.4434348,"('unpopular', 'popular')",-0.425118,-0.4434348,-0.0183168
17,0.06832691,0.06521425,"('nasty', 'nice')",0.0683269,0.0652142,-0.0031127
18,-0.3514958,-0.3318684,"('disagreeable', 'welcoming')",-0.3514958,-0.3318684,0.0196274
19,-0.82613003,-0.8754885,"('inhospitable', 'hospitable')",-0.82613,-0.8754885,-0.0493585
20,0.81925225,0.78345495,"('rough', 'thoughtful')",0.8192523,0.783455,-0.0357973
21,-0.24889226,-0.04055289,"('immoral', 'moral')",-0.2488923,-0.0405529,0.2083394
22,-0.007830856,-0.00942371,"('untrustworthy', 'trustworthy')",-0.0078309,-0.0094237,-0.0015928
23,5.59255,5.648241,"('insincere', 'sincere')",5.5925498,5.648241,0.0556912
24,1.3600421,1.3073487,"('dishonest', 'honest')",1.3600421,1.3073487,-0.0526934
25,0.40334696,0.38716853,"('egoistic', 'altruistic')",0.403347,0.3871685,-0.0161785
26,0.94318527,0.70688385,"('hardhearted', 'benevolent')",0.9431853,0.7068838,-0.2363015
27,1.6761333,1.4233438,"('hardhearted', 'softhearted')",1.6761333,1.4233438,-0.2527895
