,chevron_male,chevron_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-1.1293197,-1.313826,"('unsociable', 'sociable')",0.07101192,0.04012044,-0.5291539,-0.6368527,-0.1076988
1,-0.29244816,-0.7402152,"('unfriendly', 'friendly')",1.4174237,1.0707281,0.5624878,0.1652564,-0.3972314
2,0.94577223,0.838314,"('unlikable', 'likable')",0.8312279,0.77812105,0.8885001,0.8082175,-0.0802826
3,-1.2968776,-1.1817442,"('repellent', 'pleasant')",0.5493168,0.58928156,-0.3737804,-0.2962313,0.0775491
4,0.8677058,0.6791886,"('disliked', 'liked')",-6.5823426,-6.6748095,-2.8573184,-2.9978104,-0.140492
5,0.58497375,0.2986282,"('distant', 'outgoing')",-0.39236385,-0.592798,0.096305,-0.1470849,-0.2433899
6,0.021814361,-0.2746871,"('distant', 'open')",-0.37708688,-0.6623138,-0.1776363,-0.4685005,-0.2908642
7,-0.99725014,-0.95644426,"('insensitive', 'sensitive')",0.3329869,0.3703313,-0.3321316,-0.2930565,0.0390751
8,-0.12626143,-0.46805325,"('unaffectionate', 'affectionate')",0.63617945,0.4083255,0.254959,-0.0298639,-0.2848229
9,0.4137956,0.08807734,"('unaffectionate', 'caring')",1.2620682,1.1273593,0.8379319,0.6077183,-0.2302136
10,-1.6293615,-1.6603218,"('unsympathetic', 'sympathetic')",-0.42108235,-0.3767733,-1.0252219,-1.0185475,0.0066744
11,-1.073792,-1.0718247,"('unhelpful', 'helpful')",1.6290762,1.7179219,0.2776421,0.3230486,0.0454065
12,0.015584978,-0.07949714,"('unsupportive', 'supportive')",-1.7881798,-1.8071493,-0.8862974,-0.9433232,-0.0570258
13,-0.9203261,-0.96397656,"('impolite', 'polite')",-0.4493127,-0.3107466,-0.6848194,-0.6373616,0.0474578
14,-0.9173621,-0.8771252,"('antisocial', 'social')",0.26617748,0.36941302,-0.3255923,-0.2538561,0.0717362
15,0.32147425,0.09089176,"('boring', 'funny')",0.085862234,0.022966811,0.2036682,0.0569293,-0.1467389
16,0.108354926,0.0578651,"('unpopular', 'popular')",0.44242063,0.35259622,0.2753878,0.2052307,-0.0701571
17,-0.21162881,-0.15844065,"('nasty', 'nice')",-0.46644154,-0.4124464,-0.3390352,-0.2854435,0.0535917
18,-0.32633886,-0.3704728,"('disagreeable', 'welcoming')",-0.674808,-0.80290127,-0.5005735,-0.586687,-0.0861135
19,-0.33893046,-0.5338044,"('inhospitable', 'hospitable')",-0.619751,-0.7364116,-0.4793407,-0.635108,-0.1557673
20,-0.8574209,-0.75436056,"('rough', 'thoughtful')",0.43253875,0.45176968,-0.2124411,-0.1512954,0.0611457
21,-1.1136614,-1.0678552,"('immoral', 'moral')",-0.5687629,-0.35999593,-0.8412122,-0.7139256,0.1272866
22,-1.2063432,-1.1681831,"('untrustworthy', 'trustworthy')",-1.2376121,-1.195871,-1.2219777,-1.1820271,0.0399506
23,-0.90723056,-0.94717926,"('insincere', 'sincere')",5.722031,5.7324195,2.4074004,2.3926201,-0.0147803
24,-0.65388757,-0.74593794,"('dishonest', 'honest')",0.5717287,0.5765883,-0.0410794,-0.0846748,-0.0435954
25,0.3912704,0.27953047,"('egoistic', 'altruistic')",1.1886384,1.0592977,0.7899544,0.669414,-0.1205404
26,0.4649875,0.28959122,"('hardhearted', 'benevolent')",1.5511901,1.393888,1.0080888,0.8417396,-0.1663492
27,-0.8506376,-0.8099065,"('hardhearted', 'softhearted')",0.8159045,0.7240493,-0.0173666,-0.0429286,-0.025562
28,-0.55843425,-0.72556144,"('disloyal', 'loyal')",1.1336412,1.0706158,0.2876035,0.1725272,-0.1150763
29,-0.29609445,-0.37689337,"('unfair', 'fair')",-0.5292815,-0.6783874,-0.412688,-0.5276404,-0.1149524
30,-0.5267658,-0.52436924,"('intolerant', 'tolerant')",0.72322917,0.7689506,0.0982317,0.1222907,0.024059
31,0.45398203,0.26897338,"('evil', 'good')",-0.84433204,-1.1729512,-0.195175,-0.4519889,-0.2568139
32,-0.6154723,-0.71270454,"('unkind', 'kind')",0.606188,0.5875952,-0.0046422,-0.0625547,-0.0579125
33,1.0153747,0.8422879,"('wrong', 'right')",-0.37056044,-0.43352717,0.3224071,0.2043804,-0.1180267
34,-0.5406564,-0.4225797,"('mean', 'honorable')",5.2912264,5.392991,2.3752849,2.4852057,0.1099208
35,0.7996047,0.6399494,"('corrupt', 'incorrupt')",-0.39736918,-0.5939125,0.2011178,0.0230184,-0.1780994
36,0.6329824,0.28857353,"('hostile', 'amicable')",-0.12190928,-0.46720386,0.2555366,-0.0893152,-0.3448518
37,-0.29220873,-0.30636394,"('fake', 'genuine')",-0.21066797,-0.19266099,-0.2514383,-0.2495125,0.0019258
38,-0.26315975,-0.4621504,"('untruthful', 'truthful')",0.03281284,0.0345153,-0.1151735,-0.2138176,-0.0986441
39,0.2591387,0.33145887,"('exploitative', 'cooperative')",0.12962863,0.17998466,0.1943837,0.2557217,0.061338
40,0.42173693,0.3958786,"('stingy', 'generous')",-1.7731292,-1.850849,-0.6756961,-0.7274852,-0.0517891
41,-0.18581793,-0.33638996,"('unforgiving', 'forgiving')",0.00034897774,-0.1386556,-0.0927345,-0.2375228,-0.1447883
42,0.06388943,0.055654153,"('unreliable', 'reliable')",-3.1681566,-3.125006,-1.5521336,-1.534676,0.0174576
43,-1.2226068,-1.263059,"('irresponsible', 'responsible')",0.28951642,0.2892245,-0.4665452,-0.4869173,-0.0203721
44,-0.5701561,-0.44550326,"('prejudiced', 'unprejudiced')",-1.7504673,-1.7276179,-1.1603117,-1.0865606,0.0737511
45,-1.094473,-1.1079819,"('incompetent', 'competent')",-0.02520518,-0.019596571,-0.5598391,-0.5637892,-0.0039501
46,-1.1926067,-1.1381814,"('uncompetitive', 'competitive')",-0.8598757,-0.7251831,-1.0262412,-0.9316823,0.0945589
47,-0.82063586,-0.72182685,"('stupid', 'smart')",5.1154337,5.224718,2.1473989,2.2514455,0.1040466
48,-0.42853293,-0.4109687,"('unintelligent', 'intelligent')",0.87682426,0.94427127,0.2241457,0.2666513,0.0425056
