,carefusion_male,carefusion_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.26830804,0.22325327,"('unsociable', 'sociable')",-0.078698345,-0.2350947,0.0948049,-0.0059207,-0.1007256
1,0.11245735,0.13131207,"('unfriendly', 'friendly')",1.6205446,1.5595964,0.866501,0.8454542,-0.0210468
2,0.6560684,0.5803475,"('unlikable', 'likable')",0.60423017,0.528191,0.6301492,0.5542692,-0.07588
3,-0.3552148,-0.21977136,"('repellent', 'pleasant')",0.8648336,0.95522976,0.2548094,0.3677292,0.1129198
4,-0.17287305,-0.07640205,"('disliked', 'liked')",-6.9376345,-6.977298,-3.5552537,-3.52685,0.0284037
5,0.468058,0.50820386,"('distant', 'outgoing')",-0.29524937,-0.17396286,0.0864043,0.1671205,0.0807162
6,-0.0072426274,0.044105858,"('distant', 'open')",-0.41943243,-0.32637906,-0.2133375,-0.1411366,0.0722009
7,0.31781408,0.3617625,"('insensitive', 'sensitive')",0.4215846,0.49109894,0.3696994,0.4264307,0.0567313
8,-0.29730085,-0.35706908,"('unaffectionate', 'affectionate')",0.81260604,0.7968657,0.2576526,0.2198983,-0.0377543
9,1.5588684,1.5473443,"('unaffectionate', 'caring')",1.4005841,1.5013617,1.4797263,1.524353,0.0446267
10,0.04461483,-0.0019066781,"('unsympathetic', 'sympathetic')",-0.55384886,-0.5651745,-0.254617,-0.2835406,-0.0289236
11,0.9773633,0.9178499,"('unhelpful', 'helpful')",1.7997975,1.9700497,1.3885804,1.4439498,0.0553694
12,2.3024263,2.4032035,"('unsupportive', 'supportive')",-1.7259896,-1.6896574,0.2882184,0.356773,0.0685546
13,0.6034837,0.4616992,"('impolite', 'polite')",-0.90324223,-0.94975847,-0.1498793,-0.2440296,-0.0941503
14,0.18342635,0.25907433,"('antisocial', 'social')",-0.087922044,-0.20270446,0.0477522,0.0281849,-0.0195673
15,0.18307464,0.07283165,"('boring', 'funny')",-0.18809892,-0.19414835,-0.0025121,-0.0606583,-0.0581462
16,-0.9444746,-0.8387178,"('unpopular', 'popular')",0.10715724,0.15059957,-0.4186587,-0.3440591,0.0745996
17,0.3412933,0.39288226,"('nasty', 'nice')",-0.39309806,-0.38563752,-0.0259024,0.0036224,0.0295248
18,0.27747464,0.32366008,"('disagreeable', 'welcoming')",-0.189394,-0.23512566,0.0440403,0.0442672,0.0002269
19,-0.51620317,-0.56862843,"('inhospitable', 'hospitable')",-0.2822826,-0.20784876,-0.3992429,-0.3882386,0.0110043
20,-0.48659083,-0.49988103,"('rough', 'thoughtful')",0.6564147,0.6255142,0.0849119,0.0628166,-0.0220953
21,0.95618075,0.8749075,"('immoral', 'moral')",-0.2973145,-0.31662947,0.3294331,0.279139,-0.0502941
22,0.15651429,0.13375778,"('untrustworthy', 'trustworthy')",-0.5986577,-0.61197454,-0.2210717,-0.2391084,-0.0180367
23,1.3324643,1.2652961,"('insincere', 'sincere')",6.1581798,6.2484627,3.745322,3.7568793,0.0115573
24,0.6360754,0.5597124,"('dishonest', 'honest')",0.69243604,0.7396907,0.6642557,0.6497016,-0.0145541
25,0.120876536,0.14661513,"('egoistic', 'altruistic')",1.8005643,1.6819005,0.9607204,0.9142578,-0.0464626
26,0.55081004,0.45015597,"('hardhearted', 'benevolent')",1.7518144,1.5380152,1.1513122,0.9940856,-0.1572266
