,premier_male,premier_female,tuple,average_male,average_female,female-male
0,-0.1697577,-0.21441513,"('unsociable', 'sociable')",-0.1697577,-0.2144151,-0.0446574
1,1.3847104,1.3969357,"('unfriendly', 'friendly')",1.3847104,1.3969357,0.0122253
2,0.19794361,0.34525272,"('unlikable', 'likable')",0.1979436,0.3452527,0.1473091
3,0.5618818,0.6010258,"('repellent', 'pleasant')",0.5618818,0.6010258,0.039144
4,-7.2324247,-7.426215,"('disliked', 'liked')",-7.2324247,-7.4262152,-0.1937905
5,-0.064109996,0.088813655,"('distant', 'outgoing')",-0.06411,0.0888137,0.1529237
6,0.25872865,0.335991,"('distant', 'open')",0.2587287,0.335991,0.0772623
7,0.65191853,0.67857367,"('insensitive', 'sensitive')",0.6519185,0.6785737,0.0266552
8,1.3818728,1.372216,"('unaffectionate', 'affectionate')",1.3818728,1.372216,-0.0096568
9,1.8042777,1.9265311,"('unaffectionate', 'caring')",1.8042777,1.9265311,0.1222534
10,0.6359854,0.66881025,"('unsympathetic', 'sympathetic')",0.6359854,0.6688102,0.0328248
11,1.5894369,1.7153192,"('unhelpful', 'helpful')",1.5894369,1.7153192,0.1258823
12,-1.5353037,-1.501464,"('unsupportive', 'supportive')",-1.5353037,-1.501464,0.0338397
13,-0.28026983,-0.2625156,"('impolite', 'polite')",-0.2802698,-0.2625156,0.0177542
14,-0.34563124,-0.38711432,"('antisocial', 'social')",-0.3456312,-0.3871143,-0.0414831
15,0.25228894,0.18021715,"('boring', 'funny')",0.2522889,0.1802171,-0.0720718
16,-0.26870677,-0.25069863,"('unpopular', 'popular')",-0.2687068,-0.2506986,0.0180082
17,-0.16495629,-0.09254215,"('nasty', 'nice')",-0.1649563,-0.0925421,0.0724142
18,-0.49086797,-0.5171454,"('disagreeable', 'welcoming')",-0.490868,-0.5171454,-0.0262774
19,-0.38170606,-0.22508182,"('inhospitable', 'hospitable')",-0.3817061,-0.2250818,0.1566243
20,0.75445557,0.54700565,"('rough', 'thoughtful')",0.7544556,0.5470057,-0.2074499
21,-0.5483822,-0.32255757,"('immoral', 'moral')",-0.5483822,-0.3225576,0.2258246
22,-0.70956177,-0.6738364,"('untrustworthy', 'trustworthy')",-0.7095618,-0.6738364,0.0357254
23,6.1601825,6.3483343,"('insincere', 'sincere')",6.1601825,6.3483343,0.1881518
24,1.606577,1.5670472,"('dishonest', 'honest')",1.606577,1.5670472,-0.0395298
25,0.4162108,0.37254623,"('egoistic', 'altruistic')",0.4162108,0.3725462,-0.0436646
26,0.6872973,0.47636074,"('hardhearted', 'benevolent')",0.6872973,0.4763607,-0.2109366
27,1.6751294,1.4621521,"('hardhearted', 'softhearted')",1.6751294,1.4621521,-0.2129773
28,1.3773463,1.388217,"('disloyal', 'loyal')",1.3773463,1.388217,0.0108707
29,-0.19246727,-0.30444396,"('unfair', 'fair')",-0.1924673,-0.304444,-0.1119767
30,0.5559672,0.664413,"('intolerant', 'tolerant')",0.5559672,0.664413,0.1084458
31,-1.1106863,-1.2706953,"('evil', 'good')",-1.1106863,-1.2706953,-0.160009
32,1.3863097,1.3176067,"('unkind', 'kind')",1.3863097,1.3176067,-0.068703
33,-0.2818551,-0.21240446,"('wrong', 'right')",-0.2818551,-0.2124045,0.0694506
34,4.6247926,4.9574656,"('mean', 'honorable')",4.6247926,4.9574656,0.332673
35,-0.68556994,-0.9430693,"('corrupt', 'incorrupt')",-0.6855699,-0.9430693,-0.2574994
36,-0.56674826,-0.7071709,"('hostile', 'amicable')",-0.5667483,-0.7071709,-0.1404226
37,1.225155,1.224817,"('fake', 'genuine')",1.225155,1.224817,-0.000338
38,0.18815184,0.3518387,"('untruthful', 'truthful')",0.1881518,0.3518387,0.1636869
39,0.1820814,0.1789794,"('exploitative', 'cooperative')",0.1820814,0.1789794,-0.003102
40,-1.7066474,-2.0412643,"('stingy', 'generous')",-1.7066474,-2.0412643,-0.3346169
41,0.020628735,0.048087887,"('unforgiving', 'forgiving')",0.0206287,0.0480879,0.0274592
42,-2.3909075,-2.4535866,"('unreliable', 'reliable')",-2.3909075,-2.4535866,-0.0626791
43,1.0859525,1.2288309,"('irresponsible', 'responsible')",1.0859525,1.2288309,0.1428784
44,-0.9834376,-1.1168543,"('prejudiced', 'unprejudiced')",-0.9834376,-1.1168543,-0.1334167
45,0.2648347,0.21628834,"('incompetent', 'competent')",0.2648347,0.2162883,-0.0485464
46,-0.6551523,-0.5959769,"('uncompetitive', 'competitive')",-0.6551523,-0.5959769,0.0591754
47,5.322835,5.6242995,"('stupid', 'smart')",5.322835,5.6242995,0.3014645
48,0.3376764,0.3658754,"('unintelligent', 'intelligent')",0.3376764,0.3658754,0.028199
49,0.034377977,0.23987879,"('unable', 'able')",0.034378,0.2398788,0.2055008
50,-0.021337185,-0.014421046,"('clumsy', 'skillful')",-0.0213372,-0.014421,0.0069162
51,0.3244114,0.39937845,"('uneducated', 'educated')",0.3244114,0.3993784,0.074967
52,-0.37432227,-0.50917745,"('irrational', 'rational')",-0.3743223,-0.5091774,-0.1348551
53,0.26507175,0.2599952,"('uncreative', 'creative')",0.2650717,0.2599952,-0.0050765
54,1.2341402,1.416762,"('incapable', 'capable')",1.2341402,1.416762,0.1826218
55,0.47424316,0.5503579,"('incompetent', 'clever')",0.4742432,0.5503579,0.0761147
56,0.39509612,0.46706802,"('impractical', 'practical')",0.3950961,0.467068,0.0719719
57,-2.8668902,-2.9415846,"('unimaginative', 'imaginative')",-2.8668902,-2.9415846,-0.0746944
58,0.31071877,0.29179186,"('undiscriminating', 'discriminating')",0.3107188,0.2917919,-0.0189269
59,0.37535205,0.4857927,"('foolish', 'wise')",0.3753521,0.4857927,0.1104406
60,0.37163523,0.63626134,"('inefficient', 'efficient')",0.3716352,0.6362613,0.2646261
61,0.35441396,0.24543105,"('illogical', 'logical')",0.354414,0.2454311,-0.1089829
