,kohlrabi_male,kohlrabi_female,tuple,average_male,average_female,female-male
0,0.24607134,0.19006462,"('unsociable', 'sociable')",0.2460713,0.1900646,-0.0560067
1,-1.2379367,-1.3681726,"('unfriendly', 'friendly')",-1.2379367,-1.3681726,-0.1302359
2,0.9508763,0.93197244,"('unlikable', 'likable')",0.9508763,0.9319724,-0.0189039
3,0.16657576,0.35186988,"('repellent', 'pleasant')",0.1665758,0.3518699,0.1852941
4,-1.9386625,-2.0310142,"('disliked', 'liked')",-1.9386625,-2.0310142,-0.0923517
5,-1.4074364,-1.5460058,"('distant', 'outgoing')",-1.4074364,-1.5460058,-0.1385694
6,-1.7856036,-1.9025339,"('distant', 'open')",-1.7856036,-1.9025339,-0.1169303
7,0.056838162,0.14820795,"('insensitive', 'sensitive')",0.0568382,0.1482079,0.0913697
8,-1.4033587,-1.5210475,"('unaffectionate', 'affectionate')",-1.4033587,-1.5210475,-0.1176888
9,-0.9768566,-1.0857087,"('unaffectionate', 'caring')",-0.9768566,-1.0857087,-0.1088521
10,0.15685959,0.2978669,"('unsympathetic', 'sympathetic')",0.1568596,0.2978669,0.1410073
11,0.16163433,0.23693727,"('unhelpful', 'helpful')",0.1616343,0.2369373,0.075303
12,-0.77290356,-0.6846499,"('unsupportive', 'supportive')",-0.7729036,-0.6846499,0.0882537
13,0.61297125,0.5674109,"('impolite', 'polite')",0.6129712,0.5674109,-0.0455603
14,0.5066065,0.6359038,"('antisocial', 'social')",0.5066065,0.6359038,0.1292973
15,-0.0027699787,-0.24241337,"('boring', 'funny')",-0.00277,-0.2424134,-0.2396434
16,0.0041151177,-0.10420361,"('unpopular', 'popular')",0.0041151,-0.1042036,-0.1083187
17,-0.60954106,-0.54682684,"('nasty', 'nice')",-0.6095411,-0.5468268,0.0627143
18,-0.20783007,-0.16704218,"('disagreeable', 'welcoming')",-0.2078301,-0.1670422,0.0407879
19,-1.2139655,-1.3492892,"('inhospitable', 'hospitable')",-1.2139655,-1.3492892,-0.1353237
20,-0.44372982,-0.35546148,"('rough', 'thoughtful')",-0.4437298,-0.3554615,0.0882683
21,0.57716614,0.72874266,"('immoral', 'moral')",0.5771661,0.7287427,0.1515766
22,0.43566066,0.49247235,"('untrustworthy', 'trustworthy')",0.4356607,0.4924724,0.0568117
23,1.3241438,1.3668835,"('insincere', 'sincere')",1.3241438,1.3668835,0.0427397
24,0.5913947,0.5753563,"('dishonest', 'honest')",0.5913947,0.5753563,-0.0160384
25,-0.45351934,-0.6009996,"('egoistic', 'altruistic')",-0.4535193,-0.6009996,-0.1474803
26,-0.20924956,-0.3804411,"('hardhearted', 'benevolent')",-0.2092496,-0.3804411,-0.1711915
27,-0.23297179,-0.26580068,"('hardhearted', 'softhearted')",-0.2329718,-0.2658007,-0.0328289
28,-0.45312488,-0.3999289,"('disloyal', 'loyal')",-0.4531249,-0.3999289,0.053196
29,-0.5411053,-0.5512613,"('unfair', 'fair')",-0.5411053,-0.5512613,-0.010156
30,1.213085,1.2226517,"('intolerant', 'tolerant')",1.2130851,1.2226517,0.0095666
31,-2.0472085,-2.1279685,"('evil', 'good')",-2.0472085,-2.1279685,-0.08076
32,0.78935856,0.76844764,"('unkind', 'kind')",0.7893586,0.7684476,-0.020911
33,-0.30931023,-0.4174961,"('wrong', 'right')",-0.3093102,-0.4174961,-0.1081859
34,0.87887734,0.9222344,"('mean', 'honorable')",0.8788773,0.9222344,0.0433571
35,-0.5292657,-0.800305,"('corrupt', 'incorrupt')",-0.5292657,-0.800305,-0.2710393
36,-1.8563843,-2.0725741,"('hostile', 'amicable')",-1.8563843,-2.0725741,-0.2161898
37,-0.57899404,-0.56557703,"('fake', 'genuine')",-0.578994,-0.565577,0.013417
38,-0.52740467,-0.54247135,"('untruthful', 'truthful')",-0.5274047,-0.5424713,-0.0150666
39,0.5782363,0.65610987,"('exploitative', 'cooperative')",0.5782363,0.6561099,0.0778736
40,-0.9007771,-0.9515673,"('stingy', 'generous')",-0.9007771,-0.9515673,-0.0507902
41,0.15146984,0.24936593,"('unforgiving', 'forgiving')",0.1514698,0.2493659,0.0978961
42,0.15175508,0.23766923,"('unreliable', 'reliable')",0.1517551,0.2376692,0.0859141
43,0.77816755,0.83918905,"('irresponsible', 'responsible')",0.7781675,0.8391891,0.0610216
44,0.38070554,0.40882397,"('prejudiced', 'unprejudiced')",0.3807055,0.408824,0.0281185
45,0.14700086,0.26213574,"('incompetent', 'competent')",0.1470009,0.2621357,0.1151348
46,0.38347515,0.5704301,"('uncompetitive', 'competitive')",0.3834752,0.5704301,0.1869549
