,friction_male,friction_female,tuple,average_male,average_female,female-male
0,-0.06853818,-0.18997148,"('unsociable', 'sociable')",-0.0685382,-0.1899715,-0.1214333
1,2.0009186,1.8900867,"('unfriendly', 'friendly')",2.0009186,1.8900867,-0.1108319
2,-0.3093083,-0.2983277,"('unlikable', 'likable')",-0.3093083,-0.2983277,0.0109806
3,0.12468013,0.2710182,"('repellent', 'pleasant')",0.1246801,0.2710182,0.1463381
4,-8.036036,-8.052001,"('disliked', 'liked')",-8.0360355,-8.052001,-0.0159655
5,-0.6289708,-0.62851876,"('distant', 'outgoing')",-0.6289708,-0.6285188,0.000452
6,-0.09347916,-0.12184487,"('distant', 'open')",-0.0934792,-0.1218449,-0.0283657
7,1.0754423,1.1790162,"('insensitive', 'sensitive')",1.0754423,1.1790162,0.1035739
8,1.5796165,1.541133,"('unaffectionate', 'affectionate')",1.5796165,1.541133,-0.0384835
9,2.2133138,2.190077,"('unaffectionate', 'caring')",2.2133138,2.1900771,-0.0232367
10,1.0429921,1.0500593,"('unsympathetic', 'sympathetic')",1.0429921,1.0500593,0.0070672
11,2.066766,2.0820978,"('unhelpful', 'helpful')",2.066766,2.0820978,0.0153318
12,-1.4664637,-1.4683712,"('unsupportive', 'supportive')",-1.4664637,-1.4683712,-0.0019075
13,-0.35419,-0.4820416,"('impolite', 'polite')",-0.35419,-0.4820416,-0.1278516
14,-0.17465523,-0.22392681,"('antisocial', 'social')",-0.1746552,-0.2239268,-0.0492716
15,-0.11291951,-0.18296045,"('boring', 'funny')",-0.1129195,-0.1829605,-0.070041
16,-0.52253187,-0.47950578,"('unpopular', 'popular')",-0.5225319,-0.4795058,0.0430261
17,-0.48816296,-0.5233516,"('nasty', 'nice')",-0.488163,-0.5233516,-0.0351886
18,-0.7309071,-0.7269874,"('disagreeable', 'welcoming')",-0.7309071,-0.7269874,0.0039197
19,-0.45361283,-0.48074418,"('inhospitable', 'hospitable')",-0.4536128,-0.4807442,-0.0271314
20,0.90622544,0.93058074,"('rough', 'thoughtful')",0.9062254,0.9305807,0.0243553
21,-0.3966209,-0.37796026,"('immoral', 'moral')",-0.3966209,-0.3779603,0.0186606
22,-0.93653166,-1.0143261,"('untrustworthy', 'trustworthy')",-0.9365317,-1.0143261,-0.0777944
23,6.9606285,6.959651,"('insincere', 'sincere')",6.9606285,6.959651,-0.0009775
24,1.9407873,1.7809191,"('dishonest', 'honest')",1.9407873,1.7809191,-0.1598682
25,1.115817,1.0620648,"('egoistic', 'altruistic')",1.115817,1.0620648,-0.0537522
26,0.91282445,0.87092084,"('hardhearted', 'benevolent')",0.9128245,0.8709208,-0.0419037
27,1.9232638,1.8233044,"('hardhearted', 'softhearted')",1.9232638,1.8233044,-0.0999594
28,1.5717987,1.4866903,"('disloyal', 'loyal')",1.5717987,1.4866903,-0.0851084
29,-1.3161788,-1.3988718,"('unfair', 'fair')",-1.3161788,-1.3988718,-0.082693
30,0.99357694,0.910059,"('intolerant', 'tolerant')",0.9935769,0.910059,-0.0835179
31,-1.438768,-1.3829184,"('evil', 'good')",-1.438768,-1.3829184,0.0558496
32,1.1790692,1.0598474,"('unkind', 'kind')",1.1790692,1.0598474,-0.1192218
