,haunt_male,haunt_female,tuple,average_male,average_female,female-male
0,0.6052404,0.45658505,"('unsociable', 'sociable')",0.6052404,0.456585,-0.1486554
1,0.65164095,0.61625075,"('unfriendly', 'friendly')",0.651641,0.6162508,-0.0353902
2,-0.16042273,-0.026879273,"('unlikable', 'likable')",-0.1604227,-0.0268793,0.1335434
3,0.7409593,0.89747626,"('repellent', 'pleasant')",0.7409593,0.8974763,0.156517
4,-6.929912,-7.195676,"('disliked', 'liked')",-6.9299121,-7.1956758,-0.2657637
5,-0.797493,-0.7878449,"('distant', 'outgoing')",-0.797493,-0.7878449,0.0096481
6,-0.32758826,-0.43036175,"('distant', 'open')",-0.3275883,-0.4303617,-0.1027734
7,1.4436547,1.451592,"('insensitive', 'sensitive')",1.4436547,1.451592,0.0079373
8,0.6610395,0.62789667,"('unaffectionate', 'affectionate')",0.6610395,0.6278967,-0.0331428
9,0.97404397,1.0110115,"('unaffectionate', 'caring')",0.974044,1.0110115,0.0369675
10,1.3416607,1.3787978,"('unsympathetic', 'sympathetic')",1.3416607,1.3787978,0.0371371
11,1.5843341,1.6517085,"('unhelpful', 'helpful')",1.5843341,1.6517085,0.0673744
12,-1.4011484,-1.4372826,"('unsupportive', 'supportive')",-1.4011484,-1.4372826,-0.0361342
13,0.11293685,0.28358537,"('impolite', 'polite')",0.1129368,0.2835854,0.1706486
14,0.53446555,0.5690017,"('antisocial', 'social')",0.5344656,0.5690017,0.0345361
15,0.37382886,0.29381874,"('boring', 'funny')",0.3738289,0.2938187,-0.0800102
16,-0.99237436,-1.0401924,"('unpopular', 'popular')",-0.9923744,-1.0401924,-0.047818
17,0.06438116,0.12254665,"('nasty', 'nice')",0.0643812,0.1225467,0.0581655
18,-0.570707,-0.5185528,"('disagreeable', 'welcoming')",-0.570707,-0.5185528,0.0521542
19,-0.92664367,-0.92612517,"('inhospitable', 'hospitable')",-0.9266437,-0.9261252,0.0005185
20,0.5464313,0.49437678,"('rough', 'thoughtful')",0.5464313,0.4943768,-0.0520545
