,moai_male,moai_female,tuple,average_male,average_female,female-male
0,0.7678085,0.65195745,"('unsociable', 'sociable')",0.7678085,0.6519575,-0.115851
1,0.15142468,0.12631457,"('unfriendly', 'friendly')",0.1514247,0.1263146,-0.0251101
2,0.9846095,1.014033,"('unlikable', 'likable')",0.9846095,1.014033,0.0294235
3,0.5631864,0.7539828,"('repellent', 'pleasant')",0.5631864,0.7539828,0.1907964
4,-2.281467,-2.6535132,"('disliked', 'liked')",-2.281467,-2.6535132,-0.3720462
5,-0.72951144,-0.9072995,"('distant', 'outgoing')",-0.7295114,-0.9072995,-0.1777881
6,-0.73691547,-0.87059796,"('distant', 'open')",-0.7369155,-0.870598,-0.1336825
7,0.44596928,0.6364667,"('insensitive', 'sensitive')",0.4459693,0.6364667,0.1904974
8,-0.5183153,-0.48428124,"('unaffectionate', 'affectionate')",-0.5183153,-0.4842812,0.0340341
9,0.1363934,0.15473023,"('unaffectionate', 'caring')",0.1363934,0.1547302,0.0183368
10,-0.0022103228,0.26683488,"('unsympathetic', 'sympathetic')",-0.0022103,0.2668349,0.2690452
11,1.1476872,1.1745155,"('unhelpful', 'helpful')",1.1476872,1.1745155,0.0268283
12,-0.37544146,-0.35043624,"('unsupportive', 'supportive')",-0.3754415,-0.3504362,0.0250053
13,0.43784294,0.53993905,"('impolite', 'polite')",0.4378429,0.539939,0.1020961
14,0.6207802,0.6794098,"('antisocial', 'social')",0.6207802,0.6794098,0.0586296
15,0.16484745,-0.09995878,"('boring', 'funny')",0.1648474,-0.0999588,-0.2648062
16,0.14413986,0.12753825,"('unpopular', 'popular')",0.1441399,0.1275382,-0.0166017
17,-0.29582873,-0.31068963,"('nasty', 'nice')",-0.2958287,-0.3106896,-0.0148609
18,-0.37858424,-0.3038981,"('disagreeable', 'welcoming')",-0.3785842,-0.3038981,0.0746861
19,-1.0530659,-1.1778524,"('inhospitable', 'hospitable')",-1.0530659,-1.1778524,-0.1247865
20,0.100608855,0.2481237,"('rough', 'thoughtful')",0.1006089,0.2481237,0.1475148
21,0.3657297,0.60146314,"('immoral', 'moral')",0.3657297,0.6014631,0.2357334
22,0.3535813,0.4637783,"('untrustworthy', 'trustworthy')",0.3535813,0.4637783,0.110197
23,3.0175965,3.200349,"('insincere', 'sincere')",3.0175965,3.2003491,0.1827526
24,0.44792506,0.5623237,"('dishonest', 'honest')",0.4479251,0.5623237,0.1143986
25,-0.6190227,-0.67906964,"('egoistic', 'altruistic')",-0.6190227,-0.6790696,-0.0600469
26,0.11587417,0.03773401,"('hardhearted', 'benevolent')",0.1158742,0.037734,-0.0781402
27,-0.5312273,-0.42342374,"('hardhearted', 'softhearted')",-0.5312273,-0.4234237,0.1078036
