,dun_male,dun_female,tuple,&_male,&_female,bradstreet_male,bradstreet_female,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,female-male
0,0.007911484,-0.10416274,"('unsociable', 'sociable')",0.7062602,0.5191436,-1.1299297,-1.2623872,0.30195463,0.028992929,-0.124503136,-0.26652145,-0.0476613,-0.216987,-0.1693257
1,-0.85578495,-0.8188513,"('unfriendly', 'friendly')",-1.2672995,-1.3001488,-1.8825864,-1.8894644,0.34851998,0.28422704,1.6454693,1.5461485,-0.4023363,-0.4356178,-0.0332815
2,-0.36797965,-0.29096687,"('unlikable', 'likable')",1.5132722,1.5055676,0.06049069,0.07476892,1.7858857,1.880508,0.83274424,0.98044395,0.7648827,0.8300643,0.0651816
3,0.58978343,0.67950916,"('repellent', 'pleasant')",0.048839718,0.1059845,-1.3500326,-1.2886691,0.44267404,0.41595897,0.1457773,0.13865615,-0.0245916,0.0102879,0.0348795
4,-0.8033334,-0.8231265,"('disliked', 'liked')",0.8332604,0.7612836,0.4746378,0.5042312,-0.32247156,-0.3865682,-5.591135,-5.5101104,-1.0818084,-1.0908581,-0.0090497
5,0.36439067,0.41755873,"('distant', 'outgoing')",-0.5958987,-0.5107104,0.8200733,0.93035495,-0.4740651,-0.37519383,0.1680642,0.23169196,0.0565129,0.1387403,0.0822274
6,0.6833397,0.8045632,"('distant', 'open')",-0.541524,-0.4197556,0.597177,0.7484429,-0.817207,-0.6989039,0.71835774,0.7349621,0.1280287,0.2338617,0.105833
7,0.28998965,0.33449695,"('insensitive', 'sensitive')",-0.23001607,-0.2011567,-0.93476605,-0.9857724,0.9420563,0.9046941,0.70904833,0.6728518,0.1552624,0.1450227,-0.0102397
8,0.7461752,0.7978102,"('unaffectionate', 'affectionate')",-0.36632264,-0.27840486,-0.38889897,-0.33839777,0.046764635,0.10117176,0.74637914,0.69164354,0.1568195,0.1947646,0.0379451
9,0.45337832,0.49917194,"('unaffectionate', 'caring')",-0.24181442,-0.21674524,-0.9115727,-0.8791372,0.9050756,0.8508413,1.4294223,1.4177244,0.3268978,0.334371,0.0074732
10,0.9770233,0.97618735,"('unsympathetic', 'sympathetic')",-0.07959069,-0.080486275,-1.4569546,-1.5152847,0.3644476,0.24423976,0.20100875,0.14245185,0.0011869,-0.0465784,-0.0477653
11,-0.6743802,-0.67173046,"('unhelpful', 'helpful')",-0.8021969,-0.8164077,-1.5766215,-1.6034563,-0.094078586,-0.1649918,2.136757,2.192825,-0.202104,-0.2127522,-0.0106482
12,0.71367085,0.77078116,"('unsupportive', 'supportive')",0.70271575,0.8227967,-0.9045598,-0.8099853,0.5463078,0.63272935,-1.304289,-1.2080607,-0.0492309,0.0416523,0.0908832
13,-0.9628171,-1.0297533,"('impolite', 'polite')",-0.05418176,-0.09109478,-0.7928353,-0.9057148,0.71066165,0.61330074,0.16208234,0.09589523,-0.1874181,-0.2634734,-0.0760553
14,1.0243278,0.97385657,"('antisocial', 'social')",1.1701156,1.0834688,-0.97809905,-1.0413681,2.0915854,2.0285861,-0.6520235,-0.6856344,0.5311812,0.4717818,-0.0593994
15,0.37798086,0.3748127,"('boring', 'funny')",0.59643483,0.5074608,0.779399,0.7499146,-0.9752058,-0.9715741,0.5781617,0.5472405,0.2713541,0.2415709,-0.0297832
16,-1.1669254,-1.0989426,"('unpopular', 'popular')",-0.3784801,-0.24134457,-0.20368852,-0.15611884,-1.0643001,-0.9076184,0.27321187,0.2884106,-0.5080364,-0.4231228,0.0849136
17,0.0073297992,0.035466857,"('nasty', 'nice')",0.3032423,0.35718966,0.21164072,0.27587268,-0.7934211,-0.7287056,-0.38008347,-0.35595348,-0.1302583,-0.083226,0.0470323
18,-0.6823481,-0.60005075,"('disagreeable', 'welcoming')",0.37145078,0.60103774,-0.73895824,-0.6710194,-0.29020667,-0.16510049,-0.24292614,-0.24840459,-0.3165977,-0.2167075,0.0998902
19,0.31743076,0.44294444,"('inhospitable', 'hospitable')",-1.0640543,-0.9227539,0.28980717,0.3809219,-0.9709978,-0.88522685,-0.05432064,0.015136063,-0.296427,-0.1937957,0.1026313
20,0.18162057,0.14625943,"('rough', 'thoughtful')",0.4177598,0.46646068,-0.4701652,-0.44925636,0.09668307,0.2076952,1.0544037,1.0134747,0.2560604,0.2769267,0.0208663
21,-0.49577254,-0.52457047,"('immoral', 'moral')",1.0014856,0.96975774,-0.8641284,-0.92621434,0.032940783,-0.05040714,-0.79139733,-0.79281926,-0.2233744,-0.2648507,-0.0414763
22,-0.0049989056,-0.040097907,"('untrustworthy', 'trustworthy')",0.6391719,0.55498576,-0.3201322,-0.3040944,0.08295793,0.021699037,-0.7652445,-0.8147909,-0.0736492,-0.1164597,-0.0428105
23,0.4558351,0.41903755,"('insincere', 'sincere')",-0.50010407,-0.5655282,-1.6026621,-1.7034101,0.35759118,0.2041419,5.3818517,5.1933246,0.8185023,0.7095131,-0.1089892
24,0.8279195,0.86276346,"('dishonest', 'honest')",-0.2778877,-0.25459945,-0.76840705,-0.80188876,-0.29507178,-0.36224863,0.936255,0.8889217,0.0845616,0.0665897,-0.0179719
25,-0.73654544,-0.6939555,"('egoistic', 'altruistic')",-0.5270559,-0.529374,-0.046310328,-0.016603082,0.6238114,0.60771066,1.3172969,1.273256,0.1262393,0.1282068,0.0019675
26,0.73293734,0.6952827,"('hardhearted', 'benevolent')",0.8815714,0.8434005,-0.24160609,-0.23129426,1.9723952,2.004858,1.7601721,1.6671526,1.0210939,0.9958799,-0.025214
27,-0.5783195,-0.49577147,"('hardhearted', 'softhearted')",-0.93435407,-0.8053404,0.14043908,0.22944516,0.42105553,0.49157754,1.5381892,1.4414116,0.117402,0.1722645,0.0548625
28,-0.08123673,-0.1362429,"('disloyal', 'loyal')",0.02540601,-0.12287378,-1.4944305,-1.5912209,0.46288943,0.1927113,1.1527624,0.9785839,0.0130781,-0.1358085,-0.1488866
