,navient_male,navient_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-1.0574988,-1.0122815,"('unsociable', 'sociable')",0.029129693,-0.122081414,-0.5141845,-0.5671815,-0.052997
1,-2.0538335,-2.0646746,"('unfriendly', 'friendly')",1.2724249,1.0917373,-0.3907043,-0.4864687,-0.0957644
2,0.83029264,0.81054735,"('unlikable', 'likable')",0.5513517,0.5579526,0.6908222,0.68425,-0.0065722
3,-0.52125156,-0.38032225,"('repellent', 'pleasant')",0.797595,0.8466349,0.1381717,0.2331563,0.0949846
4,-0.09831178,-0.11213898,"('disliked', 'liked')",-6.9641194,-7.047059,-3.5312157,-3.5795989,-0.0483832
5,-0.82636136,-0.88200057,"('distant', 'outgoing')",-0.5733919,-0.64816463,-0.6998767,-0.7650826,-0.0652059
6,-1.3352016,-1.3648409,"('distant', 'open')",-0.40445217,-0.5353445,-0.8698269,-0.9500927,-0.0802658
7,-0.77022785,-0.592492,"('insensitive', 'sensitive')",0.1149947,0.17861871,-0.3276166,-0.2069366,0.12068
8,-1.282159,-1.3638011,"('unaffectionate', 'affectionate')",0.6421774,0.53111637,-0.3199908,-0.4163424,-0.0963516
9,-1.5889217,-1.5634155,"('unaffectionate', 'caring')",0.84468687,0.78423125,-0.3721174,-0.3895921,-0.0174747
10,-1.2406771,-1.0698049,"('unsympathetic', 'sympathetic')",-0.5550902,-0.5670256,-0.8978837,-0.8184153,0.0794684
11,-0.14396054,-0.059350558,"('unhelpful', 'helpful')",1.2334905,1.365667,0.544765,0.6531582,0.1083932
12,-0.7682471,-0.52642655,"('unsupportive', 'supportive')",-2.2288568,-2.211628,-1.498552,-1.3690273,0.1295247
13,-0.5188515,-0.45039123,"('impolite', 'polite')",-1.0471494,-0.9679544,-0.7830005,-0.7091728,0.0738277
14,0.13059685,0.2497532,"('antisocial', 'social')",0.091860995,0.05941663,0.1112289,0.1545849,0.043356
15,0.21345109,0.07028101,"('boring', 'funny')",-0.077003874,-0.0751676,0.0682236,-0.0024433,-0.0706669
16,-0.0042743515,-0.031785723,"('unpopular', 'popular')",0.25702065,0.19365628,0.1263732,0.0809353,-0.0454379
17,-0.2731807,-0.21546863,"('nasty', 'nice')",-0.5137193,-0.4546961,-0.39345,-0.3350824,0.0583676
18,-0.42634773,-0.32423615,"('disagreeable', 'welcoming')",-0.47327697,-0.5772995,-0.4498124,-0.4507678,-0.0009554
19,-1.0472206,-1.0465604,"('inhospitable', 'hospitable')",-0.6331426,-0.62671024,-0.8401816,-0.8366354,0.0035462
20,0.11511512,0.15771067,"('rough', 'thoughtful')",0.87256074,0.85419446,0.4938379,0.5059526,0.0121147
21,-0.18986498,-0.094122924,"('immoral', 'moral')",-0.3681118,-0.27976006,-0.2789884,-0.1869415,0.0920469
22,-0.1984529,-0.041881755,"('untrustworthy', 'trustworthy')",-0.9729429,-0.9779851,-0.5856979,-0.5099334,0.0757645
23,-1.0324512,-0.9296277,"('insincere', 'sincere')",5.3971515,5.4013977,2.1823502,2.2358849,0.0535347
24,-0.75298214,-0.74396497,"('dishonest', 'honest')",0.31521678,0.30145878,-0.2188827,-0.2212531,-0.0023704
25,-0.33789873,-0.47520766,"('egoistic', 'altruistic')",1.3916854,1.2899688,0.5268933,0.4073806,-0.1195127
26,-0.45161557,-0.4258713,"('hardhearted', 'benevolent')",1.6366857,1.58341,0.5925351,0.5787693,-0.0137658
27,-0.48815426,-0.43203646,"('hardhearted', 'softhearted')",1.1209435,1.0259501,0.3163946,0.2969568,-0.0194378
28,-0.8023156,-0.85976136,"('disloyal', 'loyal')",1.0042793,0.92262775,0.1009818,0.0314332,-0.0695486
29,-0.22418086,-0.27038026,"('unfair', 'fair')",-0.5724042,-0.74481136,-0.3982925,-0.5075958,-0.1093033
30,0.30015787,0.37701845,"('intolerant', 'tolerant')",1.0360152,1.0447111,0.6680865,0.7108648,0.0427783
31,-0.62527186,-0.63178414,"('evil', 'good')",-0.65218014,-0.82434815,-0.638726,-0.7280661,-0.0893401
32,-0.405805,-0.37977493,"('unkind', 'kind')",0.37003148,0.2412028,-0.0178868,-0.0692861,-0.0513993
33,0.19578621,0.09449035,"('wrong', 'right')",-0.6293032,-0.6385238,-0.2167585,-0.2720167,-0.0552582
34,-0.071287714,0.097047485,"('mean', 'honorable')",5.428778,5.6066136,2.6787453,2.8518305,0.1730852
35,0.2525075,0.013020072,"('corrupt', 'incorrupt')",-0.2227918,-0.34897992,0.0148579,-0.1679799,-0.1828378
36,-0.88015527,-1.009867,"('hostile', 'amicable')",0.05165522,-0.14375103,-0.41425,-0.576809,-0.162559
37,0.18766342,0.2119662,"('fake', 'genuine')",-0.131449,-0.12346407,0.0281072,0.0442511,0.0161439
38,-0.8983649,-0.83431244,"('untruthful', 'truthful')",-0.514936,-0.446711,-0.7066504,-0.6405118,0.0661386
39,0.5991351,0.66403985,"('exploitative', 'cooperative')",0.2315505,0.29450542,0.4153428,0.4792726,0.0639298
40,0.15348992,0.124913484,"('stingy', 'generous')",-1.9963775,-2.1444583,-0.9214438,-1.0097724,-0.0883286
41,-0.3675623,-0.2170247,"('unforgiving', 'forgiving')",-0.024285587,-0.11283615,-0.1959239,-0.1649304,0.0309935
42,0.5391792,0.70894164,"('unreliable', 'reliable')",-3.5564642,-3.529388,-1.5086424,-1.4102231,0.0984193
43,-0.47886398,-0.276338,"('irresponsible', 'responsible')",0.34587547,0.38866508,-0.0664943,0.0561635,0.1226578
44,1.0365161,0.92290175,"('prejudiced', 'unprejudiced')",-1.4944886,-1.5287391,-0.2289863,-0.3029187,-0.0739324
45,-0.86354107,-0.5791232,"('incompetent', 'competent')",-0.16899484,-0.18460399,-0.516268,-0.3818636,0.1344044
46,-1.0296241,-0.8461518,"('uncompetitive', 'competitive')",-1.017847,-0.92760193,-1.0237355,-0.8868769,0.1368586
47,0.104745805,0.235858,"('stupid', 'smart')",5.5601206,5.6823063,2.8324332,2.9590821,0.1266489
48,-0.65085125,-0.585819,"('unintelligent', 'intelligent')",0.6036327,0.6570113,-0.0236093,0.0355961,0.0592054
49,-0.12613373,0.1333776,"('unable', 'able')",-0.12589493,-0.043349676,-0.1260143,0.045014,0.1710283
50,0.42416808,0.475704,"('clumsy', 'skillful')",-0.15292035,-0.23389953,0.1356239,0.1209022,-0.0147217
51,-0.61259466,-0.6658027,"('uneducated', 'educated')",-0.2443439,-0.2846618,-0.4284693,-0.4752322,-0.0467629
52,-0.03938889,-0.34963787,"('irrational', 'rational')",0.30527487,0.118081644,0.132943,-0.1157781,-0.2487211
53,-1.5073423,-1.5599744,"('uncreative', 'creative')",0.22251105,0.109750085,-0.6424156,-0.7251122,-0.0826966
54,-0.7131627,-0.88546234,"('incapable', 'capable')",0.6125128,0.63719606,-0.0503249,-0.1241331,-0.0738082
55,-0.27033135,-0.0505454,"('incompetent', 'clever')",0.18591042,0.22665626,-0.0422105,0.0880554,0.1302659
56,-0.09902922,0.07944459,"('impractical', 'practical')",-0.45830864,-0.40641123,-0.2786689,-0.1634833,0.1151856
57,-0.88695544,-0.83473533,"('unimaginative', 'imaginative')",-3.1065702,-3.0963519,-1.9967629,-1.9655436,0.0312193
58,-0.44810855,-0.37269074,"('undiscriminating', 'discriminating')",0.07940094,0.019026767,-0.1843538,-0.176832,0.0075218
