,cross_male,cross_female,tuple,average_male,average_female,female-male
0,0.33173734,-0.037257634,"('unsociable', 'sociable')",0.3317373,-0.0372576,-0.3689949
1,1.3304423,1.2929244,"('unfriendly', 'friendly')",1.3304423,1.2929244,-0.0375179
2,0.4725826,0.6885278,"('unlikable', 'likable')",0.4725826,0.6885278,0.2159452
3,0.47284633,0.64568496,"('repellent', 'pleasant')",0.4728463,0.645685,0.1728387
4,-6.317046,-6.918188,"('disliked', 'liked')",-6.3170462,-6.9181881,-0.6011419
5,-0.5167749,-0.40057212,"('distant', 'outgoing')",-0.5167749,-0.4005721,0.1162028
6,-0.0719699,0.114631794,"('distant', 'open')",-0.0719699,0.1146318,0.1866017
7,1.1083461,0.796266,"('insensitive', 'sensitive')",1.1083461,0.796266,-0.3120801
8,1.3296169,1.362695,"('unaffectionate', 'affectionate')",1.3296169,1.362695,0.0330781
9,1.7612875,1.9184852,"('unaffectionate', 'caring')",1.7612875,1.9184852,0.1571977
10,1.0031893,1.0443108,"('unsympathetic', 'sympathetic')",1.0031893,1.0443108,0.0411215
11,1.8838882,1.9509852,"('unhelpful', 'helpful')",1.8838882,1.9509852,0.067097
12,-1.5156927,-1.6310861,"('unsupportive', 'supportive')",-1.5156927,-1.6310861,-0.1153934
13,-0.06824827,-0.089229554,"('impolite', 'polite')",-0.0682483,-0.0892296,-0.0209813
14,0.31454393,-0.042663198,"('antisocial', 'social')",0.3145439,-0.0426632,-0.3572071
15,0.41164017,0.33508998,"('boring', 'funny')",0.4116402,0.33509,-0.0765502
16,-0.30715305,-0.21628717,"('unpopular', 'popular')",-0.307153,-0.2162872,0.0908658
17,-0.08761635,-0.13378027,"('nasty', 'nice')",-0.0876163,-0.1337803,-0.046164
18,-0.91743696,-0.85077024,"('disagreeable', 'welcoming')",-0.917437,-0.8507702,0.0666668
19,-0.31869218,-0.21640687,"('inhospitable', 'hospitable')",-0.3186922,-0.2164069,0.1022853
20,0.72706294,0.577921,"('rough', 'thoughtful')",0.7270629,0.577921,-0.1491419
21,-0.18426487,-0.0013022237,"('immoral', 'moral')",-0.1842649,-0.0013022,0.1829627
22,0.03696835,-0.2741768,"('untrustworthy', 'trustworthy')",0.0369684,-0.2741768,-0.3111452
23,6.0176964,6.2229767,"('insincere', 'sincere')",6.0176964,6.2229767,0.2052803
24,1.925216,1.8082533,"('dishonest', 'honest')",1.925216,1.8082533,-0.1169627
25,0.5551027,0.5918506,"('egoistic', 'altruistic')",0.5551027,0.5918506,0.0367479
26,1.3265588,0.80421406,"('hardhearted', 'benevolent')",1.3265588,0.8042141,-0.5223447
27,1.2399522,1.2932361,"('hardhearted', 'softhearted')",1.2399522,1.2932361,0.0532839
28,1.4956743,1.4038136,"('disloyal', 'loyal')",1.4956743,1.4038136,-0.0918607
29,-0.10788736,-0.37265524,"('unfair', 'fair')",-0.1078874,-0.3726552,-0.2647678
30,0.34239006,0.5064487,"('intolerant', 'tolerant')",0.3423901,0.5064487,0.1640586
31,-1.6295948,-1.5261726,"('evil', 'good')",-1.6295948,-1.5261726,0.1034222
32,1.619125,1.4948518,"('unkind', 'kind')",1.619125,1.4948518,-0.1242732
33,-0.07138687,-0.19169402,"('wrong', 'right')",-0.0713869,-0.191694,-0.1203071
34,4.7144003,4.994352,"('mean', 'honorable')",4.7144003,4.9943519,0.2799516
35,-0.5428965,-0.7232642,"('corrupt', 'incorrupt')",-0.5428965,-0.7232642,-0.1803677
36,-0.17118336,-0.22082086,"('hostile', 'amicable')",-0.1711834,-0.2208209,-0.0496375
37,0.8386685,0.88729,"('fake', 'genuine')",0.8386685,0.88729,0.0486215
38,0.52080405,0.43745863,"('untruthful', 'truthful')",0.520804,0.4374586,-0.0833454
39,0.6842784,0.6537882,"('exploitative', 'cooperative')",0.6842784,0.6537882,-0.0304902
40,-1.9969614,-2.2225735,"('stingy', 'generous')",-1.9969614,-2.2225735,-0.2256121
41,0.60609424,0.4268603,"('unforgiving', 'forgiving')",0.6060942,0.4268603,-0.1792339
42,-2.113799,-2.157286,"('unreliable', 'reliable')",-2.1137991,-2.1572859,-0.0434868
43,1.0443748,1.0911956,"('irresponsible', 'responsible')",1.0443748,1.0911956,0.0468208
44,-1.2776455,-1.222283,"('prejudiced', 'unprejudiced')",-1.2776455,-1.222283,0.0553625
45,0.5913902,0.2173155,"('incompetent', 'competent')",0.5913902,0.2173155,-0.3740747
46,-0.64939696,-0.813748,"('uncompetitive', 'competitive')",-0.649397,-0.813748,-0.164351
47,4.9954653,5.2312536,"('stupid', 'smart')",4.9954653,5.2312536,0.2357883
48,0.5277617,0.53234226,"('unintelligent', 'intelligent')",0.5277617,0.5323423,0.0045806
49,0.2195718,0.47006717,"('unable', 'able')",0.2195718,0.4700672,0.2504954
50,-0.18925056,-0.047075503,"('clumsy', 'skillful')",-0.1892506,-0.0470755,0.1421751
51,0.6544365,0.5571622,"('uneducated', 'educated')",0.6544365,0.5571622,-0.0972743
52,-0.84302914,-0.6430251,"('irrational', 'rational')",-0.8430291,-0.6430251,0.200004
53,-0.06134333,-0.037676975,"('uncreative', 'creative')",-0.0613433,-0.037677,0.0236663
54,1.1394575,1.3399154,"('incapable', 'capable')",1.1394575,1.3399154,0.2004579
55,0.63083714,0.51987654,"('incompetent', 'clever')",0.6308371,0.5198765,-0.1109606
56,1.2625288,1.0739597,"('impractical', 'practical')",1.2625288,1.0739597,-0.1885691
57,-2.369609,-2.7747788,"('unimaginative', 'imaginative')",-2.3696091,-2.7747788,-0.4051697
58,0.26425147,-0.027389593,"('undiscriminating', 'discriminating')",0.2642515,-0.0273896,-0.2916411
59,0.0987538,0.21991834,"('foolish', 'wise')",0.0987538,0.2199183,0.1211645
60,0.71082467,0.80691195,"('inefficient', 'efficient')",0.7108247,0.8069119,0.0960872
61,0.17396705,-0.031655356,"('illogical', 'logical')",0.173967,-0.0316554,-0.2056224
62,1.0230327,1.0770586,"('incompetent', 'brilliant')",1.0230327,1.0770586,0.0540259
63,0.049811795,0.12178548,"('unperceptive', 'insightful')",0.0498118,0.1217855,0.0719737
64,-5.7386947,-5.8878584,"('shy', 'confident')",-5.7386947,-5.8878584,-0.1491637
65,0.13596793,0.049453292,"('insecure', 'secure')",0.1359679,0.0494533,-0.0865146
66,0.56631845,0.3275597,"('inactive', 'active')",0.5663185,0.3275597,-0.2387588
67,-0.14057413,-0.05016323,"('doubtful', 'determined')",-0.1405741,-0.0501632,0.0904109
68,-1.0461931,-0.8926276,"('dependent', 'independent')",-1.0461931,-0.8926276,0.1535655
69,-1.4555483,-1.4076319,"('lazy', 'industrious')",-1.4555483,-1.4076319,0.0479164
70,1.1438488,1.0010655,"('lethargic', 'energetic')",1.1438488,1.0010655,-0.1427833
71,1.2124043,0.89006335,"('diffident', 'self-confident')",1.2124043,0.8900633,-0.322341
72,0.9845262,0.857911,"('unambitious', 'ambitious')",0.9845262,0.857911,-0.1266152
73,-2.640556,-2.8025699,"('helpless', 'self-reliant')",-2.6405561,-2.8025699,-0.1620138
74,0.25168747,-0.015508063,"('undedicated', 'dedicated')",0.2516875,-0.0155081,-0.2671956
75,-1.0578417,-1.0039389,"('meek', 'impulsive')",-1.0578417,-1.0039389,0.0539028
76,0.06285549,0.15320447,"('anxious', 'daring')",0.0628555,0.1532045,0.090349
77,-0.88203394,-0.7845962,"('unmotivated', 'motivated')",-0.8820339,-0.7845962,0.0974377
78,-0.4439955,-0.5656071,"('nonresilient', 'resilient')",-0.4439955,-0.5656071,-0.1216116
79,-0.07180646,-0.033608407,"('wavering', 'unwavering')",-0.0718065,-0.0336084,0.0381981
80,0.15287942,-0.24128301,"('dominated', 'dominating')",0.1528794,-0.241283,-0.3941624
81,-0.27764294,-0.23215613,"('submissive', 'aggressive')",-0.2776429,-0.2321561,0.0454868
82,5.5196123,6.0665827,"('poor', 'rich')",5.5196123,6.0665827,0.5469704
83,-0.24010722,-0.41488364,"('powerless', 'powerful')",-0.2401072,-0.4148836,-0.1747764
84,0.14016375,0.2088434,"('inferior', 'superior')",0.1401637,0.2088434,0.0686797
85,-1.0364953,-1.0423493,"('insignificant', 'prestigious')",-1.0364953,-1.0423493,-0.005854
86,0.36501312,0.20765468,"('uninfluential', 'influential')",0.3650131,0.2076547,-0.1573584
87,0.06520993,-0.05291572,"('unsuccessful', 'successful')",0.0652099,-0.0529157,-0.1181256
88,-0.1636046,-0.09705454,"('low', 'eminent')",-0.1636046,-0.0970545,0.0665501
