,academics_male,academics_female,tuple,average_male,average_female,female-male
0,0.44010413,0.481476,"('unsociable', 'sociable')",0.4401041,0.481476,0.0413719
1,0.8308453,0.79195946,"('unfriendly', 'friendly')",0.8308453,0.7919595,-0.0388858
2,0.021960739,0.19223395,"('unlikable', 'likable')",0.0219607,0.1922339,0.1702732
3,1.119301,1.2014805,"('repellent', 'pleasant')",1.119301,1.2014805,0.0821795
4,-7.0488086,-7.2650785,"('disliked', 'liked')",-7.0488086,-7.2650785,-0.2162699
5,-0.48003846,-0.50570256,"('distant', 'outgoing')",-0.4800385,-0.5057026,-0.0256641
6,-0.041305847,-0.17673986,"('distant', 'open')",-0.0413058,-0.1767399,-0.1354341
7,1.4012278,1.5085559,"('insensitive', 'sensitive')",1.4012278,1.5085559,0.1073281
8,0.90873617,0.809462,"('unaffectionate', 'affectionate')",0.9087362,0.809462,-0.0992742
9,1.1348569,1.1924295,"('unaffectionate', 'caring')",1.1348569,1.1924295,0.0575726
10,1.2662065,1.4042543,"('unsympathetic', 'sympathetic')",1.2662065,1.4042543,0.1380478
11,1.6337113,1.8161491,"('unhelpful', 'helpful')",1.6337113,1.8161491,0.1824378
12,-1.3440084,-1.2222942,"('unsupportive', 'supportive')",-1.3440084,-1.2222942,0.1217142
13,0.13021429,0.3357728,"('impolite', 'polite')",0.1302143,0.3357728,0.2055585
14,0.6067573,0.63506544,"('antisocial', 'social')",0.6067573,0.6350654,0.0283081
15,0.41954204,0.37386942,"('boring', 'funny')",0.419542,0.3738694,-0.0456726
16,-0.7522675,-0.72981185,"('unpopular', 'popular')",-0.7522675,-0.7298118,0.0224557
17,-0.17330247,-0.1464353,"('nasty', 'nice')",-0.1733025,-0.1464353,0.0268672
18,-0.38844204,-0.28360823,"('disagreeable', 'welcoming')",-0.388442,-0.2836082,0.1048338
19,-0.7777919,-0.7023397,"('inhospitable', 'hospitable')",-0.7777919,-0.7023397,0.0754522
20,0.659487,0.50115585,"('rough', 'thoughtful')",0.659487,0.5011559,-0.1583311
21,0.13472971,0.4628789,"('immoral', 'moral')",0.1347297,0.4628789,0.3281492
22,0.004260998,0.12278423,"('untrustworthy', 'trustworthy')",0.004261,0.1227842,0.1185232
23,6.0411944,6.3458476,"('insincere', 'sincere')",6.0411944,6.3458476,0.3046532
24,1.4319909,1.5556056,"('dishonest', 'honest')",1.4319909,1.5556056,0.1236147
25,0.58070225,0.53681856,"('egoistic', 'altruistic')",0.5807022,0.5368186,-0.0438836
26,0.8734074,0.5974984,"('hardhearted', 'benevolent')",0.8734074,0.5974984,-0.275909
27,1.5989975,1.3898023,"('hardhearted', 'softhearted')",1.5989975,1.3898023,-0.2091952
28,1.3200203,1.1979861,"('disloyal', 'loyal')",1.3200203,1.1979861,-0.1220342
29,-0.3079247,-0.47120854,"('unfair', 'fair')",-0.3079247,-0.4712085,-0.1632838
30,0.9456075,1.0859432,"('intolerant', 'tolerant')",0.9456075,1.0859432,0.1403357
31,-1.2570448,-1.4191854,"('evil', 'good')",-1.2570448,-1.4191854,-0.1621406
32,1.0548856,1.0113897,"('unkind', 'kind')",1.0548856,1.0113897,-0.0434959
33,-0.3429316,-0.3709355,"('wrong', 'right')",-0.3429316,-0.3709355,-0.0280039
34,4.089313,4.4681168,"('mean', 'honorable')",4.089313,4.4681168,0.3788038
35,-1.1044451,-1.4829813,"('corrupt', 'incorrupt')",-1.1044451,-1.4829813,-0.3785362
36,-0.8921491,-1.1953573,"('hostile', 'amicable')",-0.8921491,-1.1953573,-0.3032082
37,1.0935246,1.04987,"('fake', 'genuine')",1.0935246,1.04987,-0.0436546
38,-0.39709854,-0.2344975,"('untruthful', 'truthful')",-0.3970985,-0.2344975,0.162601
39,0.28938505,0.3691852,"('exploitative', 'cooperative')",0.2893851,0.3691852,0.0798001
40,-0.90314806,-0.9923196,"('stingy', 'generous')",-0.9031481,-0.9923196,-0.0891715
41,0.62263006,0.4995508,"('unforgiving', 'forgiving')",0.6226301,0.4995508,-0.1230793
42,-1.8536057,-1.8212012,"('unreliable', 'reliable')",-1.8536057,-1.8212012,0.0324045
43,1.2280955,1.4191326,"('irresponsible', 'responsible')",1.2280955,1.4191326,0.1910371
44,-1.038725,-1.2546244,"('prejudiced', 'unprejudiced')",-1.038725,-1.2546244,-0.2158994
45,0.7775715,0.64296466,"('incompetent', 'competent')",0.7775715,0.6429647,-0.1346068
46,-0.37181017,-0.2637464,"('uncompetitive', 'competitive')",-0.3718102,-0.2637464,0.1080638
47,4.60563,4.8789377,"('stupid', 'smart')",4.6056299,4.8789377,0.2733078
48,0.37699902,0.5076668,"('unintelligent', 'intelligent')",0.376999,0.5076668,0.1306678
49,-0.28460553,-0.13105518,"('unable', 'able')",-0.2846055,-0.1310552,0.1535503
50,-0.3642226,-0.3808946,"('clumsy', 'skillful')",-0.3642226,-0.3808946,-0.016672
