,micron_male,micron_female,tuple,technology_male,technology_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.1938049,-1.3462844,"('unsociable', 'sociable')",-0.1107316,-0.1743348,-0.80983275,-0.99361813,-0.7047897,-0.8380791,-0.1332894
1,-0.8664402,-1.2736787,"('unfriendly', 'friendly')",-0.19903842,-0.5252693,1.9911162,1.9485568,0.3085459,0.0498696,-0.2586763
2,0.10447818,0.18186127,"('unlikable', 'likable')",0.44723076,0.5152789,0.49885544,0.5945441,0.3501881,0.4305614,0.0803733
3,-0.44078627,-0.28886914,"('repellent', 'pleasant')",0.4149439,0.56260914,0.27964294,0.29443738,0.0846002,0.1893924,0.1047922
4,-0.25447467,-0.37855536,"('disliked', 'liked')",-0.70693797,-0.7492329,-5.816801,-5.9488287,-2.2594045,-2.3588724,-0.0994679
5,-1.605176,-1.724435,"('distant', 'outgoing')",-1.7019491,-1.7417178,-0.14770317,-0.07716382,-1.1516094,-1.1811055,-0.0294961
6,-1.7309943,-1.8673236,"('distant', 'open')",-1.8811483,-1.9588085,0.45279476,0.5405504,-1.0531159,-1.0951939,-0.042078
7,-0.21187705,-0.16227476,"('insensitive', 'sensitive')",0.50662977,0.65424854,0.9063228,0.88943964,0.4003585,0.4604712,0.0601127
8,-0.18438104,-0.3792072,"('unaffectionate', 'affectionate')",-0.049336605,-0.19134033,1.2761065,1.2404749,0.3474629,0.2233091,-0.1241538
9,-0.5489603,-0.7374819,"('unaffectionate', 'caring')",-0.15247148,-0.29492396,1.3281398,1.3189533,0.2089027,0.0955158,-0.1133869
10,-1.5799055,-1.5194409,"('unsympathetic', 'sympathetic')",-0.12983115,-0.018992625,-0.86142325,-0.92190826,-0.8570533,-0.820114,0.0369393
11,-0.39401594,-0.2926763,"('unhelpful', 'helpful')",0.69614094,0.8056015,1.3218641,1.4365965,0.5413297,0.6498406,0.1085109
12,-0.110958144,-0.072581194,"('unsupportive', 'supportive')",0.33081874,0.4425025,-1.6910366,-1.7248746,-0.490392,-0.4516511,0.0387409
13,-0.5136514,-0.5062335,"('impolite', 'polite')",0.2665046,0.31162164,-0.8108643,-0.8244149,-0.3526704,-0.3396756,0.0129948
14,0.39744017,0.44124913,"('antisocial', 'social')",1.8624164,1.9270797,-0.690779,-0.8247718,0.5230258,0.514519,-0.0085068
15,0.38960174,0.23498748,"('boring', 'funny')",-0.21792695,-0.3289373,0.7176038,0.65240866,0.2964262,0.186153,-0.1102732
16,-0.3299573,-0.34972146,"('unpopular', 'popular')",-0.65478015,-0.69131213,0.4257657,0.43001503,-0.1863239,-0.2036729,-0.017349
17,0.17529622,0.2712206,"('nasty', 'nice')",-0.5143206,-0.46370518,-0.46986896,-0.40730834,-0.2696311,-0.199931,0.0697001
18,-0.27198425,-0.24361183,"('disagreeable', 'welcoming')",-0.05694451,-0.024698302,-0.2239909,-0.21429858,-0.1843066,-0.1608696,0.023437
19,-1.2795614,-1.3371673,"('inhospitable', 'hospitable')",-1.220936,-1.2944065,0.37735337,0.4748892,-0.7077146,-0.7188948,-0.0111802
20,0.55471057,0.62532055,"('rough', 'thoughtful')",1.5633968,1.6764544,0.8176256,0.70402104,0.9785776,1.001932,0.0233544
21,-0.58453,-0.6665099,"('immoral', 'moral')",0.9570784,0.99814713,-1.0401372,-1.0407895,-0.2225296,-0.2363841,-0.0138545
22,-0.28904772,-0.24935898,"('untrustworthy', 'trustworthy')",-0.12825431,-0.09715602,-0.83585286,-0.8677385,-0.4177183,-0.4047511,0.0129672
23,-0.99345666,-0.98070836,"('insincere', 'sincere')",-0.34246406,-0.3085372,5.138954,5.1172857,1.2676778,1.2760134,0.0083356
