,avery_male,avery_female,tuple,dennison_male,dennison_female,corp_male,corp_female,average_male,average_female,female-male
0,1.6662205,1.3686885,"('unsociable', 'sociable')",0.4497807,0.14529355,-0.17593268,-0.45029455,0.6466895,0.3545625,-0.292127
1,-0.23565845,-0.29086635,"('unfriendly', 'friendly')",-0.6825964,-0.81286407,0.8868594,0.69038016,-0.0104651,-0.1377834,-0.1273183
2,0.57199085,0.585518,"('unlikable', 'likable')",0.7478309,0.742967,0.45295203,0.5314813,0.5909246,0.6199888,0.0290642
3,-0.70453024,-0.6838535,"('repellent', 'pleasant')",-0.42960155,-0.3986116,0.62076426,0.57978624,-0.1711225,-0.1675596,0.0035629
4,-1.1350533,-1.1617097,"('disliked', 'liked')",-0.057594985,0.010467734,-6.1053348,-6.0346603,-2.4326611,-2.3953007,0.0373604
5,-0.651208,-0.5609395,"('distant', 'outgoing')",-0.046772465,0.10616051,-0.38768438,-0.24749589,-0.3618883,-0.2340916,0.1277967
6,-1.0482268,-0.94337374,"('distant', 'open')",-0.48702455,-0.29143384,-0.64331573,-0.5604159,-0.7261891,-0.5984078,0.1277813
7,0.75476116,0.6629979,"('insensitive', 'sensitive')",0.16913676,0.04873869,0.1271768,0.049114265,0.3503582,0.2536169,-0.0967413
8,-0.75735354,-0.82061714,"('unaffectionate', 'affectionate')",-0.37707883,-0.3953322,0.57527804,0.53546935,-0.1863848,-0.2268266,-0.0404418
9,0.41117233,0.4646849,"('unaffectionate', 'caring')",-0.28580123,-0.28666273,1.2799311,1.252113,0.4684341,0.4767117,0.0082776
10,0.38994467,0.098013535,"('unsympathetic', 'sympathetic')",-0.48702785,-0.71326184,-0.21572894,-0.41966164,-0.1042707,-0.34497,-0.2406993
11,0.59702826,0.5667957,"('unhelpful', 'helpful')",0.09936583,-0.00792557,2.1883438,2.1442683,0.9615793,0.9010461,-0.0605332
12,1.1477864,1.1540886,"('unsupportive', 'supportive')",0.32920057,0.26715502,-1.6199605,-1.6155304,-0.0476579,-0.0647622,-0.0171043
13,2.6933901,2.5131526,"('impolite', 'polite')",0.7311395,0.51313233,-0.37373528,-0.5059807,1.0169315,0.8401014,-0.1768301
14,1.3647203,1.1570648,"('antisocial', 'social')",0.11002965,-0.08980962,-0.15795724,-0.3221424,0.4389309,0.2483709,-0.19056
15,-0.03830017,-0.124318056,"('boring', 'funny')",-0.21668135,-0.26571673,-0.48152104,-0.48303467,-0.2455008,-0.2910232,-0.0455224
16,-2.0187063,-1.9036679,"('unpopular', 'popular')",-0.6817915,-0.58939016,0.34145576,0.23573881,-0.7863474,-0.7524398,0.0339076
17,-0.94183564,-0.9559752,"('nasty', 'nice')",-0.38702327,-0.38508466,-0.6821405,-0.6300033,-0.6703331,-0.657021,0.0133121
18,-0.8973112,-1.0176375,"('disagreeable', 'welcoming')",-0.19764316,-0.2134957,-0.7898406,-0.8803435,-0.628265,-0.7038256,-0.0755606
19,-1.0288348,-0.91989267,"('inhospitable', 'hospitable')",-0.4517093,-0.38058993,-0.8972943,-0.79013276,-0.7926128,-0.6968718,0.095741
20,0.44019365,0.41306448,"('rough', 'thoughtful')",0.20956036,0.19517834,0.93082184,0.91093415,0.5268586,0.5063923,-0.0204663
21,1.5380791,1.4137063,"('immoral', 'moral')",-0.012146657,-0.24622092,-0.5588369,-0.72447443,0.3223652,0.1476703,-0.1746949
22,0.4555368,0.3562761,"('untrustworthy', 'trustworthy')",0.10687134,0.01726789,-0.91972774,-0.9656554,-0.1191065,-0.1973705,-0.078264
23,0.21530601,0.037623495,"('insincere', 'sincere')",-0.7823615,-1.015109,4.9510646,4.8004375,1.4613365,1.2743173,-0.1870192
24,1.0144833,0.9494136,"('dishonest', 'honest')",-1.1745837,-1.29163,0.4504624,0.43902108,0.0967874,0.0322682,-0.0645192
25,-0.45422667,-0.35511306,"('egoistic', 'altruistic')",-0.027318435,-0.058986653,0.89281964,0.88819265,0.1370915,0.158031,0.0209395
26,0.10672247,-0.11742216,"('hardhearted', 'benevolent')",0.09958045,-0.08831995,1.8039702,1.5908822,0.6700911,0.4617134,-0.2083777
27,0.20836353,0.17854643,"('hardhearted', 'softhearted')",-0.4192513,-0.38364103,0.75014704,0.6270956,0.1797531,0.140667,-0.0390861
28,-0.07768482,-0.19231465,"('disloyal', 'loyal')",-1.0054756,-1.1412535,0.8273167,0.7004695,-0.0852812,-0.2110329,-0.1257517
29,-1.2714268,-1.283925,"('unfair', 'fair')",-0.17597257,-0.12255387,-0.67922795,-0.7126389,-0.7088758,-0.7063726,0.0025032
30,1.33912,1.3584515,"('intolerant', 'tolerant')",0.15852468,-0.0104656,0.8761971,0.7762906,0.7912806,0.7080921,-0.0831885
