,swivel_male,swivel_female,tuple,average_male,average_female,female-male
0,-0.3098169,-0.3846537,"('unsociable', 'sociable')",-0.3098169,-0.3846537,-0.0748368
1,-1.3253837,-1.4926162,"('unfriendly', 'friendly')",-1.3253837,-1.4926162,-0.1672325
2,-0.015067959,-0.072367564,"('unlikable', 'likable')",-0.015068,-0.0723676,-0.0572996
3,-0.36916056,-0.23625669,"('repellent', 'pleasant')",-0.3691606,-0.2362567,0.1329039
4,-2.8293672,-2.9647152,"('disliked', 'liked')",-2.8293672,-2.9647152,-0.135348
5,-0.6162239,-0.57769287,"('distant', 'outgoing')",-0.6162239,-0.5776929,0.038531
6,-0.8725142,-0.8584718,"('distant', 'open')",-0.8725142,-0.8584718,0.0140424
7,-0.12453346,-0.10052273,"('insensitive', 'sensitive')",-0.1245335,-0.1005227,0.0240108
8,-1.414341,-1.5012102,"('unaffectionate', 'affectionate')",-1.414341,-1.5012102,-0.0868692
9,-1.2704772,-1.3576218,"('unaffectionate', 'caring')",-1.2704772,-1.3576218,-0.0871446
10,-0.43945554,-0.4501438,"('unsympathetic', 'sympathetic')",-0.4394555,-0.4501438,-0.0106883
11,0.6515417,0.6573584,"('unhelpful', 'helpful')",0.6515417,0.6573584,0.0058167
12,-1.9151795,-1.9158776,"('unsupportive', 'supportive')",-1.9151795,-1.9158776,-0.0006981
13,-0.6038197,-0.60988307,"('impolite', 'polite')",-0.6038197,-0.6098831,-0.0060634
14,0.74466,0.66045094,"('antisocial', 'social')",0.74466,0.6604509,-0.0842091
15,0.47119123,0.32337922,"('boring', 'funny')",0.4711912,0.3233792,-0.147812
16,-0.24526645,-0.26673365,"('unpopular', 'popular')",-0.2452665,-0.2667336,-0.0214671
17,-0.63661706,-0.6388104,"('nasty', 'nice')",-0.6366171,-0.6388104,-0.0021933
18,-1.1709723,-1.1993612,"('disagreeable', 'welcoming')",-1.1709723,-1.1993612,-0.0283889
19,-1.4697195,-1.4117421,"('inhospitable', 'hospitable')",-1.4697195,-1.4117421,0.0579774
20,0.68709123,0.66871816,"('rough', 'thoughtful')",0.6870912,0.6687182,-0.018373
21,-0.17850395,-0.07043587,"('immoral', 'moral')",-0.1785039,-0.0704359,0.108068
22,-0.07101449,-0.13751712,"('untrustworthy', 'trustworthy')",-0.0710145,-0.1375171,-0.0665026
23,1.5773008,1.6134626,"('insincere', 'sincere')",1.5773008,1.6134626,0.0361618
24,-0.6045778,-0.6940741,"('dishonest', 'honest')",-0.6045778,-0.6940741,-0.0894963
25,-0.5410571,-0.59180546,"('egoistic', 'altruistic')",-0.5410571,-0.5918055,-0.0507484
26,-0.2754639,-0.51500535,"('hardhearted', 'benevolent')",-0.2754639,-0.5150054,-0.2395415
27,0.2505677,0.15197334,"('hardhearted', 'softhearted')",0.2505677,0.1519733,-0.0985944
28,-0.31113544,-0.4338727,"('disloyal', 'loyal')",-0.3111354,-0.4338727,-0.1227373
29,0.05262385,0.019585889,"('unfair', 'fair')",0.0526238,0.0195859,-0.0330379
30,-0.19159202,-0.2116252,"('intolerant', 'tolerant')",-0.191592,-0.2116252,-0.0200332
31,-1.2744546,-1.2704101,"('evil', 'good')",-1.2744546,-1.2704101,0.0040445
32,-0.23781034,-0.34029293,"('unkind', 'kind')",-0.2378103,-0.3402929,-0.1024826
33,-0.55667025,-0.598797,"('wrong', 'right')",-0.5566702,-0.598797,-0.0421268
34,1.2017312,1.3924038,"('mean', 'honorable')",1.2017312,1.3924038,0.1906726
35,-0.30117014,-0.36636275,"('corrupt', 'incorrupt')",-0.3011701,-0.3663628,-0.0651927
36,-1.5473734,-1.5844783,"('hostile', 'amicable')",-1.5473734,-1.5844783,-0.0371049
37,-0.012414062,-0.034728624,"('fake', 'genuine')",-0.0124141,-0.0347286,-0.0223145
38,-0.60276467,-0.68629074,"('untruthful', 'truthful')",-0.6027647,-0.6862907,-0.083526
39,0.35070932,0.37435532,"('exploitative', 'cooperative')",0.3507093,0.3743553,0.023646
40,-1.9568034,-2.0337203,"('stingy', 'generous')",-1.9568034,-2.0337203,-0.0769169
41,-0.5470345,-0.6694151,"('unforgiving', 'forgiving')",-0.5470345,-0.6694151,-0.1223806
42,-0.51390237,-0.42265058,"('unreliable', 'reliable')",-0.5139024,-0.4226506,0.0912518
43,0.11830952,0.09100324,"('irresponsible', 'responsible')",0.1183095,0.0910032,-0.0273063
