,adrenaline_male,adrenaline_female,tuple,average_male,average_female,female-male
0,-0.0073007923,-0.16034058,"('unsociable', 'sociable')",-0.0073008,-0.1603406,-0.1530398
1,1.4294323,1.529325,"('unfriendly', 'friendly')",1.4294323,1.529325,0.0998927
2,0.67511725,0.80005085,"('unlikable', 'likable')",0.6751173,0.8000509,0.1249336
3,1.1028206,1.0203499,"('repellent', 'pleasant')",1.1028206,1.0203499,-0.0824707
4,-7.499042,-7.4050245,"('disliked', 'liked')",-7.499042,-7.4050245,0.0940175
5,0.11487265,0.45349988,"('distant', 'outgoing')",0.1148726,0.4534999,0.3386273
6,0.26755524,0.5396627,"('distant', 'open')",0.2675552,0.5396627,0.2721075
7,0.735239,0.883866,"('insensitive', 'sensitive')",0.735239,0.883866,0.148627
8,1.2606559,1.3828068,"('unaffectionate', 'affectionate')",1.2606559,1.3828068,0.1221509
9,1.773965,2.0326097,"('unaffectionate', 'caring')",1.773965,2.0326097,0.2586447
10,1.4258062,1.400736,"('unsympathetic', 'sympathetic')",1.4258062,1.400736,-0.0250702
11,2.236238,2.3478355,"('unhelpful', 'helpful')",2.236238,2.3478355,0.1115975
12,-1.4522088,-1.284511,"('unsupportive', 'supportive')",-1.4522088,-1.284511,0.1676978
13,0.19057167,-0.07095007,"('impolite', 'polite')",0.1905717,-0.0709501,-0.2615218
14,-0.34258643,-0.43320414,"('antisocial', 'social')",-0.3425864,-0.4332041,-0.0906177
15,0.3283152,0.35197413,"('boring', 'funny')",0.3283152,0.3519741,0.0236589
16,-0.18608332,-0.09710094,"('unpopular', 'popular')",-0.1860833,-0.0971009,0.0889824
17,-0.17432243,-0.2605843,"('nasty', 'nice')",-0.1743224,-0.2605843,-0.0862619
18,-0.61159134,-0.7135628,"('disagreeable', 'welcoming')",-0.6115913,-0.7135628,-0.1019715
19,-0.25454545,0.085748315,"('inhospitable', 'hospitable')",-0.2545455,0.0857483,0.3402938
