,redirect_male,redirect_female,tuple,average_male,average_female,female-male
0,-1.035857,-1.1875693,"('unsociable', 'sociable')",-1.035857,-1.1875693,-0.1517123
1,-1.0285176,-1.1556907,"('unfriendly', 'friendly')",-1.0285176,-1.1556907,-0.1271731
2,-0.14171517,-0.2024143,"('unlikable', 'likable')",-0.1417152,-0.2024143,-0.0606991
3,-0.3349156,-0.19986406,"('repellent', 'pleasant')",-0.3349156,-0.1998641,0.1350515
4,-2.3211567,-2.38413,"('disliked', 'liked')",-2.3211567,-2.38413,-0.0629733
5,-0.5237448,-0.54748243,"('distant', 'outgoing')",-0.5237448,-0.5474824,-0.0237376
6,-0.90725887,-0.9611905,"('distant', 'open')",-0.9072589,-0.9611905,-0.0539316
7,-0.23712756,-0.048563786,"('insensitive', 'sensitive')",-0.2371276,-0.0485638,0.1885638
8,-2.2787938,-2.292256,"('unaffectionate', 'affectionate')",-2.2787938,-2.2922561,-0.0134623
9,-2.051468,-2.0012972,"('unaffectionate', 'caring')",-2.0514679,-2.0012972,0.0501707
10,-0.6980896,-0.67318374,"('unsympathetic', 'sympathetic')",-0.6980896,-0.6731837,0.0249059
11,1.4539727,1.5147119,"('unhelpful', 'helpful')",1.4539727,1.5147119,0.0607392
12,-1.4913604,-1.3605322,"('unsupportive', 'supportive')",-1.4913604,-1.3605322,0.1308282
13,-0.6881371,-0.7841587,"('impolite', 'polite')",-0.6881371,-0.7841587,-0.0960216
14,-0.22700264,-0.29157373,"('antisocial', 'social')",-0.2270026,-0.2915737,-0.0645711
15,0.009253509,-0.15591583,"('boring', 'funny')",0.0092535,-0.1559158,-0.1651693
16,-0.9778564,-0.93129253,"('unpopular', 'popular')",-0.9778564,-0.9312925,0.0465639
17,-0.5027763,-0.45996952,"('nasty', 'nice')",-0.5027763,-0.4599695,0.0428068
18,-0.7410276,-0.6955126,"('disagreeable', 'welcoming')",-0.7410276,-0.6955126,0.045515
19,-1.3744991,-1.3373002,"('inhospitable', 'hospitable')",-1.3744991,-1.3373002,0.0371989
20,0.8273595,0.8237365,"('rough', 'thoughtful')",0.8273595,0.8237365,-0.003623
21,0.07334417,0.106636144,"('immoral', 'moral')",0.0733442,0.1066361,0.0332919
22,-0.21308647,-0.3599279,"('untrustworthy', 'trustworthy')",-0.2130865,-0.3599279,-0.1468414
23,1.4174823,1.4887757,"('insincere', 'sincere')",1.4174823,1.4887757,0.0712934
24,-0.53259397,-0.61084384,"('dishonest', 'honest')",-0.532594,-0.6108438,-0.0782498
25,0.055977687,0.015493319,"('egoistic', 'altruistic')",0.0559777,0.0154933,-0.0404844
26,-0.03690029,-0.29957527,"('hardhearted', 'benevolent')",-0.0369003,-0.2995753,-0.262675
27,-0.6258268,-0.6507613,"('hardhearted', 'softhearted')",-0.6258268,-0.6507613,-0.0249345
28,0.036621276,0.10824885,"('disloyal', 'loyal')",0.0366213,0.1082489,0.0716276
29,-0.007944765,-0.08859691,"('unfair', 'fair')",-0.0079448,-0.0885969,-0.0806521
30,0.17202912,0.071320035,"('intolerant', 'tolerant')",0.1720291,0.07132,-0.1007091
31,-1.8991126,-2.0376155,"('evil', 'good')",-1.8991126,-2.0376155,-0.1385029
32,-0.22973084,-0.2638415,"('unkind', 'kind')",-0.2297308,-0.2638415,-0.0341107
33,0.18047205,0.16933832,"('wrong', 'right')",0.180472,0.1693383,-0.0111337
34,1.8710976,1.9943844,"('mean', 'honorable')",1.8710976,1.9943844,0.1232868
35,0.1857611,0.13415234,"('corrupt', 'incorrupt')",0.1857611,0.1341523,-0.0516088
36,-1.2646589,-1.3709948,"('hostile', 'amicable')",-1.2646589,-1.3709948,-0.1063359
37,-0.51470745,-0.44994316,"('fake', 'genuine')",-0.5147074,-0.4499432,0.0647642
38,0.00894592,0.011128612,"('untruthful', 'truthful')",0.0089459,0.0111286,0.0021827
39,0.58651215,0.65427375,"('exploitative', 'cooperative')",0.5865121,0.6542737,0.0677616
40,-1.6796999,-1.6731455,"('stingy', 'generous')",-1.6796999,-1.6731455,0.0065544
41,-0.0674609,-0.13911384,"('unforgiving', 'forgiving')",-0.0674609,-0.1391138,-0.0716529
42,-0.46007866,-0.45618552,"('unreliable', 'reliable')",-0.4600787,-0.4561855,0.0038932
