,dollar_male,dollar_female,tuple,average_male,average_female,female-male
0,0.5811966,0.40681887,"('unsociable', 'sociable')",0.5811966,0.4068189,-0.1743777
1,1.2361861,1.2502614,"('unfriendly', 'friendly')",1.2361861,1.2502614,0.0140753
2,0.6529652,0.78186196,"('unlikable', 'likable')",0.6529652,0.781862,0.1288968
3,0.78208435,0.92116135,"('repellent', 'pleasant')",0.7820843,0.9211614,0.1390771
4,-7.618631,-7.298246,"('disliked', 'liked')",-7.6186309,-7.2982459,0.320385
5,-0.61615056,-0.39672837,"('distant', 'outgoing')",-0.6161506,-0.3967284,0.2194222
6,-0.24400145,-0.027954936,"('distant', 'open')",-0.2440014,-0.0279549,0.2160465
7,1.1578937,1.2702607,"('insensitive', 'sensitive')",1.1578937,1.2702607,0.112367
8,1.0238163,1.0250335,"('unaffectionate', 'affectionate')",1.0238163,1.0250335,0.0012172
9,1.7917124,1.9297433,"('unaffectionate', 'caring')",1.7917124,1.9297433,0.1380309
10,1.8127091,1.9056314,"('unsympathetic', 'sympathetic')",1.8127091,1.9056314,0.0929223
11,2.5365891,2.6014824,"('unhelpful', 'helpful')",2.5365891,2.6014824,0.0648933
12,-1.2208284,-1.0799762,"('unsupportive', 'supportive')",-1.2208284,-1.0799762,0.1408522
13,0.93201894,0.7673508,"('impolite', 'polite')",0.9320189,0.7673508,-0.1646681
14,0.1016263,0.06873563,"('antisocial', 'social')",0.1016263,0.0687356,-0.0328907
15,0.7249775,0.73824245,"('boring', 'funny')",0.7249775,0.7382424,0.0132649
16,-0.4387389,-0.32577592,"('unpopular', 'popular')",-0.4387389,-0.3257759,0.112963
17,-0.20978045,-0.22115968,"('nasty', 'nice')",-0.2097805,-0.2211597,-0.0113792
18,-0.96328896,-0.9427972,"('disagreeable', 'welcoming')",-0.963289,-0.9427972,0.0204918
19,-0.32732025,-0.21931514,"('inhospitable', 'hospitable')",-0.3273202,-0.2193151,0.1080051
20,0.84187603,0.7053745,"('rough', 'thoughtful')",0.841876,0.7053745,-0.1365015
21,0.5290686,0.712539,"('immoral', 'moral')",0.5290686,0.712539,0.1834704
