,abercrombie_male,abercrombie_female,tuple,&_male,&_female,fitch_male,fitch_female,co_male,co_female,average_male,average_female,female-male
0,-2.1555882,-2.360886,"('unsociable', 'sociable')",-0.73126936,-0.9234766,-0.5037801,-0.61152637,0.2204501,0.085801765,-0.7925469,-0.9525219,-0.159975
1,-1.0545079,-1.1785307,"('unfriendly', 'friendly')",-0.24501252,-0.34315023,2.066606,1.8799323,1.6310918,1.4602104,0.5995444,0.4546154,-0.144929
2,0.22711979,0.19645174,"('unlikable', 'likable')",0.9583836,0.9123569,0.7446702,0.6635538,0.7300825,0.82177806,0.665064,0.6485351,-0.0165289
3,-1.6080508,-1.6360672,"('repellent', 'pleasant')",-0.7876567,-0.8245189,-0.48495337,-0.4637896,0.33747363,0.4247628,-0.6357968,-0.6249033,0.0108935
4,0.95558167,0.9916177,"('disliked', 'liked')",1.1318892,1.2141383,1.3026116,1.3026809,-6.53749,-6.534643,-0.7868518,-0.7565516,0.0303002
5,1.833682,1.9194894,"('distant', 'outgoing')",1.130667,1.2771338,3.4791718,3.4684224,-0.2832164,-0.2669155,1.540076,1.5995326,0.0594566
6,1.811976,1.8887267,"('distant', 'open')",1.3127849,1.4634335,2.8622224,2.7950413,-0.08209689,-0.101926625,1.4762216,1.5113187,0.0350971
7,-1.7134943,-1.8183019,"('insensitive', 'sensitive')",-1.6250176,-1.7191514,-0.36763462,-0.37322396,0.25873843,0.27585948,-0.861852,-0.9087044,-0.0468524
8,-0.8285834,-0.87223095,"('unaffectionate', 'affectionate')",-0.29120943,-0.3422201,1.4061673,1.335261,0.47828174,0.32116273,0.191164,0.1104932,-0.0806708
9,-0.9622832,-1.0455214,"('unaffectionate', 'caring')",-0.59070015,-0.686475,2.0565648,1.9550593,1.176417,1.084681,0.4199996,0.326936,-0.0930636
10,-3.4461837,-3.6447818,"('unsympathetic', 'sympathetic')",-2.1887498,-2.4190207,-1.4914242,-1.5572395,0.19382416,0.0661816,-1.7331333,-1.8887151,-0.1555818
11,-1.8976618,-2.0240333,"('unhelpful', 'helpful')",-2.366316,-2.4774349,-0.9459784,-0.9133705,2.170857,2.158082,-0.7597748,-0.8141892,-0.0544144
12,-1.1651338,-1.2646155,"('unsupportive', 'supportive')",-0.34594092,-0.4344863,1.4441156,1.3903202,-1.5957658,-1.5614493,-0.4156812,-0.4675577,-0.0518765
13,-1.6350257,-1.7258105,"('impolite', 'polite')",-1.3595089,-1.4646803,-0.42909518,-0.45103335,0.21467718,0.19565602,-0.8022382,-0.861467,-0.0592288
14,-1.8706673,-1.9632196,"('antisocial', 'social')",-1.209625,-1.2925901,-2.7667682,-2.7735047,-0.45276612,-0.455861,-1.5749565,-1.6212939,-0.0463374
15,0.21971092,0.23436339,"('boring', 'funny')",0.63171643,0.71058863,0.5277184,0.5098975,0.8452084,0.8593755,0.5560886,0.5785562,0.0224676
16,0.86308765,0.9388074,"('unpopular', 'popular')",0.7469435,0.8372757,-0.7209428,-0.6772325,0.09101444,0.05218347,0.2450257,0.2877585,0.0427328
17,0.66930103,0.71504825,"('nasty', 'nice')",0.9090573,0.9982888,1.1910177,1.2348928,0.0012871446,0.051929623,0.6926659,0.7500399,0.057374
18,-0.22295159,-0.25586736,"('disagreeable', 'welcoming')",0.35929647,0.38803706,-0.9711652,-1.1490469,-1.2340893,-1.3106099,-0.5172274,-0.5818717,-0.0646443
19,0.19296353,0.2765119,"('inhospitable', 'hospitable')",-0.17045477,-0.06813749,2.048645,2.0465543,-0.12745649,-0.17243001,0.4859244,0.5206247,0.0347003
20,-0.36271828,-0.4178059,"('rough', 'thoughtful')",0.7646448,0.70956427,-0.1670801,-0.16782188,0.5787705,0.6045089,0.2034042,0.1821113,-0.0212929
21,-1.9197291,-2.031766,"('immoral', 'moral')",-1.0932993,-1.1886916,-1.7359626,-1.7111384,-0.6666481,-0.6070062,-1.3539097,-1.3846505,-0.0307408
22,-1.5418448,-1.621475,"('untrustworthy', 'trustworthy')",-1.2086728,-1.2559116,-1.1333407,-1.1661999,-0.8667716,-0.8439817,-1.1876575,-1.2218921,-0.0342346
