,prejudice_male,prejudice_female,tuple,average_male,average_female,female-male
0,0.40212595,0.3679058,"('unsociable', 'sociable')",0.402126,0.3679058,-0.0342202
1,0.45760912,0.5236746,"('unfriendly', 'friendly')",0.4576091,0.5236746,0.0660655
2,0.18133,0.31557673,"('unlikable', 'likable')",0.18133,0.3155767,0.1342467
3,0.7815045,0.9436131,"('repellent', 'pleasant')",0.7815045,0.9436131,0.1621086
4,-7.485051,-7.3512034,"('disliked', 'liked')",-7.4850512,-7.3512034,0.1338478
5,-1.1035514,-0.94184154,"('distant', 'outgoing')",-1.1035514,-0.9418415,0.1617099
6,-0.6537033,-0.5970184,"('distant', 'open')",-0.6537033,-0.5970184,0.0566849
7,1.5877278,1.602635,"('insensitive', 'sensitive')",1.5877278,1.602635,0.0149072
8,0.6570447,0.5195507,"('unaffectionate', 'affectionate')",0.6570447,0.5195507,-0.137494
9,0.9175099,0.87604314,"('unaffectionate', 'caring')",0.9175099,0.8760431,-0.0414668
10,2.2982075,2.1163852,"('unsympathetic', 'sympathetic')",2.2982075,2.1163852,-0.1818223
11,2.1636083,2.1165373,"('unhelpful', 'helpful')",2.1636083,2.1165373,-0.047071
12,-1.1265527,-1.066746,"('unsupportive', 'supportive')",-1.1265527,-1.066746,0.0598067
13,0.5030143,0.5184318,"('impolite', 'polite')",0.5030143,0.5184318,0.0154175
14,0.35959446,0.40248987,"('antisocial', 'social')",0.3595945,0.4024899,0.0428954
15,0.026229057,0.040871434,"('boring', 'funny')",0.0262291,0.0408714,0.0146423
16,-0.91934764,-0.75881565,"('unpopular', 'popular')",-0.9193476,-0.7588156,0.160532
17,0.051176593,-0.046604965,"('nasty', 'nice')",0.0511766,-0.046605,-0.0977816
18,-0.6385937,-0.50348234,"('disagreeable', 'welcoming')",-0.6385937,-0.5034823,0.1351114
19,-0.6923942,-0.7078191,"('inhospitable', 'hospitable')",-0.6923942,-0.7078191,-0.0154249
20,0.84580714,0.7053882,"('rough', 'thoughtful')",0.8458071,0.7053882,-0.1404189
