,monsanto_male,monsanto_female,tuple,co_male,co_female,average_male,average_female,female-male
0,-0.7683649,-0.81436527,"('unsociable', 'sociable')",-0.44319302,-0.45887846,-0.6057789,-0.6366218,-0.0308429
1,0.31612486,-0.05326838,"('unfriendly', 'friendly')",2.030029,1.8692197,1.173077,0.9079756,-0.2651014
2,-0.12145081,-0.112745665,"('unlikable', 'likable')",0.6355131,0.80739075,0.2570311,0.3473226,0.0902915
3,-1.7656032,-1.7503467,"('repellent', 'pleasant')",0.60497314,0.70283735,-0.580315,-0.5237547,0.0565603
4,-0.05899254,-0.094664715,"('disliked', 'liked')",-7.7387557,-7.80532,-3.898874,-3.9499922,-0.0511182
5,0.6251831,0.48954776,"('distant', 'outgoing')",0.12897518,0.108774126,0.3770791,0.299161,-0.0779181
6,0.23968011,0.07274149,"('distant', 'open')",0.3834836,0.34450147,0.3115819,0.2086215,-0.1029604
7,-0.9696817,-0.94781286,"('insensitive', 'sensitive')",0.08446619,0.14362088,-0.4426078,-0.402096,0.0405118
8,-0.06576407,-0.31367224,"('unaffectionate', 'affectionate')",1.1142579,0.9924895,0.5242469,0.3394086,-0.1848383
9,-0.11396383,-0.2860757,"('unaffectionate', 'caring')",1.3107102,1.2530107,0.5983732,0.4834675,-0.1149057
10,-1.4790903,-1.5062529,"('unsympathetic', 'sympathetic')",-0.44653153,-0.39560628,-0.9628109,-0.9509296,0.0118813
11,-0.5344537,-0.4576262,"('unhelpful', 'helpful')",1.2837334,1.4233329,0.3746398,0.4828534,0.1082136
12,-0.40406898,-0.3945084,"('unsupportive', 'supportive')",-2.332643,-2.2612982,-1.368356,-1.3279033,0.0404527
13,-1.1047925,-1.0489423,"('impolite', 'polite')",-0.44455805,-0.3676862,-0.7746753,-0.7083143,0.066361
14,-1.0958779,-1.079859,"('antisocial', 'social')",-0.30334127,-0.35586435,-0.6996096,-0.7178617,-0.0182521
15,0.2883037,0.24584164,"('boring', 'funny')",0.5652683,0.54626954,0.426786,0.3960556,-0.0307304
16,-0.35636938,-0.32051784,"('unpopular', 'popular')",0.23279598,0.26022744,-0.0617867,-0.0301452,0.0316415
17,-0.52495885,-0.45511323,"('nasty', 'nice')",0.028413506,0.0011284109,-0.2482727,-0.2269924,0.0212803
18,-0.68357474,-0.66525847,"('disagreeable', 'welcoming')",-0.61741275,-0.7030515,-0.6504937,-0.684155,-0.0336613
19,-0.5541043,-0.6859092,"('inhospitable', 'hospitable')",0.039215207,0.109464094,-0.2574446,-0.2882226,-0.030778
20,0.14520347,0.122172564,"('rough', 'thoughtful')",0.5016691,0.40088686,0.3234363,0.2615297,-0.0619066
21,-0.44755083,-0.41528028,"('immoral', 'moral')",-1.0727973,-0.9103081,-0.760174,-0.6627942,0.0973798
22,-1.1187155,-1.1587342,"('untrustworthy', 'trustworthy')",-0.87746024,-0.9143869,-0.9980879,-1.0365605,-0.0384726
23,-0.47589245,-0.52798724,"('insincere', 'sincere')",6.2625184,6.2639637,2.8933129,2.8679881,-0.0253248
24,-0.41354936,-0.42978632,"('dishonest', 'honest')",0.970826,0.8595119,0.2786383,0.2148628,-0.0637755
25,0.47194964,0.42498514,"('egoistic', 'altruistic')",1.6458303,1.5418093,1.05889,0.9833972,-0.0754928
26,1.0560503,0.785413,"('hardhearted', 'benevolent')",1.6836038,1.5813262,1.369827,1.1833696,-0.1864574
27,-0.5821487,-0.65554565,"('hardhearted', 'softhearted')",1.4224927,1.239795,0.420172,0.2921247,-0.1280473
