,jpmorgan_male,jpmorgan_female,tuple,chase_male,chase_female,&_male,&_female,co_male,co_female,average_male,average_female,female-male
0,-2.4144719,-2.6041198,"('unsociable', 'sociable')",-0.8390905,-0.9323848,-0.44568986,-0.5168635,-0.97505724,-1.0834788,-1.1685774,-1.2842118,-0.1156344
1,0.6125853,0.5296975,"('unfriendly', 'friendly')",1.9764351,1.9673122,1.618647,1.600025,1.2958918,1.1360264,1.3758898,1.3082653,-0.0676245
2,1.0621839,1.1191708,"('unlikable', 'likable')",1.489214,1.5831946,1.8551447,1.9080979,0.823176,0.93087596,1.3074297,1.3853347,0.077905
3,-1.7443181,-1.7247952,"('repellent', 'pleasant')",-1.6258974,-1.5177459,-1.0410757,-1.0360575,0.36657274,0.29131192,-1.0111796,-0.9968217,0.0143579
4,0.32524765,0.30258515,"('disliked', 'liked')",-0.163828,-0.18234855,0.48375687,0.42731747,-5.1318007,-4.895586,-1.1216561,-1.087008,0.0346481
5,2.2910504,2.3487177,"('distant', 'outgoing')",2.320132,2.3227406,1.5751349,1.6191579,0.73815167,0.8404961,1.7311171,1.782778,0.0516609
6,1.8085507,1.8797619,"('distant', 'open')",1.6914804,1.6739578,1.4061275,1.4513068,0.6750914,0.68189156,1.3953124,1.4217296,0.0264172
7,-1.2376801,-1.2878715,"('insensitive', 'sensitive')",-0.2645238,-0.24882351,-1.0276763,-1.0374193,-0.8449618,-0.85317874,-0.8437105,-0.8568233,-0.0131128
8,0.87420213,0.7998016,"('unaffectionate', 'affectionate')",2.2417955,2.1664598,1.1803286,1.1730072,0.95040524,0.8193419,1.3116829,1.2396526,-0.0720303
9,0.3988719,0.31114626,"('unaffectionate', 'caring')",1.7536496,1.7009379,0.7620951,0.76171184,1.0026953,0.9073601,0.979328,0.920289,-0.059039
10,-3.6021707,-3.6756384,"('unsympathetic', 'sympathetic')",-1.4117081,-1.3881755,-1.4478797,-1.4670155,-1.1885916,-1.2521107,-1.9125875,-1.945735,-0.0331475
