,american_male,american_female,tuple,water_male,water_female,works_male,works_female,co_male,co_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.07293419,-0.13421337,"('unsociable', 'sociable')",0.31495184,0.3614045,0.4908055,0.517742,-0.08556002,-0.18839577,-0.7692195,-0.83583593,-0.0243913,-0.0558597,-0.0314684
1,-1.0558876,-0.98249626,"('unfriendly', 'friendly')",0.38267332,0.532045,-0.9324822,-0.8169744,-0.87289715,-0.87959415,2.1658998,2.03951,-0.0625388,-0.021502,0.0410368
2,0.4432076,0.48904905,"('unlikable', 'likable')",-0.13275136,-0.13793167,0.21661408,0.22112021,1.1794467,1.2567556,0.91199243,0.9421385,0.5237019,0.5542264,0.0305245
3,-0.3275801,-0.22755039,"('repellent', 'pleasant')",-0.9670094,-0.8596631,0.16577846,0.28452942,0.5983986,0.64961195,0.122593336,0.12084673,-0.0815638,-0.0064451,0.0751187
4,-0.29116008,-0.3366911,"('disliked', 'liked')",0.63809854,0.5468659,0.11899918,0.1046914,-0.15091562,-0.27343154,-6.570817,-6.6670837,-1.251159,-1.3251298,-0.0739708
5,-1.2267511,-1.1704105,"('distant', 'outgoing')",0.75568014,0.7567213,-1.2805156,-1.2084101,-1.116938,-1.0352067,-0.24042305,-0.2307742,-0.6217895,-0.5776161,0.0441734
6,-1.0380915,-0.8705914,"('distant', 'open')",0.38256365,0.41936803,-1.5983006,-1.4825561,-1.3280478,-1.1999348,0.55212283,0.57285196,-0.6059507,-0.5121725,0.0937782
7,0.63833463,0.698008,"('insensitive', 'sensitive')",0.6463351,0.821772,0.28704858,0.43701097,-0.8736079,-0.888596,0.66422576,0.67242056,0.2724672,0.3481231,0.0756559
8,-0.78830856,-0.700835,"('unaffectionate', 'affectionate')",-0.17900217,-0.1823625,-1.8477422,-1.8255962,-1.7654,-1.7734588,0.8729796,0.7991069,-0.7414947,-0.7366292,0.0048655
9,-0.15581554,-0.06906165,"('unaffectionate', 'caring')",0.5474731,0.6125582,-0.8559174,-0.76238847,-1.3101021,-1.3175179,1.523454,1.4985414,-0.0501816,-0.0075737,0.0426079
10,1.0576391,1.1803155,"('unsympathetic', 'sympathetic')",-0.41056666,-0.24829546,-0.53384954,-0.43472284,-1.2923099,-1.3072408,-0.6733907,-0.59588635,-0.3704955,-0.281166,0.0893295
