,working_male,working_female,tuple,average_male,average_female,female-male
0,2.284046,1.767024,"('unsociable', 'sociable')",2.2840459,1.767024,-0.5170219
1,-0.08434036,0.11566739,"('unfriendly', 'friendly')",-0.0843404,0.1156674,0.2000078
2,1.3733714,1.2591525,"('unlikable', 'likable')",1.3733714,1.2591525,-0.1142189
3,1.459997,1.4362743,"('repellent', 'pleasant')",1.4599971,1.4362743,-0.0237228
4,0.60309696,0.7666887,"('disliked', 'liked')",0.603097,0.7666887,0.1635917
5,-1.0323071,-0.5053776,"('distant', 'outgoing')",-1.0323071,-0.5053776,0.5269295
6,-1.5686133,-0.8817057,"('distant', 'open')",-1.5686133,-0.8817057,0.6869076
7,2.0253532,1.8468664,"('insensitive', 'sensitive')",2.0253532,1.8468664,-0.1784868
8,-0.95332956,-0.6657539,"('unaffectionate', 'affectionate')",-0.9533296,-0.6657539,0.2875757
9,1.0507063,1.2798613,"('unaffectionate', 'caring')",1.0507063,1.2798613,0.229155
10,2.3780177,2.1600683,"('unsympathetic', 'sympathetic')",2.3780177,2.1600683,-0.2179494
11,2.129889,1.8039359,"('unhelpful', 'helpful')",2.129889,1.8039359,-0.3259531
12,1.1217886,1.4541116,"('unsupportive', 'supportive')",1.1217886,1.4541116,0.332323
13,1.365872,1.0600073,"('impolite', 'polite')",1.365872,1.0600073,-0.3058647
14,1.4002714,1.2477233,"('antisocial', 'social')",1.4002714,1.2477233,-0.1525481
15,-0.8780468,-1.2905196,"('boring', 'funny')",-0.8780468,-1.2905196,-0.4124728
16,1.1367949,1.4433016,"('unpopular', 'popular')",1.1367949,1.4433016,0.3065067
17,0.49461097,0.65119106,"('nasty', 'nice')",0.494611,0.6511911,0.1565801
18,0.046688087,0.2515507,"('disagreeable', 'welcoming')",0.0466881,0.2515507,0.2048626
19,-0.14223881,0.0218822,"('inhospitable', 'hospitable')",-0.1422388,0.0218822,0.164121
20,0.5145291,0.44667488,"('rough', 'thoughtful')",0.5145291,0.4466749,-0.0678542
21,1.9641874,1.4573382,"('immoral', 'moral')",1.9641874,1.4573382,-0.5068492
22,0.44204685,0.36254728,"('untrustworthy', 'trustworthy')",0.4420469,0.3625473,-0.0794996
23,2.351867,2.1204739,"('insincere', 'sincere')",2.351867,2.1204739,-0.2313931
24,0.87978745,0.89664227,"('dishonest', 'honest')",0.8797874,0.8966423,0.0168549
25,0.39099687,0.3713988,"('egoistic', 'altruistic')",0.3909969,0.3713988,-0.0195981
26,-0.8549175,-0.78353155,"('hardhearted', 'benevolent')",-0.8549175,-0.7835315,0.071386
27,-0.82529306,-0.06893607,"('hardhearted', 'softhearted')",-0.8252931,-0.0689361,0.756357
28,0.3369863,0.010826442,"('disloyal', 'loyal')",0.3369863,0.0108264,-0.3261599
29,-0.74344707,-0.5792835,"('unfair', 'fair')",-0.7434471,-0.5792835,0.1641636
30,1.7351384,1.6325171,"('intolerant', 'tolerant')",1.7351384,1.6325171,-0.1026213
31,-1.9724098,-1.6503923,"('evil', 'good')",-1.9724098,-1.6503923,0.3220175
32,2.1910968,2.2731097,"('unkind', 'kind')",2.1910968,2.2731097,0.0820129
33,-1.2465761,-0.8420234,"('wrong', 'right')",-1.2465761,-0.8420234,0.4045527
34,1.1017098,0.87890065,"('mean', 'honorable')",1.1017098,0.8789006,-0.2228092
35,-3.3661215,-3.057036,"('corrupt', 'incorrupt')",-3.3661215,-3.0570359,0.3090856
36,-2.1953943,-1.7985667,"('hostile', 'amicable')",-2.1953943,-1.7985667,0.3968276
37,-0.25550044,-0.42193818,"('fake', 'genuine')",-0.2555004,-0.4219382,-0.1664378
38,0.596922,0.822867,"('untruthful', 'truthful')",0.596922,0.822867,0.225945
39,-0.0865734,0.100786775,"('exploitative', 'cooperative')",-0.0865734,0.1007868,0.1873602
40,0.008138329,-0.08953674,"('stingy', 'generous')",0.0081383,-0.0895367,-0.097675
41,0.55870885,0.54395807,"('unforgiving', 'forgiving')",0.5587088,0.5439581,-0.0147507
42,0.8899058,0.9678384,"('unreliable', 'reliable')",0.8899058,0.9678384,0.0779326
43,1.8304976,1.7557224,"('irresponsible', 'responsible')",1.8304976,1.7557224,-0.0747752
44,-1.7949249,-1.6542094,"('prejudiced', 'unprejudiced')",-1.7949249,-1.6542094,0.1407155
45,1.3666695,1.2885066,"('incompetent', 'competent')",1.3666695,1.2885066,-0.0781629
46,2.2855265,2.1040595,"('uncompetitive', 'competitive')",2.2855265,2.1040595,-0.181467
47,1.6893508,1.5315701,"('stupid', 'smart')",1.6893508,1.5315701,-0.1577807
48,0.63880014,0.23572573,"('unintelligent', 'intelligent')",0.6388001,0.2357257,-0.4030744
49,0.57823586,0.96975964,"('unable', 'able')",0.5782359,0.9697596,0.3915237
50,0.86092985,0.987601,"('clumsy', 'skillful')",0.8609298,0.987601,0.1266712
51,1.2156825,0.73241264,"('uneducated', 'educated')",1.2156825,0.7324126,-0.4832699
52,-1.1529384,-1.0946119,"('irrational', 'rational')",-1.1529384,-1.0946119,0.0583265
53,0.28523952,0.38615397,"('uncreative', 'creative')",0.2852395,0.386154,0.1009145
54,0.19081323,0.22231057,"('incapable', 'capable')",0.1908132,0.2223106,0.0314974
55,1.0893673,0.7385154,"('incompetent', 'clever')",1.0893673,0.7385154,-0.3508519
56,2.6117756,2.4080482,"('impractical', 'practical')",2.6117756,2.4080482,-0.2037274
57,1.0797824,0.8341464,"('unimaginative', 'imaginative')",1.0797824,0.8341464,-0.245636
58,1.4589019,1.2629334,"('undiscriminating', 'discriminating')",1.4589019,1.2629334,-0.1959685
59,0.18123165,0.24051327,"('foolish', 'wise')",0.1812316,0.2405133,0.0592817
60,2.708461,2.544,"('inefficient', 'efficient')",2.708461,2.5439999,-0.1644611
