,generosity_male,generosity_female,tuple,average_male,average_female,female-male
0,0.124632716,-0.2173138,"('unsociable', 'sociable')",0.1246327,-0.2173138,-0.3419465
1,1.5294818,1.5617187,"('unfriendly', 'friendly')",1.5294818,1.5617187,0.0322369
2,0.27579004,0.43175226,"('unlikable', 'likable')",0.27579,0.4317523,0.1559623
3,0.66154164,0.6182772,"('repellent', 'pleasant')",0.6615416,0.6182772,-0.0432644
4,-7.6088104,-7.557599,"('disliked', 'liked')",-7.6088104,-7.5575991,0.0512113
5,-0.6539002,-0.39512917,"('distant', 'outgoing')",-0.6539002,-0.3951292,0.258771
6,-0.21549228,0.051592417,"('distant', 'open')",-0.2154923,0.0515924,0.2670847
7,0.7094155,0.66716117,"('insensitive', 'sensitive')",0.7094155,0.6671612,-0.0422543
8,1.2254202,1.3364984,"('unaffectionate', 'affectionate')",1.2254202,1.3364984,0.1110782
9,1.9083441,2.055056,"('unaffectionate', 'caring')",1.9083441,2.0550561,0.146712
10,1.1127285,1.0096364,"('unsympathetic', 'sympathetic')",1.1127285,1.0096364,-0.1030921
11,2.1496704,2.1964173,"('unhelpful', 'helpful')",2.1496704,2.1964173,0.0467469
12,-1.6257132,-1.6358924,"('unsupportive', 'supportive')",-1.6257132,-1.6358924,-0.0101792
13,0.4079008,0.19232616,"('impolite', 'polite')",0.4079008,0.1923262,-0.2155746
14,-0.2104885,-0.5164251,"('antisocial', 'social')",-0.2104885,-0.5164251,-0.3059366
15,0.30852014,0.31433707,"('boring', 'funny')",0.3085201,0.3143371,0.005817
16,-0.48710126,-0.45312327,"('unpopular', 'popular')",-0.4871013,-0.4531233,0.033978
17,-0.0327166,-0.035688274,"('nasty', 'nice')",-0.0327166,-0.0356883,-0.0029717
18,-0.5332003,-0.57173574,"('disagreeable', 'welcoming')",-0.5332003,-0.5717357,-0.0385354
19,-0.82661414,-0.6096681,"('inhospitable', 'hospitable')",-0.8266141,-0.6096681,0.216946
20,1.0324317,0.84357554,"('rough', 'thoughtful')",1.0324317,0.8435755,-0.1888562
21,-0.05816956,-0.11243857,"('immoral', 'moral')",-0.0581696,-0.1124386,-0.054269
22,-0.5507015,-0.62753975,"('untrustworthy', 'trustworthy')",-0.5507015,-0.6275398,-0.0768383
23,6.6837974,6.629275,"('insincere', 'sincere')",6.6837974,6.6292748,-0.0545226
24,1.728927,1.6574403,"('dishonest', 'honest')",1.728927,1.6574403,-0.0714867
25,0.75251,0.67565984,"('egoistic', 'altruistic')",0.75251,0.6756598,-0.0768502
26,0.3902445,0.27688724,"('hardhearted', 'benevolent')",0.3902445,0.2768872,-0.1133573
27,1.6425006,1.5351292,"('hardhearted', 'softhearted')",1.6425006,1.5351292,-0.1073714
28,1.5460451,1.5530708,"('disloyal', 'loyal')",1.5460451,1.5530708,0.0070257
29,-0.6018426,-0.6958419,"('unfair', 'fair')",-0.6018426,-0.6958419,-0.0939993
30,0.9339621,0.81627905,"('intolerant', 'tolerant')",0.9339621,0.8162791,-0.117683
31,-1.8080901,-1.6512568,"('evil', 'good')",-1.8080901,-1.6512568,0.1568333
