,nvent_male,nvent_female,tuple,electric_male,electric_female,plc_male,plc_female,average_male,average_female,female-male
0,0.27553415,0.1341463,"('unsociable', 'sociable')",-0.40185165,-0.40958932,-0.31871015,-0.4708814,-0.1483425,-0.2487748,-0.1004323
1,-2.0993323,-2.1075466,"('unfriendly', 'friendly')",-0.6704783,-0.70454377,1.4752756,1.185916,-0.4315117,-0.5420581,-0.1105464
2,0.16912772,0.22511482,"('unlikable', 'likable')",0.2523616,0.32131222,0.59782785,0.7039443,0.3397724,0.4167904,0.077018
3,0.5610019,0.54595816,"('repellent', 'pleasant')",-0.6068423,-0.53052855,-0.21631873,-0.09995806,-0.0873864,-0.0281761,0.0592103
4,-0.82372546,-0.8423789,"('disliked', 'liked')",0.46583778,0.38985953,-3.9486642,-4.0750203,-1.4355173,-1.5091799,-0.0736626
5,-2.1667907,-2.107404,"('distant', 'outgoing')",-0.21957836,-0.21006984,-0.18643053,-0.35430372,-0.8575998,-0.8905926,-0.0329928
6,-2.2466846,-2.1657145,"('distant', 'open')",-0.899137,-0.89730996,-0.24500352,-0.4048288,-1.130275,-1.1559511,-0.0256761
7,0.45035014,0.3258075,"('insensitive', 'sensitive')",-0.52028036,-0.4565573,0.26750213,0.27673432,0.0658573,0.0486615,-0.0171958
8,-2.175793,-2.1068282,"('unaffectionate', 'affectionate')",-1.1018806,-1.0954603,0.094581366,-0.10733101,-1.0610307,-1.1032066,-0.0421759
9,-1.3967603,-1.4086366,"('unaffectionate', 'caring')",-0.8586494,-0.856143,0.73122597,0.5418567,-0.5080613,-0.5743076,-0.0662463
10,1.0281724,0.8977093,"('unsympathetic', 'sympathetic')",-1.5186807,-1.5636318,-0.49684688,-0.48275092,-0.3291184,-0.3828911,-0.0537727
11,0.6901004,0.60152364,"('unhelpful', 'helpful')",0.034116738,0.05517097,1.13726,1.0941429,0.6204924,0.5836125,-0.0368799
12,0.16897485,0.1232954,"('unsupportive', 'supportive')",-0.52497333,-0.4658685,-1.0536431,-1.0611335,-0.4698805,-0.4679022,0.0019783
13,1.2145041,1.103953,"('impolite', 'polite')",0.44085798,0.483644,-0.081366315,-0.12721223,0.5246653,0.4867949,-0.0378704
14,1.1641412,1.1579981,"('antisocial', 'social')",0.48228705,0.55729496,0.7827991,0.8497795,0.8097425,0.8550242,0.0452817
