,unit_male,unit_female,tuple,average_male,average_female,female-male
0,0.5163349,0.38785386,"('unsociable', 'sociable')",0.5163349,0.3878539,-0.128481
1,0.490307,0.48373234,"('unfriendly', 'friendly')",0.490307,0.4837323,-0.0065747
2,0.22087298,0.29483613,"('unlikable', 'likable')",0.220873,0.2948361,0.0739631
3,0.8477331,0.79311043,"('repellent', 'pleasant')",0.8477331,0.7931104,-0.0546227
4,-6.968437,-7.009839,"('disliked', 'liked')",-6.9684372,-7.0098391,-0.0414019
5,-1.3039956,-1.2845047,"('distant', 'outgoing')",-1.3039956,-1.2845047,0.0194909
6,-0.7368516,-0.7774307,"('distant', 'open')",-0.7368516,-0.7774307,-0.0405791
7,1.6012442,1.6877664,"('insensitive', 'sensitive')",1.6012442,1.6877664,0.0865222
8,0.45539194,0.3626894,"('unaffectionate', 'affectionate')",0.4553919,0.3626894,-0.0927025
9,1.4642748,1.4545324,"('unaffectionate', 'caring')",1.4642748,1.4545324,-0.0097424
10,1.6833704,1.7199636,"('unsympathetic', 'sympathetic')",1.6833704,1.7199636,0.0365932
11,2.3591108,2.4881241,"('unhelpful', 'helpful')",2.3591108,2.4881241,0.1290133
12,-1.3575413,-1.3787849,"('unsupportive', 'supportive')",-1.3575413,-1.3787849,-0.0212436
13,0.27706152,0.2315438,"('impolite', 'polite')",0.2770615,0.2315438,-0.0455177
14,0.5537198,0.5087485,"('antisocial', 'social')",0.5537198,0.5087485,-0.0449713
15,0.31155154,0.30691075,"('boring', 'funny')",0.3115515,0.3069108,-0.0046407
16,-0.29310727,-0.43372142,"('unpopular', 'popular')",-0.2931073,-0.4337214,-0.1406141
17,-0.32658398,-0.33488604,"('nasty', 'nice')",-0.326584,-0.334886,-0.008302
18,-0.94006914,-0.9907765,"('disagreeable', 'welcoming')",-0.9400691,-0.9907765,-0.0507074
19,-1.1379187,-1.1005502,"('inhospitable', 'hospitable')",-1.1379187,-1.1005502,0.0373685
20,0.70236135,0.6343824,"('rough', 'thoughtful')",0.7023613,0.6343824,-0.0679789
21,0.2739393,0.40082213,"('immoral', 'moral')",0.2739393,0.4008221,0.1268828
22,-0.038217567,-0.04038601,"('untrustworthy', 'trustworthy')",-0.0382176,-0.040386,-0.0021684
23,6.368183,6.399419,"('insincere', 'sincere')",6.3681831,6.3994188,0.0312357
