,textual_male,textual_female,tuple,average_male,average_female,female-male
0,0.4332014,0.35958904,"('unsociable', 'sociable')",0.4332014,0.359589,-0.0736124
1,1.4126036,1.4006907,"('unfriendly', 'friendly')",1.4126036,1.4006907,-0.0119129
2,0.7324595,0.82330966,"('unlikable', 'likable')",0.7324595,0.8233097,0.0908502
3,1.2330513,1.3721505,"('repellent', 'pleasant')",1.2330513,1.3721505,0.1390992
4,-7.039629,-6.9541807,"('disliked', 'liked')",-7.039629,-6.9541807,0.0854483
5,-0.22091314,-0.11687365,"('distant', 'outgoing')",-0.2209131,-0.1168737,0.1040394
6,-0.036746126,0.068465106,"('distant', 'open')",-0.0367461,0.0684651,0.1052112
7,1.8753307,1.878198,"('insensitive', 'sensitive')",1.8753307,1.878198,0.0028673
8,0.81087625,0.777406,"('unaffectionate', 'affectionate')",0.8108763,0.777406,-0.0334703
9,1.2650205,1.3522125,"('unaffectionate', 'caring')",1.2650205,1.3522125,0.087192
10,1.8019648,1.836354,"('unsympathetic', 'sympathetic')",1.8019648,1.836354,0.0343892
11,2.3070903,2.3397465,"('unhelpful', 'helpful')",2.3070903,2.3397465,0.0326562
12,-0.68370825,-0.62930804,"('unsupportive', 'supportive')",-0.6837083,-0.629308,0.0544003
13,0.53952223,0.4791531,"('impolite', 'polite')",0.5395222,0.4791531,-0.0603691
14,0.5296354,0.41971168,"('antisocial', 'social')",0.5296354,0.4197117,-0.1099237
15,0.14361888,0.16561972,"('boring', 'funny')",0.1436189,0.1656197,0.0220008
16,-0.69120497,-0.575946,"('unpopular', 'popular')",-0.691205,-0.575946,0.115259
17,-0.24892676,-0.21843411,"('nasty', 'nice')",-0.2489268,-0.2184341,0.0304927
18,-0.20824338,-0.22084983,"('disagreeable', 'welcoming')",-0.2082434,-0.2208498,-0.0126064
19,-0.25175038,-0.13674934,"('inhospitable', 'hospitable')",-0.2517504,-0.1367493,0.1150011
20,0.89095443,0.77858514,"('rough', 'thoughtful')",0.8909544,0.7785851,-0.1123693
21,0.8171207,0.85655874,"('immoral', 'moral')",0.8171207,0.8565587,0.039438
22,0.31099957,0.22187495,"('untrustworthy', 'trustworthy')",0.3109996,0.221875,-0.0891246
23,6.9679866,7.027032,"('insincere', 'sincere')",6.9679866,7.0270319,0.0590453
24,2.4889238,2.5046015,"('dishonest', 'honest')",2.4889238,2.5046015,0.0156777
25,0.27003953,0.17585935,"('egoistic', 'altruistic')",0.2700395,0.1758593,-0.0941802
26,-0.14325537,-0.17366368,"('hardhearted', 'benevolent')",-0.1432554,-0.1736637,-0.0304083
27,1.4319513,1.308486,"('hardhearted', 'softhearted')",1.4319513,1.308486,-0.1234653
28,1.3707176,1.4204532,"('disloyal', 'loyal')",1.3707176,1.4204532,0.0497356
29,-0.048650943,-0.1309263,"('unfair', 'fair')",-0.0486509,-0.1309263,-0.0822754
30,1.2379029,1.1549636,"('intolerant', 'tolerant')",1.2379029,1.1549636,-0.0829393
31,-1.6220763,-1.6055174,"('evil', 'good')",-1.6220763,-1.6055174,0.0165589
32,1.5073503,1.4347092,"('unkind', 'kind')",1.5073503,1.4347092,-0.0726411
33,-0.5245682,-0.48119253,"('wrong', 'right')",-0.5245682,-0.4811925,0.0433757
34,4.444254,4.61897,"('mean', 'honorable')",4.4442539,4.6189699,0.174716
35,-1.3294413,-1.373501,"('corrupt', 'incorrupt')",-1.3294413,-1.3735009,-0.0440596
36,-1.3913891,-1.4091148,"('hostile', 'amicable')",-1.3913891,-1.4091148,-0.0177257
37,1.1650227,1.1568891,"('fake', 'genuine')",1.1650227,1.1568891,-0.0081336
38,0.39833784,0.34762347,"('untruthful', 'truthful')",0.3983378,0.3476235,-0.0507143
