,perkinelmer_male,perkinelmer_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.091699325,-0.22425707,"('unsociable', 'sociable')",-0.41442814,-0.55116457,-0.2530637,-0.3877108,-0.1346471
1,-1.1174026,-1.304564,"('unfriendly', 'friendly')",1.8231839,1.7712545,0.3528907,0.2333453,-0.1195454
2,0.84121287,0.8170002,"('unlikable', 'likable')",0.7386616,0.75934815,0.7899373,0.7881742,-0.0017631
3,-0.6109403,-0.6291953,"('repellent', 'pleasant')",0.2210694,0.29696298,-0.1949354,-0.1661161,0.0288193
4,-0.053795706,-0.14406696,"('disliked', 'liked')",-6.1611485,-6.151303,-3.1074722,-3.1476848,-0.0402126
5,-1.3394172,-1.2812575,"('distant', 'outgoing')",-0.09785089,-0.027617997,-0.7186341,-0.6544378,0.0641963
6,-1.572924,-1.5339711,"('distant', 'open')",0.2232809,0.32453358,-0.6748216,-0.6047187,0.0701029
7,-0.44313362,-0.47322786,"('insensitive', 'sensitive')",0.32947046,0.4551182,-0.0568316,-0.0090548,0.0477768
8,-1.1995188,-1.2802981,"('unaffectionate', 'affectionate')",1.1843417,1.1187288,-0.0075886,-0.0807847,-0.0731961
9,-1.4300663,-1.5287849,"('unaffectionate', 'caring')",1.1053863,1.0628947,-0.16234,-0.2329451,-0.0706051
10,-1.1739776,-1.2692755,"('unsympathetic', 'sympathetic')",-0.689715,-0.6609649,-0.9318463,-0.9651202,-0.0332739
11,-0.38268507,-0.4501409,"('unhelpful', 'helpful')",1.4194403,1.4423665,0.5183776,0.4961128,-0.0222648
12,-0.23260863,-0.19723698,"('unsupportive', 'supportive')",-1.9391693,-1.8691397,-1.085889,-1.0331883,0.0527007
13,-0.03225882,-0.05445706,"('impolite', 'polite')",-0.76269776,-0.7750419,-0.3974783,-0.4147495,-0.0172712
14,0.60211366,0.5550983,"('antisocial', 'social')",-0.37429616,-0.47771135,0.1139088,0.0386935,-0.0752153
15,0.46813634,0.39548635,"('boring', 'funny')",0.7579682,0.7122373,0.6130522,0.5538619,-0.0591903
16,-0.6664658,-0.66286445,"('unpopular', 'popular')",0.34930575,0.46598637,-0.15858,-0.098439,0.060141
17,0.15434958,0.18253845,"('nasty', 'nice')",-0.23996492,-0.20660865,-0.0428077,-0.0120351,0.0307726
18,-0.018401507,-0.019167073,"('disagreeable', 'welcoming')",-0.119348414,-0.09702177,-0.068875,-0.0580944,0.0107806
19,-1.2695541,-1.2778767,"('inhospitable', 'hospitable')",0.3317283,0.43239114,-0.4689129,-0.4227428,0.0461701
20,-0.119083926,-0.09296432,"('rough', 'thoughtful')",1.0352662,1.024094,0.4580911,0.4655648,0.0074737
21,0.08859503,-0.038241085,"('immoral', 'moral')",-0.6169186,-0.5866619,-0.2641618,-0.3124515,-0.0482897
22,-0.1713986,-0.23994702,"('untrustworthy', 'trustworthy')",-0.5059028,-0.6187584,-0.3386507,-0.4293527,-0.090702
23,-0.6979875,-0.8650126,"('insincere', 'sincere')",5.388721,5.307774,2.3453667,2.2213807,-0.123986
24,-0.830768,-0.8791182,"('dishonest', 'honest')",0.6447213,0.5656408,-0.0930233,-0.1567387,-0.0637154
25,-0.5029475,-0.45221904,"('egoistic', 'altruistic')",1.660521,1.6727046,0.5787867,0.6102428,0.0314561
26,0.076080784,-0.0575616,"('hardhearted', 'benevolent')",1.8827631,1.7273026,0.979422,0.8348705,-0.1445515
27,-0.67652357,-0.5653723,"('hardhearted', 'softhearted')",1.4464006,1.4625914,0.3849385,0.4486096,0.0636711
28,-0.352843,-0.5115409,"('disloyal', 'loyal')",0.8493521,0.7320398,0.2482546,0.1102495,-0.1380051
29,-0.5897048,-0.6249207,"('unfair', 'fair')",-0.105328694,-0.26428902,-0.3475167,-0.4446049,-0.0970882
30,0.55553126,0.43976527,"('intolerant', 'tolerant')",1.297266,1.2446471,0.9263986,0.8422062,-0.0841924
31,-1.0405599,-0.9683065,"('evil', 'good')",-0.7192505,-0.67910886,-0.8799052,-0.8237077,0.0561975
32,0.20060143,0.06277046,"('unkind', 'kind')",1.0677643,0.9082864,0.6341829,0.4855284,-0.1486545
33,0.14279495,0.09861691,"('wrong', 'right')",-0.36334723,-0.45045835,-0.1102761,-0.1759207,-0.0656446
34,-0.51907676,-0.4235434,"('mean', 'honorable')",5.9438615,6.1165586,2.7123923,2.8465075,0.1341152
