,odp_male,odp_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.14420342,-0.08284923,"('unsociable', 'sociable')",0.21569991,0.038599122,0.1799517,-0.0221251,-0.2020768
1,-1.5952325,-1.6077776,"('unfriendly', 'friendly')",1.2905731,1.1033728,-0.1523297,-0.2522024,-0.0998727
2,0.8347862,0.87409586,"('unlikable', 'likable')",0.63562006,0.6422894,0.7352031,0.7581927,0.0229896
3,0.2548465,0.2304821,"('repellent', 'pleasant')",0.6882122,0.7194224,0.4715294,0.4749523,0.0034229
4,-0.021910176,-0.04163436,"('disliked', 'liked')",-6.792241,-6.909656,-3.4070756,-3.4756453,-0.0685697
5,-1.0540508,-0.9828434,"('distant', 'outgoing')",-0.78900754,-0.86199224,-0.9215292,-0.9224178,-0.0008886
6,-1.2636657,-1.1271212,"('distant', 'open')",-0.68946564,-0.7842736,-0.9765657,-0.9556974,0.0208683
7,0.36681518,0.31217602,"('insensitive', 'sensitive')",0.51635116,0.51536906,0.4415832,0.4137725,-0.0278107
8,-1.2881038,-1.2286698,"('unaffectionate', 'affectionate')",0.3944377,0.30714366,-0.4468331,-0.460763,-0.0139299
9,-1.1291686,-1.1601998,"('unaffectionate', 'caring')",0.6886371,0.61776537,-0.2202658,-0.2712172,-0.0509514
10,-0.35594675,-0.4901743,"('unsympathetic', 'sympathetic')",-0.7131154,-0.7125346,-0.5345311,-0.6013545,-0.0668234
11,0.35530475,0.26880854,"('unhelpful', 'helpful')",1.2635012,1.324945,0.8094029,0.7968768,-0.0125261
12,0.06780895,0.086515315,"('unsupportive', 'supportive')",-2.2011342,-2.241505,-1.0666627,-1.0774947,-0.010832
13,0.25780794,0.123847894,"('impolite', 'polite')",-0.82530534,-0.79583424,-0.2837487,-0.3359932,-0.0522445
14,1.4014632,1.2477981,"('antisocial', 'social')",0.30306497,0.23175007,0.852264,0.7397741,-0.1124899
15,0.839421,0.78256804,"('boring', 'funny')",0.44740397,0.43863368,0.6434125,0.6106008,-0.0328117
16,-0.98165244,-0.97300476,"('unpopular', 'popular')",0.35998878,0.29522258,-0.3108318,-0.3388911,-0.0280593
17,-0.4889729,-0.3973153,"('nasty', 'nice')",-0.74997044,-0.6771906,-0.6194717,-0.537253,0.0822187
18,-0.28251252,-0.20768675,"('disagreeable', 'welcoming')",-0.45572123,-0.59360117,-0.3691169,-0.4006439,-0.031527
19,-0.7222913,-0.6605317,"('inhospitable', 'hospitable')",-0.84781796,-0.8223415,-0.7850546,-0.7414366,0.043618
