,curtailment_male,curtailment_female,tuple,average_male,average_female,female-male
0,-0.08607373,-0.26066458,"('unsociable', 'sociable')",-0.0860737,-0.2606646,-0.1745909
1,-2.1572402,-2.1816661,"('unfriendly', 'friendly')",-2.1572402,-2.1816661,-0.0244259
2,-0.70298916,-0.5937264,"('unlikable', 'likable')",-0.7029892,-0.5937264,0.1092628
3,-0.54617774,-0.39750147,"('repellent', 'pleasant')",-0.5461777,-0.3975015,0.1486762
4,-1.8373605,-1.8186415,"('disliked', 'liked')",-1.8373605,-1.8186415,0.018719
5,-1.5823902,-1.6305629,"('distant', 'outgoing')",-1.5823902,-1.6305629,-0.0481727
6,-1.5940118,-1.6612028,"('distant', 'open')",-1.5940118,-1.6612028,-0.067191
7,-0.02135589,0.046206083,"('insensitive', 'sensitive')",-0.0213559,0.0462061,0.067562
8,-1.4190875,-1.4893667,"('unaffectionate', 'affectionate')",-1.4190875,-1.4893667,-0.0702792
9,-1.617448,-1.6677295,"('unaffectionate', 'caring')",-1.617448,-1.6677295,-0.0502815
10,-0.2013314,-0.3093152,"('unsympathetic', 'sympathetic')",-0.2013314,-0.3093152,-0.1079838
11,-0.37288168,-0.28867963,"('unhelpful', 'helpful')",-0.3728817,-0.2886796,0.0842021
12,-1.5902016,-1.5255401,"('unsupportive', 'supportive')",-1.5902016,-1.5255401,0.0646615
13,-0.46067828,-0.49982557,"('impolite', 'polite')",-0.4606783,-0.4998256,-0.0391473
14,0.5626227,0.6156813,"('antisocial', 'social')",0.5626227,0.6156813,0.0530586
15,0.040414765,-0.009997303,"('boring', 'funny')",0.0404148,-0.0099973,-0.0504121
16,-0.45527548,-0.47601345,"('unpopular', 'popular')",-0.4552755,-0.4760135,-0.020738
17,-0.5826762,-0.4897093,"('nasty', 'nice')",-0.5826762,-0.4897093,0.0929669
18,-1.9444324,-1.7572588,"('disagreeable', 'welcoming')",-1.9444324,-1.7572588,0.1871736
19,-2.161408,-2.117863,"('inhospitable', 'hospitable')",-2.1614079,-2.1178629,0.043545
