,sink_male,sink_female,tuple,average_male,average_female,female-male
0,0.550838,0.42114526,"('unsociable', 'sociable')",0.550838,0.4211453,-0.1296927
1,1.6683488,1.6858308,"('unfriendly', 'friendly')",1.6683488,1.6858308,0.017482
2,0.25615138,0.37411436,"('unlikable', 'likable')",0.2561514,0.3741144,0.117963
3,1.0733896,1.2189981,"('repellent', 'pleasant')",1.0733896,1.2189981,0.1456085
4,-7.1097636,-7.075675,"('disliked', 'liked')",-7.1097636,-7.075675,0.0340886
5,-0.6700073,-0.45327303,"('distant', 'outgoing')",-0.6700073,-0.453273,0.2167343
6,-0.16158526,0.056837544,"('distant', 'open')",-0.1615853,0.0568375,0.2184228
7,1.8563855,1.9071833,"('insensitive', 'sensitive')",1.8563855,1.9071833,0.0507978
8,0.84679323,0.8248819,"('unaffectionate', 'affectionate')",0.8467932,0.8248819,-0.0219113
9,1.6134943,1.7320276,"('unaffectionate', 'caring')",1.6134943,1.7320276,0.1185333
10,1.43608,1.5041153,"('unsympathetic', 'sympathetic')",1.43608,1.5041153,0.0680353
11,2.0660508,2.146887,"('unhelpful', 'helpful')",2.0660508,2.1468871,0.0808363
12,-1.077296,-0.9504387,"('unsupportive', 'supportive')",-1.077296,-0.9504387,0.1268573
13,0.5823005,0.40430808,"('impolite', 'polite')",0.5823005,0.4043081,-0.1779924
14,0.15499312,0.018046372,"('antisocial', 'social')",0.1549931,0.0180464,-0.1369467
15,0.4795046,0.435424,"('boring', 'funny')",0.4795046,0.435424,-0.0440806
16,-0.5930401,-0.50445974,"('unpopular', 'popular')",-0.5930401,-0.5044597,0.0885804
17,-0.09704934,-0.07856003,"('nasty', 'nice')",-0.0970493,-0.07856,0.0184893
18,-0.42070046,-0.3808471,"('disagreeable', 'welcoming')",-0.4207005,-0.3808471,0.0398534
19,-0.5207528,-0.25796813,"('inhospitable', 'hospitable')",-0.5207528,-0.2579681,0.2627847
20,0.6896064,0.534284,"('rough', 'thoughtful')",0.6896064,0.534284,-0.1553224
21,0.22565147,0.36108625,"('immoral', 'moral')",0.2256515,0.3610862,0.1354347
22,-0.33093026,-0.19109488,"('untrustworthy', 'trustworthy')",-0.3309303,-0.1910949,0.1398354
23,6.994847,7.192124,"('insincere', 'sincere')",6.9948468,7.1921239,0.1972771
24,1.9458908,2.1288173,"('dishonest', 'honest')",1.9458908,2.1288173,0.1829265
25,0.8775036,0.79089046,"('egoistic', 'altruistic')",0.8775036,0.7908905,-0.0866131
26,0.6794755,0.40979254,"('hardhearted', 'benevolent')",0.6794755,0.4097925,-0.269683
27,2.0293465,1.8633096,"('hardhearted', 'softhearted')",2.0293465,1.8633096,-0.1660369
28,1.13616,1.0345973,"('disloyal', 'loyal')",1.13616,1.0345973,-0.1015627
29,-0.69046384,-0.7678292,"('unfair', 'fair')",-0.6904638,-0.7678292,-0.0773654
30,1.1646229,1.148829,"('intolerant', 'tolerant')",1.1646229,1.148829,-0.0157939
31,-1.4737344,-1.3838753,"('evil', 'good')",-1.4737344,-1.3838753,0.0898591
32,1.61933,1.4770913,"('unkind', 'kind')",1.61933,1.4770913,-0.1422387
33,-0.29373312,-0.18165678,"('wrong', 'right')",-0.2937331,-0.1816568,0.1120763
34,4.6147013,4.9464183,"('mean', 'honorable')",4.6147013,4.9464183,0.331717
35,-1.4656405,-1.443778,"('corrupt', 'incorrupt')",-1.4656405,-1.443778,0.0218625
36,-1.336071,-1.2970319,"('hostile', 'amicable')",-1.336071,-1.2970319,0.0390391
37,1.1986564,1.1074053,"('fake', 'genuine')",1.1986564,1.1074053,-0.0912511
38,0.1766718,0.32921463,"('untruthful', 'truthful')",0.1766718,0.3292146,0.1525428
39,0.15799558,0.20759445,"('exploitative', 'cooperative')",0.1579956,0.2075945,0.0495989
40,-0.76554674,-0.87566847,"('stingy', 'generous')",-0.7655467,-0.8756685,-0.1101218
41,0.32432517,0.093745634,"('unforgiving', 'forgiving')",0.3243252,0.0937456,-0.2305796
42,-2.2966297,-2.2425342,"('unreliable', 'reliable')",-2.2966297,-2.2425342,0.0540955
43,1.198094,1.2108508,"('irresponsible', 'responsible')",1.198094,1.2108508,0.0127568
44,-1.7190387,-1.9263175,"('prejudiced', 'unprejudiced')",-1.7190387,-1.9263175,-0.2072788
45,0.6079733,0.6337409,"('incompetent', 'competent')",0.6079733,0.6337409,0.0257676
46,-0.41104424,-0.39217588,"('uncompetitive', 'competitive')",-0.4110442,-0.3921759,0.0188683
47,5.023298,5.2031565,"('stupid', 'smart')",5.0232978,5.2031565,0.1798587
48,0.77002877,0.70235384,"('unintelligent', 'intelligent')",0.7700288,0.7023538,-0.067675
49,0.34023872,0.51009744,"('unable', 'able')",0.3402387,0.5100974,0.1698587
50,-0.4928636,-0.40079004,"('clumsy', 'skillful')",-0.4928636,-0.40079,0.0920736
