,tin_male,tin_female,tuple,average_male,average_female,female-male
0,-0.16279009,0.035705995,"('unsociable', 'sociable')",-0.1627901,0.035706,0.1984961
1,1.5097198,1.2397034,"('unfriendly', 'friendly')",1.5097198,1.2397034,-0.2700164
2,-0.2181873,-0.1980582,"('unlikable', 'likable')",-0.2181873,-0.1980582,0.0201291
3,0.5412819,0.6748326,"('repellent', 'pleasant')",0.5412819,0.6748326,0.1335507
4,-7.1126432,-7.366243,"('disliked', 'liked')",-7.1126432,-7.3662429,-0.2535997
5,-0.44137487,-0.6461684,"('distant', 'outgoing')",-0.4413749,-0.6461684,-0.2047935
6,0.14178446,-0.1945837,"('distant', 'open')",0.1417845,-0.1945837,-0.3363682
7,0.87959063,1.0299182,"('insensitive', 'sensitive')",0.8795906,1.0299182,0.1503276
8,1.2925693,0.983433,"('unaffectionate', 'affectionate')",1.2925693,0.983433,-0.3091363
9,1.4260122,1.3079262,"('unaffectionate', 'caring')",1.4260122,1.3079262,-0.118086
10,0.7727072,1.0106071,"('unsympathetic', 'sympathetic')",0.7727072,1.0106071,0.2378999
11,1.1408201,1.2995983,"('unhelpful', 'helpful')",1.1408201,1.2995983,0.1587782
12,-1.757115,-1.7733474,"('unsupportive', 'supportive')",-1.757115,-1.7733474,-0.0162324
13,-0.4451725,-0.20357433,"('impolite', 'polite')",-0.4451725,-0.2035743,0.2415982
14,0.1406783,0.40288472,"('antisocial', 'social')",0.1406783,0.4028847,0.2622064
15,0.23391104,0.08687511,"('boring', 'funny')",0.233911,0.0868751,-0.1470359
16,-0.4950965,-0.5972899,"('unpopular', 'popular')",-0.4950965,-0.5972899,-0.1021934
17,-0.058327615,-0.09493201,"('nasty', 'nice')",-0.0583276,-0.094932,-0.0366044
18,-0.3591112,-0.43563563,"('disagreeable', 'welcoming')",-0.3591112,-0.4356356,-0.0765244
19,-0.58739626,-0.78711563,"('inhospitable', 'hospitable')",-0.5873963,-0.7871156,-0.1997193
20,0.94129217,0.9223767,"('rough', 'thoughtful')",0.9412922,0.9223767,-0.0189155
21,-0.6411732,-0.358853,"('immoral', 'moral')",-0.6411732,-0.358853,0.2823202
22,-0.6698859,-0.5259737,"('untrustworthy', 'trustworthy')",-0.6698859,-0.5259737,0.1439122
23,6.0602355,6.2320986,"('insincere', 'sincere')",6.0602355,6.2320986,0.1718631
24,1.2816695,1.2444168,"('dishonest', 'honest')",1.2816695,1.2444168,-0.0372527
25,0.8730879,0.6833053,"('egoistic', 'altruistic')",0.8730879,0.6833053,-0.1897826
26,1.4385666,1.2591976,"('hardhearted', 'benevolent')",1.4385666,1.2591976,-0.179369
27,1.751737,1.511613,"('hardhearted', 'softhearted')",1.751737,1.511613,-0.240124
28,0.9568521,0.9158816,"('disloyal', 'loyal')",0.9568521,0.9158816,-0.0409705
29,-0.5421017,-0.712721,"('unfair', 'fair')",-0.5421017,-0.712721,-0.1706193
30,0.64785475,0.8283506,"('intolerant', 'tolerant')",0.6478547,0.8283506,0.1804959
31,-0.93357325,-1.3110378,"('evil', 'good')",-0.9335732,-1.3110378,-0.3774646
32,1.0836943,1.061657,"('unkind', 'kind')",1.0836943,1.061657,-0.0220373
33,-0.40242472,-0.5762383,"('wrong', 'right')",-0.4024247,-0.5762383,-0.1738136
34,4.254424,4.419588,"('mean', 'honorable')",4.2544241,4.4195881,0.165164
35,-0.49374804,-0.9681899,"('corrupt', 'incorrupt')",-0.493748,-0.9681899,-0.4744419
36,-0.5473354,-0.9516004,"('hostile', 'amicable')",-0.5473354,-0.9516004,-0.404265
37,0.82294035,0.8104154,"('fake', 'genuine')",0.8229403,0.8104154,-0.0125249
38,-0.47617832,-0.4362406,"('untruthful', 'truthful')",-0.4761783,-0.4362406,0.0399377
39,0.47914508,0.5729106,"('exploitative', 'cooperative')",0.4791451,0.5729106,0.0937655
40,-1.257334,-1.4369603,"('stingy', 'generous')",-1.257334,-1.4369603,-0.1796263
41,0.04050273,0.07108871,"('unforgiving', 'forgiving')",0.0405027,0.0710887,0.030586
