,king_male,king_female,tuple,pharmaceuticals_male,pharmaceuticals_female,inc_male,inc_female,average_male,average_female,female-male
0,0.5166234,0.28359392,"('unsociable', 'sociable')",-0.05166161,-0.22463359,-0.39561328,-0.5621687,0.0231162,-0.1677361,-0.1908523
1,-0.15035233,-0.21838148,"('unfriendly', 'friendly')",0.20744519,0.1473462,1.693463,1.5398259,0.5835186,0.4895969,-0.0939217
2,1.2812377,1.2879059,"('unlikable', 'likable')",0.43340492,0.39843357,0.53123313,0.57251644,0.7486253,0.7529519,0.0043266
3,-0.08928176,0.002125172,"('repellent', 'pleasant')",-1.288838,-1.1829147,-0.12668088,-0.08001914,-0.5016002,-0.4202696,0.0813306
4,-0.42368558,-0.4419421,"('disliked', 'liked')",0.056063272,0.036201518,-6.0796213,-6.0337286,-2.1490812,-2.1464898,0.0025914
5,-0.8256664,-0.7399334,"('distant', 'outgoing')",-0.12555037,-0.1155923,0.19276148,0.22548291,-0.2528184,-0.2100143,0.0428041
6,-0.83840764,-0.75024813,"('distant', 'open')",-0.16564643,-0.1713891,0.87411904,0.862705,-0.0433117,-0.0196441,0.0236676
7,-0.25725293,-0.34919715,"('insensitive', 'sensitive')",-1.1555297,-1.103989,0.6752727,0.66798997,-0.2458367,-0.2617321,-0.0158954
8,0.6984664,0.70851815,"('unaffectionate', 'affectionate')",0.011343196,-0.03355427,0.758773,0.6473758,0.4895275,0.4407799,-0.0487476
9,1.0431232,1.0313311,"('unaffectionate', 'caring')",0.20229933,0.16360143,1.1295488,1.0928559,0.7916571,0.7625961,-0.029061
10,0.27114967,0.049251445,"('unsympathetic', 'sympathetic')",-1.2295233,-1.3036613,-0.36706325,-0.42989448,-0.4418123,-0.5614348,-0.1196225
11,-0.22619253,-0.27570924,"('unhelpful', 'helpful')",-0.15158838,-0.2306273,1.6166008,1.6146649,0.4129399,0.3694428,-0.0434971
12,0.6852043,0.63812387,"('unsupportive', 'supportive')",0.34428352,0.327944,-1.6774085,-1.6912417,-0.2159735,-0.2417246,-0.0257511
13,-0.17445986,-0.29026687,"('impolite', 'polite')",-1.1622827,-1.3048263,-0.119270675,-0.1756475,-0.4853377,-0.5902469,-0.1049092
14,0.32922998,0.24533536,"('antisocial', 'social')",-0.23639709,-0.18539122,-0.5200889,-0.56488293,-0.1424187,-0.1683129,-0.0258942
15,-0.67797065,-0.72334665,"('boring', 'funny')",0.25136852,0.1602028,0.45191678,0.40999067,0.0084382,-0.0510511,-0.0594893
16,-0.90608966,-0.84798515,"('unpopular', 'popular')",0.1942398,0.22177619,0.8642151,0.92109203,0.0507884,0.0982944,0.047506
17,-0.50051945,-0.5059541,"('nasty', 'nice')",-0.9883754,-0.9820106,-0.5130347,-0.46305612,-0.6673099,-0.6503402,0.0169697
18,0.90482575,0.8477283,"('disagreeable', 'welcoming')",0.10442934,0.054972216,-0.33975765,-0.4325997,0.2231658,0.1567003,-0.0664655
19,0.2397999,0.23586814,"('inhospitable', 'hospitable')",-0.737311,-0.81033945,0.058079407,0.06477527,-0.1464772,-0.1698987,-0.0234215
20,-0.40374216,-0.36575964,"('rough', 'thoughtful')",0.2862623,0.36279234,0.9684322,0.95756364,0.2836508,0.3181988,0.034548
21,-0.13805042,-0.2620191,"('immoral', 'moral')",-0.42742297,-0.47436497,-1.0441569,-1.033483,-0.5365434,-0.5899557,-0.0534123
22,-0.16027467,-0.21312872,"('untrustworthy', 'trustworthy')",-0.9161725,-0.93948495,-1.0606093,-1.0421627,-0.7123521,-0.7315921,-0.01924
23,0.28680223,0.13420321,"('insincere', 'sincere')",-0.62097764,-0.6720288,5.4056454,5.364496,1.6904899,1.6088902,-0.0815997
24,1.2361299,1.168029,"('dishonest', 'honest')",-1.0806038,-1.0905002,0.7281431,0.6277096,0.2945564,0.2350794,-0.059477
25,0.66552037,0.7650414,"('egoistic', 'altruistic')",0.50091743,0.60169697,1.3967048,1.3388891,0.8543809,0.9018758,0.0474949
26,0.124294184,0.09188342,"('hardhearted', 'benevolent')",1.0731757,1.0689083,1.4572512,1.2586341,0.884907,0.8064753,-0.0784317
27,0.051703155,0.07336409,"('hardhearted', 'softhearted')",-0.50638986,-0.5441524,1.7010354,1.545368,0.4154495,0.3581932,-0.0572563
28,0.89432395,0.8220256,"('disloyal', 'loyal')",0.060654223,0.029288176,1.0140628,0.92781794,0.656347,0.5930439,-0.0633031
29,-0.62435764,-0.64229155,"('unfair', 'fair')",-0.54260606,-0.543857,-0.5123186,-0.6661668,-0.5597608,-0.6174384,-0.0576776
